k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,1,0,1,0,1,2284.3,1,457.2
2,2,1,2,0,2,2309.2,2,532.7
3,3,1,3,0,3,2123.6,3,610
4,4,2,4,0,4.3,2288.4,4.1,691.3
5,5,2,5,0,6.1,2295.7,6.2,801.5
6,6,3,6,0,8.9,2331.6,9.9,852.9
7,7,3,7,0,15,2435.9,15,973.1
8,8,4,8,0,16.3,2404.9,18.5,1053.4
9,9,4,9,0,20.1,2471.7,22.2,1143
10,10,5,10,0,23.4,2643.6,25.7,1227.7
11,15,5,11,0,25.7,2667.3,27.7,1376.8
12,18,6,12,0,28.4,2694.4,32.1,1448.9
13,22,6,13,0,34,2887.4,35.9,1513.5
14,30,6,14,0,39.1,2975.5,41.3,1679.2
15,32,7,15,0,43.3,3163.1,47.5,1763.3
16,39,7,16,0,43.2,3039.4,51.9,1748.2
17,41,8,17,0,48.1,3122.1,56.3,1873.2
18,42,8,18,0,56.9,3220.9,64.2,2028.2
19,52,8,21,0,63.6,3339.3,69.1,2095.7
20,60,9,22,0,65.4,3381.1,80,2194.5
21,64,9,23,0,73.7,4162.3,85,2623.8
22,66,9,36,0,81.9,3680.9,95.1,2483.1
23,74,9,44,0,95.8,3681,101,2519.9
24,81,10,45,0,97.3,3681.1,108.4,2141.2
25,82,10,46,0,106.6,3521.5,114.2,974.6
26,94,10,47,0,110.5,2463.2,115,379.4
27,95,10,48,0,115,971,,177.7
28,96,10,49,0,,556,,114
29,106,10,75,0,,244.1,,38.5
30,115,10,91,0,,91.1,,6
31,,10,92,0,,74.5,,4.4
32,,10,108,0,,42.1,,3.6
33,,10,115,0,,37.6,,2.8
34,,10,,0,,39.4,,3
35,,10,,0,,41.8,,3.7
36,,10,,0,,43,,3.8
37,,10,,0,,40.3,,3.8
38,,10,,0,,40.1,,3.8
39,,10,,0,,39.7,,3.9
40,,10,,0,,39.7,,3.8
41,,10,,0,,42.3,,3.8
42,,10,,0,,37.4,,3.8
43,,11,,0,,39.6,,3.9
44,,10,,0,,38.5,,3.8
45,,10,,0,,38.8,,3.8
46,,10,,0,,38.9,,3.8
47,,10,,0,,38.9,,3.9
48,,11,,0,,37.1,,3.8
49,,10,,0,,37.2,,3.8
50,,10,,0,,35.1,,3.9
51,,10,,0,,36,,3.8
52,,10,,0,,36.3,,3.8
53,,10,,0,,36.6,,3.8
54,,10,,0,,36.6,,3.9
55,,10,,0,,38.1,,3.8
