k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3
4,4,4,5,4,4,4,4,4,4,4
5,6,5,6,6,5,5,8,6,5,10
6,11,7,9,10,6,8,11,14,8,15
7,18,8,15,16,16,18,18,10,15,16
8,19,19,18,14,18,22,19,19,18,19
9,25,15,20,25,26,19,20,20,25,27
10,26,27,21,28,22,27,28,22,29,27
11,24,29,23,25,31,30,26,29,30,30
12,38,31,31,26,31,35,31,32,30,36
13,34,33,36,38,39,39,34,37,38,31
14,33,40,46,44,46,43,39,39,41,42
15,50,48,41,49,52,52,47,44,45,47
16,59,52,48,52,53,52,52,47,52,52
17,51,55,58,53,61,56,58,60,55,56
18,63,63,62,63,62,70,65,62,64,68
19,67,62,67,75,72,63,68,71,72,74
20,86,76,80,79,87,82,74,75,79,82
21,83,90,78,86,88,88,85,86,80,86
22,106,88,90,86,94,99,99,105,97,87
23,98,96,95,98,115,107,108,96,99,98
24,115,107,105,107,107,115,107,106,108,107
25,115,115,115,115,115,115,115,115,107,115
26,115,115,115,115,115,115,115,115,115,115
27,115,115,115,115,115,115,115,115,115,115
28,115,115,115,115,115,115,115,115,115,115
29,115,115,115,115,115,115,115,115,115,115
30,115,115,115,115,115,115,115,115,115,115
31,115,115,115,115,115,115,115,115,115,115
32,115,115,115,115,115,115,115,115,115,115
33,115,115,115,115,115,115,115,115,115,115
34,115,115,115,115,115,115,115,115,115,115
35,115,115,115,115,115,115,115,115,115,115
36,115,115,115,115,115,115,115,115,115,115
37,115,115,115,115,115,115,115,115,115,115
38,115,115,115,115,115,115,115,115,115,115
39,115,115,115,115,115,115,115,115,115,115
40,115,115,115,115,115,115,115,115,115,115
41,115,115,115,115,115,115,115,115,115,115
42,115,115,115,115,115,115,115,115,115,115
43,115,115,115,115,115,115,115,115,115,115
44,115,115,115,115,115,115,115,115,115,115
45,115,115,115,115,115,115,115,115,115,115
46,115,115,115,115,115,115,115,115,115,115
47,115,115,115,115,115,115,115,115,115,115
48,115,115,115,115,115,115,115,115,115,115
49,115,115,115,115,115,115,115,115,115,115
50,115,115,115,115,115,115,115,115,115,115
51,115,115,115,115,115,115,115,115,115,115
52,115,115,115,115,115,115,115,115,115,115
53,115,115,115,115,115,115,115,115,115,115
54,115,115,115,115,115,115,115,115,115,115
55,115,115,115,115,115,115,115,115,115,115
