k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3
4,4,5,5,4,4,5,4,4,4,4
5,5,5,5,6,5,7,6,9,7,6
6,8,7,11,7,15,8,8,11,6,8
7,13,18,15,15,13,13,15,18,14,16
8,20,14,18,14,16,19,12,17,14,19
9,26,20,18,20,19,18,20,20,19,21
10,22,27,28,20,20,19,27,20,25,26
11,22,24,22,23,31,23,24,28,29,31
12,30,34,29,33,30,29,23,25,26,25
13,34,32,33,36,36,32,31,37,35,34
14,39,33,43,40,32,46,43,40,36,39
15,41,34,50,47,52,42,48,41,42,36
16,44,42,49,48,36,46,51,35,41,40
17,40,44,47,51,48,52,49,52,45,53
18,50,62,51,53,56,61,55,54,63,64
19,63,59,64,68,58,64,72,61,55,72
20,64,68,65,63,64,64,68,58,66,74
21,86,73,73,73,73,74,71,68,64,82
22,94,71,80,89,97,67,78,75,88,80
23,100,89,99,105,88,97,96,96,97,91
24,97,96,105,98,86,95,96,97,96,107
25,106,98,107,101,107,105,106,115,115,106
26,108,115,115,104,107,115,115,96,115,115
27,115,115,115,115,115,115,115,115,115,115
28,115,115,115,115,115,115,115,115,115,115
29,115,115,115,115,115,115,115,115,115,115
30,115,115,115,115,115,115,115,115,115,115
31,115,115,115,115,115,115,115,115,115,115
32,115,115,115,115,115,115,115,115,115,115
33,115,115,115,115,115,115,115,115,115,115
34,115,115,115,115,115,115,115,115,115,115
35,115,115,115,115,115,115,115,115,115,115
36,115,115,115,115,115,115,115,115,115,115
37,115,115,115,115,115,115,115,115,115,115
38,115,115,115,115,115,115,115,115,115,115
39,115,115,115,115,115,115,115,115,115,115
40,115,115,115,115,115,115,115,115,115,115
41,115,115,115,115,115,115,115,115,115,115
42,115,115,115,115,115,115,115,115,115,115
43,115,115,115,115,115,115,115,115,115,115
44,115,115,115,115,115,115,115,115,115,115
45,115,115,115,115,115,115,115,115,115,115
46,115,115,115,115,115,115,115,115,115,115
47,115,115,115,115,115,115,115,115,115,115
48,115,115,115,115,115,115,115,115,115,115
49,115,115,115,115,115,115,115,115,115,115
50,115,115,115,115,115,115,115,115,115,115
51,115,115,115,115,115,115,115,115,115,115
52,115,115,115,115,115,115,115,115,115,115
53,115,115,115,115,115,115,115,115,115,115
54,115,115,115,115,115,115,115,115,115,115
55,115,115,115,115,115,115,115,115,115,115
