k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,451,452,456,466,459,421,486,460,463,458
2,530,557,533,562,433,547,542,542,552,529
3,649,631,562,621,610,632,607,628,590,570
4,753,745,719,715,709,717,608,717,604,626
5,812,861,819,772,691,819,817,812,801,811
6,924,931,891,889,756,858,845,890,652,893
7,994,1039,811,988,967,975,993,971,990,1003
8,1125,1082,1077,1056,1056,1061,1042,1006,1002,1027
9,1161,1163,1210,1136,1204,985,1174,1117,1167,1113
10,1308,1312,1254,1280,1222,1270,1295,991,1061,1284
11,1406,1352,1411,1397,1372,1377,1363,1367,1352,1371
12,1473,1486,1495,1453,1457,1382,1464,1459,1417,1403
13,1609,1534,1569,1522,1563,1254,1482,1521,1523,1558
14,1556,1726,1693,1580,1778,1693,1734,1644,1641,1747
15,1860,1856,1866,1760,1672,1673,1741,1764,1704,1737
16,1642,1857,1873,1841,1732,1812,1865,1771,1270,1819
17,1999,1930,1949,1947,1850,1833,1966,1503,1807,1948
18,2136,2103,1963,2048,2014,2005,1929,1952,2097,2035
19,2220,2156,2142,2061,2162,1996,2112,2109,1909,2090
20,2186,2285,2186,2167,2287,2225,2232,2053,1961,2363
21,3258,2731,2463,2543,2510,2530,2502,2558,2549,2594
22,2547,2259,2420,2532,2521,2473,2538,2549,2499,2493
23,2612,2549,2610,2382,2349,2610,2520,2548,2421,2598
24,309,2710,2640,2535,2661,474,2552,2493,2500,2538
25,655,344,382,419,919,1808,499,1168,2441,1111
26,1261,220,265,286,195,245,148,736,205,233
27,178,230,98,236,181,164,226,244,42,178
28,29,146,169,101,150,22,111,166,93,153
29,60,15,28,37,9,34,35,18,46,103
30,3,3,3,5,3,16,3,15,6,3
31,3,3,6,6,3,6,3,3,3,8
32,3,2,3,6,3,3,3,3,8,2
33,3,3,3,2,3,3,3,3,3,2
34,4,3,3,3,4,3,3,3,2,2
35,4,4,4,4,4,4,4,4,2,3
36,4,4,4,4,4,4,2,4,4,4
37,4,4,4,2,4,4,4,4,4,4
38,4,4,4,4,4,4,2,4,4,4
39,3,4,4,4,4,4,4,4,4,4
40,4,4,4,4,4,4,4,2,4,4
41,4,2,4,4,4,4,4,4,4,4
42,4,4,4,4,4,4,4,4,2,4
43,4,4,4,4,3,4,4,4,4,4
44,4,4,4,4,4,2,4,4,4,4
45,4,4,4,2,4,4,4,4,4,4
46,2,4,4,4,4,4,4,4,4,4
47,4,3,4,4,4,4,4,4,4,4
48,4,4,2,4,4,4,4,4,4,4
49,4,4,4,4,4,4,2,4,4,4
50,4,4,4,4,4,4,4,3,4,4
51,4,4,4,4,2,4,4,4,4,4
52,4,4,4,4,2,4,4,4,4,4
53,4,4,4,4,4,4,2,4,4,4
54,4,3,4,4,4,4,4,4,4,4
55,4,2,4,4,4,4,4,4,4,4
