k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,2302,2305,2299,2271,2281,2258,2306,2254,2289,2278
2,2335,2293,2308,2320,2324,2288,2313,2317,2299,2295
3,2078,2142,2024,2136,2102,2114,2156,2158,2173,2153
4,2247,2294,2257,2312,2297,2299,2294,2319,2267,2298
5,2289,2308,2265,2286,2257,2310,2324,2289,2306,2323
6,2391,2269,2329,2366,2325,2335,2300,2366,2368,2267
7,2452,2429,2363,2438,2505,2455,2390,2477,2426,2424
8,2363,2483,2365,2470,2393,2421,2442,2447,2425,2240
9,2565,2109,2464,2544,2574,2503,2544,2492,2569,2353
10,2669,2728,2679,2685,2699,2588,2699,2671,2661,2357
11,2721,2455,2751,2744,2782,2740,2678,2613,2681,2508
12,2594,2698,2757,2610,2850,2691,2575,2669,2719,2781
13,2688,2766,2966,2929,2972,2880,2933,2946,2848,2946
14,3023,3014,2943,2952,2991,2977,3046,2970,2971,2868
15,2958,3173,3207,3234,3280,3263,3094,3288,3116,3018
16,3078,2808,3034,3117,3127,2975,3104,3079,3086,2986
17,3169,3178,3035,3139,3042,3228,3199,3090,3087,3054
18,3225,3247,3286,3115,3306,3337,3044,3290,3269,3090
19,3342,3292,3339,3368,3404,3417,3154,3378,3191,3508
20,3308,3487,3422,3242,3587,3137,3377,3316,3430,3505
21,4168,3568,4158,4236,4242,4046,4233,4226,4179,4567
22,3729,3719,3716,3644,3743,3750,3574,3606,3707,3621
23,3821,3675,3732,3646,3663,3641,3478,3766,3648,3740
24,3573,3798,3865,3620,3799,3465,3766,3604,3762,3559
25,3870,3714,3762,3862,3458,3946,3635,2303,3211,3454
26,3395,914,2255,3374,3492,2034,3364,3166,1364,1274
27,531,1446,872,495,1173,1185,1409,625,1279,695
28,356,589,397,270,650,278,863,703,447,1007
29,159,341,236,233,232,238,51,307,497,147
30,117,74,37,61,32,98,222,95,71,104
31,76,38,78,85,77,29,53,76,160,73
32,61,39,41,64,40,39,30,41,39,27
33,39,40,41,39,41,40,25,41,42,28
34,43,41,41,32,41,28,42,42,41,43
35,43,42,42,40,42,43,41,42,41,42
36,44,43,42,44,41,42,45,43,44,42
37,43,42,42,42,43,34,43,41,30,43
38,42,44,42,44,42,43,40,42,32,30
39,41,41,42,34,42,42,41,44,28,42
40,41,42,41,28,42,39,44,42,48,30
41,37,40,41,42,54,41,46,37,45,40
42,33,39,39,33,42,41,39,33,36,39
43,28,42,26,44,41,43,46,41,43,42
44,29,41,41,38,43,30,40,41,40,42
45,30,30,41,41,39,41,43,41,42,40
46,40,41,29,41,38,41,41,34,40,44
47,41,29,42,38,40,42,41,42,36,38
48,27,37,40,41,40,38,39,40,30,39
49,30,38,38,40,40,39,39,41,28,39
50,32,38,31,23,38,37,37,38,38,39
51,38,40,39,39,26,38,39,36,37,28
52,27,39,25,37,40,39,39,38,39,40
53,37,39,41,39,31,39,38,28,34,40
54,28,39,39,39,39,27,39,38,39,39
55,26,34,39,39,38,39,52,40,41,33
