k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,3,11,3,0,3,4407.8,3,683.7
2,5,7,5,0,5,4378.9,5,957.5
3,7,11,7,0,8.8,4755.6,10,1105.6
4,9,14,9,0,12.2,4833,12.9,1420.2
5,11,19,11,0,14.8,4980.3,15.8,1644.9
6,13,24,13,0,17.7,5170.4,19.1,1850.2
7,15,26,15,0,19.7,5427.4,21.5,2154
8,17,29,17,0,22.2,5744.1,23.8,2319.8
9,18,32,18,0,24.8,5988.5,26.4,2738
10,19,36,19,0,27.1,6230.8,29.4,2979.7
11,20,40,20,0,30.3,6426.5,31.5,3120.3
12,22,43,21,0,30.5,6639.1,34.9,3510.5
13,25,47,22,0,33.3,7038.2,37,3704.1
14,26,49,23,0,47.5,7455.8,47.9,4114.4
15,27,73,24,0,43.1,7499.7,56.9,4416
16,28,57,25,0,42.4,7747.9,66.1,4992.7
17,29,63,26,0,55,7969.8,71.7,5050.6
18,30,64,27,0,57,8921.1,73.8,5333.9
19,31,69,28,0,63.8,8693.9,75.8,5621.5
20,32,73,29,0,75.1,9057,77.1,6280.2
21,33,81,30,0,74.7,9842.4,79,6442.4
22,34,102,31,0,73.6,9545.1,80.1,6515.4
23,35,83,32,0,72.4,9906.3,82.1,6921
24,36,79,33,0,79.6,10088.6,83.3,7211.2
25,37,105,34,0,83.6,10444.5,85.1,7782.3
26,38,98,35,0,84,10556.5,87.3,8034
27,39,92,38,0,84.9,10729.1,89.7,8416.3
28,40,94,40,0,86.9,10934.8,94.9,8820.8
29,41,98,41,0,86.6,11260,127.8,7685.4
30,43,100,42,0,90.7,11690.3,115.9,8877.1
31,44,103,43,0,102.5,11514.7,159.6,6873.8
32,45,104,44,0,93.4,11594.6,160.9,5746.9
33,46,109,45,0,106.3,12247.4,198,4635.5
34,47,112,46,0,99.3,12332.8,,3732.7
35,48,115,47,0,117.9,11536.3,,4309.6
36,49,117,48,0,141.2,11456.6,,1830.8
37,50,121,49,0,189.2,6007.8,,1648
38,51,123,50,0,178.5,6628.4,,1888.4
39,52,128,51,0,189,4489.2,,1215.8
40,53,128,52,0,198,2578.1,,669.3
41,57,129,53,0,,3549.7,,745.2
42,58,132,54,0,,1273.1,,757.1
43,59,140,56,0,,2075,,676.2
44,61,141,57,0,,1132.4,,307.8
45,63,142,58,0,,829,,234.7
46,64,142,59,0,,422.9,,240.4
47,66,143,60,0,,610.8,,256.4
48,68,116,61,4,,347.8,,143.4
49,69,138,63,0,,264.7,,77.9
50,70,121,64,0,,202.2,,51.5
51,72,125,67,0,,194.7,,63.2
52,76,164,68,1,,232.1,,45.9
53,79,202,70,0,,142.6,,32.2
54,80,186,71,0,,141.5,,31
55,81,168,72,0,,158.5,,19.5
