k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,3,3,3,3,3,3,3,3,3,3
2,5,5,5,5,5,5,5,5,5,5
3,10,10,10,10,10,10,10,10,10,10
4,13,13,13,13,13,13,13,13,12,13
5,17,15,17,17,15,15,15,15,16,16
6,19,19,19,19,19,19,19,20,19,19
7,21,22,21,22,22,21,21,22,21,22
8,24,24,23,23,23,24,24,25,24,24
9,26,27,27,28,26,26,26,26,26,26
10,30,30,30,28,29,29,30,30,29,29
11,32,32,31,32,31,31,31,31,32,32
12,34,34,38,34,34,38,38,33,33,33
13,39,40,34,34,34,34,40,41,34,40
14,68,36,70,42,36,42,36,41,67,41
15,70,70,39,38,37,71,65,69,69,41
16,71,44,72,72,45,73,71,71,71,71
17,72,74,72,73,69,72,73,69,71,72
18,74,73,73,74,72,75,73,76,75,73
19,75,74,76,76,77,76,77,75,76,76
20,75,75,78,77,77,78,79,78,78,76
21,80,79,78,80,79,80,78,78,78,80
22,81,80,80,80,82,79,78,81,80,80
23,86,79,84,86,81,79,83,83,79,81
24,82,82,85,87,81,88,82,82,82,82
25,87,84,85,83,85,84,86,84,84,89
26,90,87,86,93,86,85,88,86,85,87
27,92,95,89,86,87,87,95,86,88,92
28,100,99,90,90,92,102,88,90,98,100
29,93,96,106,198,95,198,95,198,101,98
30,99,97,98,93,94,98,198,92,92,198
31,198,198,99,198,198,198,198,105,106,98
32,109,198,198,198,106,198,198,198,97,109
33,198,198,198,198,198,198,198,198,198,198
34,198,115,113,198,198,198,198,198,198,198
35,198,198,198,198,198,198,198,109,198,198
36,198,198,198,198,198,198,198,198,198,198
37,198,198,198,198,198,198,198,198,198,198
38,198,198,198,198,198,198,198,198,198,198
39,198,198,198,198,198,198,198,198,198,198
40,198,198,198,198,198,198,198,198,198,198
41,198,198,198,198,198,198,198,198,198,198
42,198,198,198,198,198,198,198,198,198,198
43,198,198,198,198,198,198,198,198,198,198
44,198,198,198,198,198,198,198,198,198,198
45,198,198,198,198,198,198,198,198,198,198
46,198,198,198,198,198,198,198,198,198,198
47,198,198,198,198,198,198,198,198,198,198
48,198,198,198,198,198,198,198,198,198,198
49,198,198,198,198,198,198,198,198,198,198
50,198,198,198,198,198,198,198,198,198,198
51,198,198,198,198,198,198,198,198,198,198
52,198,198,198,198,198,198,198,198,198,198
53,198,198,198,198,198,198,198,198,198,198
54,198,198,198,198,198,198,198,198,198,198
55,198,198,198,198,198,198,198,198,198,198
