k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,3,3,3,3,3,3,3,3,3,3
2,5,5,5,5,5,5,5,5,5,5
3,10,10,7,10,10,7,10,7,7,10
4,13,12,10,9,13,13,13,13,13,13
5,15,15,15,11,15,11,17,17,15,17
6,17,17,17,17,17,18,19,19,19,17
7,15,21,19,19,20,21,21,21,21,19
8,24,21,17,20,24,24,21,25,21,25
9,25,24,22,25,27,27,27,23,24,24
10,29,29,29,27,25,24,24,28,30,26
11,30,30,31,28,33,31,30,31,29,30
12,28,32,30,27,33,30,29,32,33,31
13,34,34,30,37,33,33,33,33,33,33
14,65,65,66,40,38,35,32,34,35,65
15,36,37,65,36,42,69,35,39,36,36
16,38,46,41,70,43,36,38,37,38,37
17,70,73,70,39,45,69,37,69,40,38
18,45,39,72,71,72,46,73,41,39,72
19,74,74,73,40,41,75,73,41,75,72
20,76,74,75,74,75,77,75,76,74,75
21,73,69,76,75,76,75,76,76,75,76
22,77,77,75,78,78,78,75,76,45,77
23,78,80,80,46,80,77,80,78,79,46
24,79,81,82,77,78,76,81,81,82,79
25,81,80,85,84,82,90,83,86,81,84
26,84,85,83,86,84,84,84,83,84,83
27,87,84,85,89,83,83,86,86,82,84
28,90,90,89,84,90,85,87,84,86,84
29,87,87,84,85,90,85,84,90,86,88
30,91,88,87,94,85,93,92,100,90,87
31,92,96,96,88,88,95,89,92,91,198
32,90,93,92,94,102,90,93,97,89,94
33,97,107,198,91,90,98,91,99,100,92
34,96,111,93,92,101,94,105,95,96,110
35,94,98,100,96,198,105,95,97,98,198
36,107,198,198,96,100,198,113,198,106,98
37,198,198,198,198,198,198,110,198,198,198
38,118,198,198,198,198,114,198,167,198,198
39,198,108,198,198,198,198,198,198,198,198
40,198,198,198,198,198,198,198,198,198,198
41,198,198,115,198,113,198,198,198,198,198
42,198,198,198,198,198,198,198,198,198,198
43,198,198,198,198,198,198,198,198,198,198
44,198,198,198,198,198,198,198,198,198,198
45,198,198,198,198,198,198,198,198,198,198
46,198,198,198,198,198,198,198,198,198,198
47,198,198,198,198,198,198,198,198,198,198
48,198,198,198,198,198,198,198,198,198,198
49,198,198,198,198,198,198,198,198,198,198
50,198,198,198,198,198,198,198,198,198,198
51,198,198,198,198,198,198,198,198,198,198
52,198,198,198,198,198,198,198,198,198,198
53,198,198,198,198,198,198,198,198,198,198
54,198,198,198,198,198,198,198,198,198,198
55,198,198,198,198,198,198,198,198,198,198
