k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,662,676,718,741,684,701,680,627,670,678
2,919,927,1029,1074,1044,910,901,889,918,964
3,1210,1144,1100,1095,1026,1148,986,1191,1073,1083
4,1396,1390,1374,1297,1443,1401,1410,1497,1486,1508
5,1649,1785,1668,1442,1369,1746,1624,1686,1721,1759
6,1910,1737,1577,1961,1766,1997,1994,1940,1875,1745
7,2132,2138,2303,2042,2238,2157,1981,2069,2361,2119
8,2292,2456,2506,2404,2549,2233,2423,2272,2032,2031
9,2425,3150,2687,2588,2811,2856,2692,2695,2554,2922
10,3045,3114,2903,2807,3132,3008,2573,3104,3019,3092
11,3197,3275,3079,3233,2585,2786,3342,3242,3260,3204
12,3478,3647,3505,3303,3514,3525,3523,3359,3451,3800
13,3808,3518,3937,3632,3585,3887,3564,3811,3679,3620
14,3937,4206,4873,4194,4438,3911,3791,4107,4220,3467
15,4564,4206,4649,4326,4191,4812,4203,4514,4483,4212
16,4522,4715,5376,5128,4613,5406,4991,4974,5187,5015
17,5120,5079,5224,4820,4906,5109,5484,4895,4337,5532
18,5806,4939,4939,5326,5112,5210,4856,5817,6025,5309
19,6182,5237,5881,5896,5863,5504,5639,5508,5188,5317
20,5983,5974,5775,6466,6136,6715,6442,6676,6404,6231
21,6576,6554,6427,6523,5681,6648,6185,6538,6297,6995
22,5672,6749,6979,6384,6877,6580,6088,6498,6180,7147
23,7486,6796,7055,7000,5307,6883,7170,7447,6932,7134
24,6981,6955,7653,7982,7381,7495,6361,7319,7037,6948
25,7884,7849,8101,7021,7654,7816,8203,7871,7665,7759
26,8327,7819,7527,8590,7793,8298,8291,7637,8438,7620
27,8067,8577,8698,8588,8066,8411,8242,8558,8484,8472
28,9089,9039,8466,8747,9054,8788,8541,8679,9266,8539
29,8429,7649,8973,4232,8886,6263,8278,5727,9114,9303
30,9630,9807,8006,8950,9120,9736,8213,9421,9205,6683
31,6027,5585,9467,4347,3497,6025,4492,9485,10170,9643
32,9905,1632,5313,3756,9243,5084,3984,2043,7213,9296
33,5756,8070,6271,6613,2063,5827,5154,3270,1157,2174
34,4406,10328,11029,1363,1939,2085,1974,1085,1544,1574
35,981,2706,3093,910,2793,6900,5168,10487,9223,835
36,1303,1233,1617,3376,4343,1486,729,864,1510,1847
37,2364,1060,1752,980,1360,1591,3029,2707,864,773
38,1630,2997,1241,5236,1385,1214,675,655,978,2873
39,602,922,580,946,2882,860,1121,2217,868,1160
40,899,808,675,1109,243,440,1205,761,302,251
41,1095,469,925,1135,961,371,1345,332,455,364
42,787,1198,604,691,387,387,787,1017,509,1204
43,692,282,1534,543,533,510,868,541,621,638
44,362,757,97,409,52,277,64,370,274,416
45,364,291,200,436,136,80,258,203,347,32
46,131,282,149,164,322,122,283,416,147,388
47,309,289,348,379,265,301,167,332,25,149
48,153,142,12,439,147,231,76,82,73,79
49,51,11,73,11,60,158,23,134,164,94
50,149,11,13,34,78,11,66,12,75,66
51,113,13,150,27,101,37,13,64,50,64
52,32,89,104,13,27,40,24,42,48,40
53,27,12,92,24,14,12,43,30,53,15
54,17,30,15,52,30,13,48,12,28,65
55,14,29,12,14,28,13,14,16,29,26
