k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,4434,4461,4440,4435,4384,4472,4385,4448,4348,4271
2,4311,4340,4403,4425,4449,4336,4466,4330,4351,4378
3,4762,4672,4826,4706,4783,4642,4751,4679,4880,4855
4,4929,4799,4832,4946,4947,4586,4785,4893,4810,4803
5,5066,5076,5157,4934,4993,4873,4985,5015,4688,5016
6,5221,5133,5101,5232,5384,5358,5261,4754,5193,5067
7,5493,5367,5163,5376,5571,5723,5367,5365,5443,5406
8,5636,6030,5997,5578,5868,5598,5414,5979,5924,5417
9,6170,5844,6451,5529,5998,5981,6085,5698,5869,6260
10,6412,6182,6308,6086,6451,6387,6137,6140,6104,6101
11,6358,6250,6911,6637,6531,6364,6647,5965,6007,6595
12,6262,7051,5990,6862,6656,6607,6534,6939,7075,6415
13,6968,6710,6817,7101,7474,7191,7215,6832,7111,6963
14,7337,7150,7836,7416,7652,7863,7296,7580,6890,7538
15,7508,7110,7557,6849,7926,7641,8053,7452,7245,7656
16,7056,7954,7076,7814,8050,8162,7649,7340,8291,8087
17,7803,8378,7141,8310,7831,8075,8358,7197,8382,8223
18,8926,8930,8888,8763,9327,8704,9182,8966,8829,8696
19,8425,8855,9022,8629,8562,8444,8976,8648,8953,8425
20,8979,9248,9440,8620,9163,8402,9252,9248,8502,9716
21,9631,10041,9799,9964,10154,9948,10013,9708,9362,9804
22,10044,9054,9748,9710,9280,8779,9437,9788,9642,9969
23,10026,10055,10011,10165,9887,9422,9820,10331,9805,9541
24,10480,10218,9862,9969,10181,9328,9899,10100,10504,10345
25,10803,10474,10162,10157,9866,11147,10581,10404,10466,10385
26,11058,10085,10600,10700,10535,11101,9893,10793,10362,10438
27,10850,10676,10966,11248,10264,10899,10910,10603,10963,9912
28,10725,10885,11418,11046,10898,10964,11638,10767,9908,11099
29,11452,11495,11391,11000,11319,10480,11438,11273,11283,11469
30,11020,11296,11393,11595,11585,11889,12433,12359,11614,11719
31,12124,12139,11423,11661,12213,11592,11669,11809,11174,9343
32,11648,11337,12004,11982,11834,12084,12637,11345,10755,10320
33,12712,11761,11740,12219,12429,12724,12308,11718,12323,12540
34,12362,12215,11263,12370,12574,12313,12650,12697,12575,12309
35,11624,13094,13235,13154,3408,13148,12268,11418,12553,11461
36,13795,12611,7327,13454,13049,9265,13532,7529,12495,11509
37,1739,1330,6584,9310,8421,3887,11349,6390,4304,6764
38,10115,7695,8500,2975,5198,9877,7519,10023,783,3599
39,7215,8481,2349,3395,6810,357,5071,2919,2816,5479
40,3407,2712,114,1918,1618,795,2556,2989,6491,3181
41,2444,618,7387,1076,7148,2352,1472,4164,5448,3388
42,1570,1521,366,747,1567,1583,484,1176,2493,1224
43,1250,1737,1972,2498,1569,1770,1135,2326,4018,2475
44,491,869,789,514,2036,933,1595,1961,880,1256
45,394,484,1306,406,246,587,476,1878,1919,594
46,556,80,123,696,630,588,505,749,217,85
47,556,887,784,421,764,749,263,495,593,596
48,389,468,407,436,272,437,445,84,270,270
49,146,173,611,439,366,149,100,138,397,128
50,201,272,129,268,314,134,196,239,132,137
51,385,316,150,105,147,238,151,151,153,151
52,142,141,308,135,425,427,186,178,236,143
53,141,92,141,144,99,150,148,146,223,142
54,144,148,140,138,143,146,149,94,225,88
55,234,130,143,155,153,154,145,173,160,138
