k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,4,0,4,0,4,1164.3,4,270.2
2,8,0,8,0,12,1116,12,330.2
3,11,0,11,0,21,1054.3,21,430.7
4,14,0,14,0,24.2,1062.8,26.7,490
5,18,0,16,0,37.5,1105.5,39.5,563.7
6,21,0,18,0,51.4,1110.4,51.3,496.4
7,32,0,20,0,60.2,341.4,62,77.6
8,35,0,29,0,62,94.8,,13.6
9,41,0,31,0,,45.6,,9.1
10,62,1,35,0,,21.3,,3.6
11,,1,36,0,,19.7,,1.3
12,,1,62,0,,12.6,,0.4
13,,1,,0,,14,,0.2
14,,1,,0,,13.5,,0.8
15,,1,,0,,14.6,,1
16,,1,,0,,14.2,,0.9
17,,1,,0,,14.1,,0.9
18,,1,,0,,14,,1.3
19,,1,,0,,15.2,,1
20,,1,,0,,15.2,,0.9
21,,1,,0,,14.6,,0.8
22,,1,,0,,15.6,,0.8
23,,1,,0,,14,,0.8
24,,1,,0,,15.1,,1.1
25,,1,,0,,15.4,,0.9
26,,1,,0,,15.3,,1
27,,1,,0,,14.7,,1.2
28,,1,,0,,14.8,,0.9
29,,1,,0,,14.3,,0.9
30,,1,,0,,15.4,,1
31,,1,,0,,14.5,,0.9
32,,1,,0,,15,,1
33,,1,,0,,15.1,,0.9
34,,1,,0,,14.8,,0.9
35,,1,,0,,15.1,,0.9
36,,1,,0,,14.9,,0.9
37,,1,,0,,15.6,,1
38,,1,,0,,15.7,,0.9
39,,1,,0,,14.8,,0.9
40,,1,,0,,14.8,,1.1
41,,1,,0,,15.2,,0.9
42,,1,,0,,15.1,,0.8
43,,1,,0,,15.4,,0.8
44,,1,,0,,14.3,,1
45,,1,,0,,14,,1
46,,1,,0,,14.2,,1
47,,1,,0,,14.9,,1
48,,1,,0,,14.1,,1
49,,1,,0,,15.6,,0.8
50,,1,,0,,15.5,,0.8
51,,1,,0,,15.5,,0.8
52,,1,,0,,15.3,,0.8
53,,1,,0,,14.6,,0.9
54,,1,,0,,15,,1
55,,1,,0,,15.4,,0.9
