k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,4,4,4,4,4,4,4,4,4,4
2,12,12,12,12,12,12,12,12,12,12
3,21,21,21,21,21,21,21,21,21,21
4,25,25,25,25,25,42,25,25,25,25
5,42,42,42,44,48,42,29,48,29,29
6,35,62,48,48,62,48,62,53,33,62
7,62,62,62,62,62,62,62,62,62,62
8,62,62,62,62,62,62,62,62,62,62
9,62,62,62,62,62,62,62,62,62,62
10,62,62,62,62,62,62,62,62,62,62
11,62,62,62,62,62,62,62,62,62,62
12,62,62,62,62,62,62,62,62,62,62
13,62,62,62,62,62,62,62,62,62,62
14,62,62,62,62,62,62,62,62,62,62
15,62,62,62,62,62,62,62,62,62,62
16,62,62,62,62,62,62,62,62,62,62
17,62,62,62,62,62,62,62,62,62,62
18,62,62,62,62,62,62,62,62,62,62
19,62,62,62,62,62,62,62,62,62,62
20,62,62,62,62,62,62,62,62,62,62
21,62,62,62,62,62,62,62,62,62,62
22,62,62,62,62,62,62,62,62,62,62
23,62,62,62,62,62,62,62,62,62,62
24,62,62,62,62,62,62,62,62,62,62
25,62,62,62,62,62,62,62,62,62,62
26,62,62,62,62,62,62,62,62,62,62
27,62,62,62,62,62,62,62,62,62,62
28,62,62,62,62,62,62,62,62,62,62
29,62,62,62,62,62,62,62,62,62,62
30,62,62,62,62,62,62,62,62,62,62
31,62,62,62,62,62,62,62,62,62,62
32,62,62,62,62,62,62,62,62,62,62
33,62,62,62,62,62,62,62,62,62,62
34,62,62,62,62,62,62,62,62,62,62
35,62,62,62,62,62,62,62,62,62,62
36,62,62,62,62,62,62,62,62,62,62
37,62,62,62,62,62,62,62,62,62,62
38,62,62,62,62,62,62,62,62,62,62
39,62,62,62,62,62,62,62,62,62,62
40,62,62,62,62,62,62,62,62,62,62
41,62,62,62,62,62,62,62,62,62,62
42,62,62,62,62,62,62,62,62,62,62
43,62,62,62,62,62,62,62,62,62,62
44,62,62,62,62,62,62,62,62,62,62
45,62,62,62,62,62,62,62,62,62,62
46,62,62,62,62,62,62,62,62,62,62
47,62,62,62,62,62,62,62,62,62,62
48,62,62,62,62,62,62,62,62,62,62
49,62,62,62,62,62,62,62,62,62,62
50,62,62,62,62,62,62,62,62,62,62
51,62,62,62,62,62,62,62,62,62,62
52,62,62,62,62,62,62,62,62,62,62
53,62,62,62,62,62,62,62,62,62,62
54,62,62,62,62,62,62,62,62,62,62
55,62,62,62,62,62,62,62,62,62,62
