k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,279,267,266,279,266,257,274,269,268,277
2,361,360,315,286,315,346,295,346,331,347
3,458,459,434,385,436,388,448,451,425,423
4,536,513,502,507,441,502,514,513,417,455
5,609,538,582,586,594,567,541,481,561,578
6,698,102,664,688,277,527,309,576,580,543
7,21,94,226,80,53,25,36,100,127,14
8,21,5,5,21,7,15,14,17,15,16
9,6,0,10,10,9,22,12,11,3,8
10,0,2,0,8,4,3,6,4,6,3
11,2,2,0,3,1,2,0,2,0,1
12,0,0,1,0,1,1,0,0,1,0
13,0,0,0,0,1,0,1,0,0,0
14,1,1,1,1,0,1,1,1,1,0
15,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1,1,1,0
18,1,1,1,1,0,1,1,1,6,0
19,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,0
21,1,1,1,1,1,1,1,1,0,0
22,1,1,1,1,1,1,1,1,0,0
23,1,1,1,1,1,1,1,1,0,0
24,1,1,1,1,1,1,1,4,0,0
25,1,1,1,1,1,1,1,1,1,0
26,1,1,1,1,1,1,1,1,1,1
27,1,3,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,0
29,1,1,1,1,1,1,1,1,1,0
30,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,0
32,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,0
34,1,1,1,1,1,1,1,1,1,0
35,1,1,1,1,1,1,1,1,1,0
36,1,1,1,1,1,1,1,1,1,0
37,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,0
39,1,1,1,1,1,1,1,1,1,0
40,1,1,1,1,1,1,1,3,1,0
41,1,1,1,1,1,1,1,1,1,0
42,1,1,1,1,1,1,1,1,0,0
43,1,1,1,1,1,1,1,1,0,0
44,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1
49,1,0,1,1,1,1,1,1,1,0
50,1,1,1,1,1,1,1,1,0,0
51,1,1,1,1,1,1,1,1,0,0
52,1,1,1,1,1,1,1,1,0,0
53,1,1,1,1,1,1,1,1,1,0
54,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,0
