k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,1161,1150,1156,1176,1175,1178,1158,1151,1175,1163
2,1132,1127,1122,1106,1144,1119,1123,1098,1137,1052
3,1030,1029,1058,1030,1075,1070,1063,1091,1062,1035
4,1049,1078,1079,1099,1046,1053,1036,1088,1037,1063
5,1078,1136,1061,1084,1102,1093,1111,1129,1096,1165
6,1122,1077,1057,1178,1164,1168,1129,1022,1053,1134
7,171,834,851,121,338,117,508,116,140,218
8,62,199,100,232,60,69,47,40,80,59
9,25,34,55,46,60,36,43,78,43,36
10,15,13,21,23,23,13,21,36,24,24
11,30,32,22,12,11,28,21,22,9,10
12,12,13,13,13,13,13,13,13,11,12
13,17,14,14,14,14,14,11,14,14,14
14,14,14,12,14,14,14,14,14,11,14
15,12,15,14,15,15,13,15,16,15,16
16,12,15,15,16,15,12,13,14,15,15
17,12,12,15,15,15,14,15,14,14,15
18,15,11,15,14,15,15,12,13,15,15
19,13,16,16,16,15,16,12,16,16,16
20,16,13,15,16,16,16,16,12,16,16
21,12,15,11,15,16,16,15,16,15,15
22,13,15,17,17,12,17,17,16,16,16
23,12,14,15,15,14,15,10,15,15,15
24,12,15,14,13,16,17,16,16,16,16
25,13,16,16,16,16,16,16,16,16,13
26,13,16,16,17,16,16,16,11,16,16
27,15,12,15,16,12,15,15,16,16,15
28,12,16,15,16,13,15,16,15,15,15
29,12,14,15,12,15,14,16,15,15,15
30,13,12,16,17,16,16,16,16,16,16
31,12,14,15,13,15,15,15,15,15,16
32,13,12,16,16,15,16,16,15,15,16
33,13,16,12,16,16,15,16,15,16,16
34,13,16,16,15,15,15,12,16,15,15
35,13,16,16,16,10,16,16,16,16,16
36,15,14,15,12,16,15,15,15,16,16
37,16,16,16,16,15,15,16,15,15,16
38,16,16,15,16,16,15,15,16,16,16
39,15,15,15,15,14,15,15,15,14,15
40,14,15,15,15,15,15,14,15,15,15
41,15,15,15,16,15,15,15,15,16,15
42,15,15,15,16,15,15,15,15,15,15
43,16,15,16,15,16,14,16,15,16,15
44,12,15,15,12,15,15,15,15,15,14
45,15,14,14,15,14,15,12,11,15,15
46,13,15,15,15,15,11,14,15,15,14
47,13,16,16,12,16,15,15,15,15,16
48,13,14,15,15,10,15,14,11,15,19
49,16,16,15,16,18,13,17,16,15,14
50,14,16,16,16,15,16,16,14,16,16
51,13,16,16,16,16,16,16,14,16,16
52,13,16,16,16,14,16,16,15,15,16
53,14,15,15,15,14,15,15,13,15,15
54,13,15,16,15,16,15,13,16,16,15
55,16,14,16,16,16,15,16,13,16,16
