k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,16,3181,16,42,16,1.07571e+06,16,552425
2,21,5710,19,32,20.8,1.11438e+06,21,609717
3,25,7710,23,32,24,1.17906e+06,24.7,657261
4,28,10265,26,32,27.3,1.21074e+06,27.9,695105
5,31,12812,29,32,30.5,1.24164e+06,31,720447
6,34,15328,32,34,33.1,1.27835e+06,34.1,766210
7,37,21433,35,36,36.8,1.29114e+06,37.4,778266
8,40,24531,38,38,39.3,1.32929e+06,40.2,804689
9,43,27362,41,38,41.1,1.35671e+06,43.7,836432
10,46,30182,44,42,43.8,1.37192e+06,46.5,840904
11,49,33471,47,49,46.2,1.39752e+06,49,883867
12,52,36101,50,50,48.3,1.44536e+06,51.9,903130
13,55,38631,55,49,51.5,1.44916e+06,54,937141
14,58,37163,58,50,52.6,1.47149e+06,56.3,948665
15,61,32648,61,52,54.3,1.49671e+06,58.6,993958
16,65,33543,63,53,56.6,1.53813e+06,61.5,990976
17,69,35609,65,54,59.2,1.56239e+06,64.1,1.00787e+06
18,72,37637,68,54,61.6,1.53631e+06,66.8,1.02495e+06
19,75,39714,71,55,62.3,1.58289e+06,67.2,1.05563e+06
20,78,41802,73,56,66.7,1.62134e+06,71.4,1.09826e+06
21,81,43881,75,56,68,1.63308e+06,71.9,1.14065e+06
22,84,46482,77,56,68.8,1.67676e+06,74.9,1.0843e+06
23,87,48404,79,56,71.8,1.66203e+06,78.2,1.13245e+06
24,90,50083,81,57,74,1.69213e+06,79.7,1.16667e+06
25,92,52205,83,57,75.6,1.70396e+06,82.3,1.21313e+06
26,94,61634,85,57,77.8,1.72089e+06,83.5,1.2323e+06
27,96,65770,87,57,80.8,2.34745e+06,86.8,1.26644e+06
28,98,66384,89,59,80.8,1.88251e+06,88.8,981798
29,100,64936,91,60,82.8,1.85911e+06,90.5,1.12976e+06
30,102,67065,93,61,84.3,1.87018e+06,93.3,1.13284e+06
31,104,71597,95,62,86.9,1.91954e+06,94,1.05326e+06
32,106,75181,97,62,88.7,1.96164e+06,97.1,1.08778e+06
33,108,86453,99,63,90.7,1.92321e+06,98.7,1.17359e+06
34,110,85979,101,64,91,2.00705e+06,100.9,1.1941e+06
35,112,88590,103,64,94.7,2.04875e+06,102.6,1.14758e+06
36,114,91313,105,64,95.1,1.98358e+06,103,1.21651e+06
37,116,93753,107,65,96.5,2.0437e+06,106,1.21084e+06
38,118,96244,109,66,98,2.03766e+06,108,1.27633e+06
39,120,98549,111,67,100,2.09149e+06,110.6,1.2783e+06
40,122,98684,113,68,102.3,2.10473e+06,112.9,1.3456e+06
41,124,85393,115,77,105.4,2.13902e+06,113.4,1.33952e+06
42,126,87032,117,78,105.5,2.1954e+06,117,1.29708e+06
43,128,89094,119,78,106.7,2.16567e+06,118.6,1.34534e+06
44,130,91088,121,80,109.3,2.27301e+06,120.6,1.35083e+06
45,132,93092,123,81,109.4,2.20417e+06,123.3,1.41373e+06
46,134,95141,125,82,112.8,2.23772e+06,124.5,1.40778e+06
47,136,97235,127,82,113.4,2.3383e+06,124.7,1.46063e+06
48,138,99276,129,83,113.7,2.29811e+06,127.2,1.44964e+06
49,140,101350,131,84,115.4,2.30303e+06,129.7,1.47416e+06
50,142,103408,133,84,118.5,2.46422e+06,133.3,1.43616e+06
51,144,105460,135,85,118.9,2.41354e+06,134,1.46209e+06
52,146,107514,137,85,120.9,2.37806e+06,136.1,1.49926e+06
53,148,109586,139,86,122.1,2.37298e+06,136.9,1.6015e+06
54,150,111560,141,86,122.5,2.39688e+06,139,1.55083e+06
55,152,113587,143,88,126.1,2.46647e+06,140.7,1.62042e+06
