k,1,2,3,4,5,6,7,8,9,10
1,575983,598839,446412,616911,618002,583534,445448,519584,593313,526227
2,629660,672670,444218,606482,680359,468289,682367,620061,624419,668644
3,728803,672930,728877,681698,724696,482434,670098,648147,503518,731412
4,656978,543217,758976,735255,767952,544228,735464,690762,773973,744247
5,579262,700477,532895,806143,756640,750868,744380,791243,734673,807888
6,650761,798818,784581,733722,832884,834814,613919,790885,835004,786715
7,821333,796777,853561,861024,871730,832120,588489,728041,804704,624877
8,886356,918101,816042,582768,899295,577722,908523,821571,804539,831977
9,785266,918394,808065,881186,906694,806823,723719,927778,909856,696544
10,843594,949052,946955,843111,931595,597547,611610,862964,869740,952873
11,670007,898091,953887,902915,893331,1000337,644280,962080,929456,984287
12,633973,983206,800381,830985,910587,988249,893484,991613,999648,999172
13,919729,771472,976050,1036665,984855,1036926,993055,917221,753299,982137
14,974691,760866,920059,982205,1060281,1063213,1037938,983428,723093,980875
15,924865,846122,932583,1090226,889198,1049275,1099862,1080241,971057,1056154
16,984649,1025496,1094434,988790,675532,1087403,1113737,724989,1115775,1098952
17,708335,1038396,1123645,1148637,1032817,820416,1029523,1136777,1059134,980985
18,1154743,1055535,1122259,742983,1161277,1031413,1175152,759014,1026207,1020927
19,1183837,1069868,1178901,764058,749307,1191779,1092447,1066842,1187759,1071520
20,870262,1126618,1232469,1023263,1213258,1215755,1184504,1057983,1174292,884148
21,1195935,1205333,1061378,1153213,1022370,1227181,1235768,1008012,1074257,1223010
22,1222010,1074442,1112168,1347894,723061,1143746,1071021,1217274,737372,1194040
23,1290760,1266161,1227067,1337138,1136874,1259920,1110175,910613,1000457,785286
24,1268163,1270988,1288624,1396604,1245777,1224663,1135080,916923,764111,1155773
25,801731,1305498,1313997,1456166,1285046,1210272,1251668,1326158,979979,1200755
26,1302335,1259272,1038930,1154233,1279886,1345841,1362175,1378471,864039,1337819
27,1159997,1165588,1319401,1306224,1311922,1157329,1235365,1422816,1332550,1253187
28,818938,1075686,1120445,825519,1067506,1014841,813011,1054743,1009333,1017957
29,842563,989847,1115660,1230143,1236739,1210129,1183341,1080663,1183049,1225433
30,1009139,1106700,938284,1059898,1189378,1177628,1194934,1159240,1313494,1179749
31,1304020,934220,882361,1133660,809024,1130477,1108004,1083047,1071986,1075791
32,1323974,957255,1192874,1187423,1161713,1133416,901530,833066,1043296,1143275
33,1101727,1246398,1337616,1238160,970898,833846,1235900,1165614,1259289,1346487
34,1328344,1370438,873116,1179250,1148142,865750,1305965,1146918,1447691,1275395
35,1255667,1234337,1073759,1260414,1260390,1258299,896280,989226,1129798,1117609
36,1457074,1355706,1300006,1310480,978579,1189317,1040032,1020687,1103797,1409450
37,1308972,969794,1279628,960661,1447275,1258650,1340136,1242221,1174451,1126592
38,1424467,1317767,1318737,1402961,982570,1229178,1301581,969020,1443298,1373691
39,1075015,1274005,1441091,1460775,1025347,1297293,1331410,1312777,1376049,1189274
40,1382955,1391688,1100556,1351368,1203170,1407313,1426080,1316309,1515767,1360818
41,1653771,1450212,1117309,1132618,1409396,1376395,1240718,1131130,1489687,1393956
42,1590504,942542,1220985,1304619,1409607,1157906,1345126,1245847,1474141,1279492
43,1544178,1207726,1423082,1404363,1382129,1222487,1097825,1354310,1477926,1339358
44,1466777,1499689,1201601,1131732,1435532,1191038,1266537,1458006,1500979,1356427
45,1533342,1155540,1496631,1352189,1199619,1483440,1484298,1316924,1645763,1469573
46,1382822,1337329,1525968,1212679,1496750,1538881,1448446,1184646,1436040,1514260
47,1611322,1620438,1609167,1564822,1216299,1189884,1464352,1457260,1481442,1391326
48,1365725,1543637,1577076,1530166,1258231,1439409,1260304,1527053,1586445,1408402
49,1593845,1659193,1640822,1294802,1296776,1213454,1571195,1556614,1464363,1450520
50,1595344,1622480,1621947,1572841,1161010,1293099,1041847,1399029,1658405,1395570
51,1300452,1640511,1583329,1208380,1604102,1197093,1499539,1493077,1673203,1421198
52,1569261,1208317,1285744,1542888,1661529,1606670,1447233,1620361,1695331,1355218
53,1760073,1654442,1365817,1668041,1705094,1383295,1734559,1615511,1620522,1507645
54,1584360,1690256,1214623,1709242,1663618,1512814,1383428,1725292,1503804,1520854
55,1763822,1821489,1651880,1841993,1675989,1360296,1273971,1610054,1676850,1527863
