k,1,2,3,4,5,6,7,8,9,10
1,1107663,1113726,1107991,1169779,1178527,1100197,1148761,819266,855788,1155442
2,1229728,840358,1213289,1148809,834355,1137213,1219123,1141354,1226332,1153210
3,1265744,1174648,1048589,1243313,1207005,939201,1127967,1275189,1247783,1261115
4,1309125,1252607,1314460,1307616,1249804,904742,1327196,1261191,1171005,1009684
5,1158697,1306100,1321978,1349436,1113122,1330360,1368999,1255928,1216028,995769
6,1347286,1255250,1166867,1165030,1380179,1288112,1375187,1399239,1028091,1378283
7,1382433,1387436,1128921,1372808,1390691,1198323,1219110,1099455,1376985,1355259
8,1419922,1069128,1288892,1440095,1443154,1169709,1430495,1409821,1358524,1263171
9,1380387,1394476,1118992,1487980,1482649,1403084,1464554,1487878,1355204,991870
10,1387318,1494837,1512135,1052946,1503347,1517011,1039574,1406085,1399213,1406748
11,1463078,1133026,1541368,1454051,1527876,1472221,1050647,1536168,1429057,1367745
12,1588109,1373038,1471012,1243274,1444396,1496708,1524623,1411697,1430759,1469955
13,1338946,1598667,1553349,1501622,1103976,1577510,1582775,1213177,1552215,1469399
14,1349374,1538779,1594694,1199663,1497207,1586567,1589079,1573635,1237434,1548511
15,1394706,1587274,1625417,1251835,1628279,1532895,1615818,1544195,1160447,1626243
16,1248468,1594008,1547919,1594375,1660647,1591515,1570717,1290954,1588811,1693851
17,1172184,1657768,1487871,1620338,1583570,1664101,1582270,1675922,1546465,1633421
18,1604294,1669164,1545675,1690239,1612497,1169256,1679536,1138734,1572548,1681195
19,1258481,1670458,1614072,1372664,1729625,1760632,1635816,1659272,1611990,1515867
20,1268309,1811807,1669719,1665890,1748083,1579550,1750666,1207006,1820566,1691852
21,1733516,1785040,1669145,1721467,1225279,1737959,1806376,1273536,1807156,1571300
22,1661454,1619211,1781573,1729486,1708080,1481603,1760357,1692374,1771720,1561741
23,1447833,1776126,1720582,1316749,1615198,1794341,1792135,1777899,1683260,1696143
24,1674597,1793402,1710926,1800968,1723717,1606494,1803680,1561921,1596075,1649523
25,1520916,1493043,1850410,1897191,1698011,1442922,1844976,1795922,1720680,1775508
26,1872640,1761355,1319809,1738847,1373594,1869668,1894278,1793168,1702738,1882842
27,2334765,2336845,2357916,2383319,2277865,2476426,2363278,2272491,2360016,2311593
28,1989742,1820313,1847375,1832951,1810876,1811705,1888849,1886575,1907084,2029667
29,1810071,1815807,1816340,1862248,1902550,1983118,1861486,1800002,1913967,1825526
30,1856224,1863904,1948077,1783291,1848805,1886245,1927088,1896407,1789655,1902068
31,1966674,2036242,1866432,1926746,1868581,2092598,1923028,1842865,1864568,1807660
32,1971927,1985537,1896975,1963779,1921225,1961925,1910251,1909981,2057365,2037425
33,1949117,1882667,1952532,1920482,1906058,1941609,1944358,1862243,1913457,1959546
34,2107551,1967528,2025722,1916180,2021064,2016935,1948151,2024285,2007038,2036034
35,1980552,2038032,2036706,2061531,2040318,1959309,1956354,2221823,2154405,2038452
36,1998477,1975437,1868955,1871198,1962056,2042640,2019894,2089625,2062089,1945432
37,1954849,1968605,1936547,2000215,2019649,2011614,2032307,2168788,2041578,2302877
38,2185229,2000887,2007127,1987856,1960992,2023110,2144018,2065487,2081633,1920254
39,2177240,2097919,2068723,2044278,2102270,2014585,2146521,2221212,2034296,2007830
40,2034662,2042542,2105750,2175917,2201703,2098057,2057510,2090456,2106571,2134123
41,2125655,2008151,2015443,2276290,2228919,2097012,2230348,2110500,2108857,2189069
42,2222296,2073506,2140397,2117140,2269558,2187101,2242813,2290052,2189562,2221613
43,2029853,2105845,2150601,2168912,2255667,2255517,2152572,2136457,2330564,2070669
44,2326539,2196296,2357266,2223967,2209905,2209771,2254426,2198191,2391846,2361892
45,2044535,2310695,2281275,2134297,2241307,2218442,2217904,2330350,2101498,2161411
46,2357658,2133675,2241725,2276133,2203939,2366244,2152459,2161299,2134340,2349725
47,2460784,2410825,2450991,2182348,2289279,2492114,2308744,2137747,2436267,2213911
48,2242360,2251155,2225116,2236530,2251227,2325998,2371780,2295337,2468933,2312669
49,2140743,2447463,2143003,2352098,2383793,2518027,2303315,2152783,2305985,2283066
50,2201973,2599205,2706426,2694668,2511519,2358312,2610335,2177196,2354063,2428521
51,2716155,2286018,2524394,2399972,2305976,2275063,2351909,2311714,2618271,2345913
52,2564130,2316197,2283154,2476658,2457110,2312579,2408692,2228959,2222473,2510627
53,2349097,2326163,2338791,2420726,2376258,2446892,2342035,2259823,2430339,2439702
54,2333898,2380677,2362397,2244518,2370440,2710035,2208598,2689425,2406060,2262782
55,2438037,2359005,2353685,2334140,2418490,2642368,2347662,2878398,2514552,2378386
