k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,4,637,4,36,4,137722.5,4,36535.7
2,8,1312,8,7,7.9,145797.3,8,49622.1
3,12,1935,12,8,11.6,147899.9,12,52158.5
4,15,2606,14,9,14.1,154446.7,14.8,58400.4
5,17,3226,16,11,16.4,160758,17,64566.4
6,19,3884,18,18,18.4,169721.6,18.9,64363.9
7,21,4475,20,18,20.8,174571.6,21.1,58512.3
8,23,5146,22,19,22.8,163318.9,23.3,69633.3
9,25,5767,24,19,25,182529.3,25.5,67340.7
10,27,6455,26,21,26.5,179056.2,27.4,82556.3
11,29,7097,29,23,29.1,187338.3,29.3,90278.7
12,31,8037,31,25,30.5,196199.1,31.5,89870.9
13,33,8356,33,26,32.5,200813.8,33.4,104524.8
14,35,9302,35,26,34.2,225029.3,35.4,113397
15,37,9917,37,25,36.5,226472,37.4,109955.5
16,39,10548,39,26,37.7,221305.7,39.2,124227.3
17,41,11256,41,30,39.3,225643,41.4,121141
18,43,11800,43,30,41.8,237783.5,43.3,126184.3
19,45,13629,45,31,41.9,235889,45.6,139530.9
20,47,14380,47,31,44.1,245697.2,47.3,144274.1
21,49,13815,49,32,45.7,252966.4,49,147423.1
22,51,14493,51,36,47,257918.1,51,149233.8
23,53,15560,53,37,49,263708.3,52.8,142462
24,55,17478,55,43,51.1,308004,54.6,190360
25,57,19822,57,28,52,313963,56.2,191047
26,59,23437,59,30,53,320819,58.1,200206
27,61,21708,61,45,54.1,318264,59.9,202407
28,63,22927,63,33,56.5,343239,61,210700
29,65,24435,65,24,56.6,342678,63.1,220264
30,68,22665,66,51,58,348432,64.3,218158
31,70,31056,67,63,60.2,328421,67,205384
32,72,31831,68,63,60.6,323937,67.6,225067
33,74,33019,69,40,63.2,331816,68.8,221941
34,75,31167,70,52,63.7,324896,69.8,231999
35,76,34885,71,44,66.2,338061,71.9,241699
36,77,35983,72,48,67,342294,74.6,244916
37,78,29623,73,40,67.3,350001,74.8,221643
38,79,28995,74,42,69.3,353181,77.1,259025
39,80,30117,75,43,71.2,371599,78.1,240044
40,81,31068,76,43,72.2,375986,80.8,248580
41,82,35245,77,43,72.8,370595,80.9,283714
42,83,38431,78,44,74.4,395086,84.5,250712
43,84,38087,79,51,75.8,395129,82.9,290712
44,85,40442,80,61,76.7,393593,85.3,274928
45,86,40865,81,57,77.9,406552,86.3,295240
46,87,45706,82,53,79,415134,87.2,285653
47,88,40757,83,57,80.4,425547,90.4,295893
48,89,41915,84,58,82.4,419022,91.2,300848
49,90,39525,85,38,82.2,440804,95.1,310739
50,91,42737,86,96,85.2,437883,92.4,296974
51,92,38337,87,42,86.7,439686,96,340380
52,93,44289,88,49,86.8,441562,97.6,330961
53,94,40351,89,46,88.1,463323,97.8,331011
54,95,48609,90,54,89.1,458819,100,344002
55,96,50102,91,53,90.8,458053,99.8,299837
