k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,4,4,4,4,4,4,4,4,4,4
2,8,8,8,8,8,8,8,8,8,8
3,12,12,12,12,12,12,12,12,12,12
4,14,15,15,15,14,15,15,15,15,15
5,17,17,17,17,17,17,17,17,17,17
6,19,19,19,19,19,18,19,19,19,19
7,20,21,21,22,22,21,21,21,21,21
8,23,24,23,23,24,24,23,23,23,23
9,26,26,25,26,26,25,25,26,25,25
10,27,28,27,28,27,28,28,27,27,27
11,30,29,29,29,30,29,30,29,29,29
12,32,32,31,31,32,32,31,31,32,31
13,33,33,34,33,34,34,34,33,33,33
14,35,36,35,35,36,35,36,35,35,36
15,38,37,38,37,37,37,37,37,38,38
16,39,39,39,39,40,39,40,39,39,39
17,41,41,41,42,41,42,42,41,42,41
18,43,44,43,43,43,43,44,43,44,43
19,45,45,46,45,46,46,46,46,45,46
20,47,48,47,48,47,47,47,47,47,48
21,49,49,49,49,49,49,49,48,49,50
22,52,51,50,52,50,51,52,51,51,50
23,54,54,51,53,53,52,53,52,53,53
24,54,55,55,54,55,54,55,55,55,54
25,56,56,57,57,56,56,56,56,55,57
26,58,58,59,59,59,57,57,57,58,59
27,59,60,62,60,59,59,60,59,62,59
28,62,59,62,62,62,63,60,59,60,61
29,64,64,63,62,61,64,62,63,64,64
30,65,65,62,64,65,63,66,63,65,65
31,70,68,67,66,67,69,67,65,66,65
32,67,67,68,66,67,66,69,69,67,70
33,68,67,69,71,67,69,66,76,67,68
34,70,69,71,70,69,69,70,69,72,69
35,72,72,71,71,72,72,71,76,72,70
36,78,71,81,76,73,75,73,74,72,73
37,76,75,75,75,73,73,79,75,74,73
38,76,78,77,82,75,76,76,77,76,78
39,75,82,78,77,78,78,81,77,77,78
40,79,77,80,81,80,83,86,78,79,85
41,82,80,80,80,82,85,79,81,79,81
42,82,87,80,86,84,81,89,88,86,82
43,86,79,82,82,86,83,85,84,81,81
44,84,85,83,85,83,83,86,94,84,86
45,86,91,84,93,85,87,84,85,84,84
46,89,88,92,91,83,87,87,83,87,85
47,89,88,93,92,93,90,93,93,86,87
48,88,88,86,96,89,96,98,93,89,89
49,103,94,99,99,91,90,91,93,90,101
50,92,95,96,91,91,90,92,97,90,90
51,92,101,91,96,93,94,97,96,103,97
52,104,92,97,97,103,95,99,95,98,96
53,93,99,96,97,104,105,93,95,103,93
54,98,103,98,97,105,97,107,99,102,94
55,101,105,96,97,97,106,105,96,99,96
