k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,4,4,4,4,4,4,4,4,4,4
2,8,8,8,8,8,8,8,8,7,8
3,12,10,12,12,12,10,12,12,12,12
4,15,14,14,14,15,14,14,14,15,12
5,16,16,17,17,17,16,15,17,16,17
6,18,18,18,18,18,19,19,19,18,19
7,21,21,20,21,21,21,21,21,21,20
8,22,24,22,22,24,23,23,22,23,23
9,25,25,25,25,25,25,25,25,25,25
10,26,26,25,27,27,27,27,27,26,27
11,30,29,28,29,30,29,29,30,28,29
12,31,31,30,31,30,29,31,31,29,32
13,33,32,32,33,33,31,33,32,33,33
14,34,34,34,34,35,36,35,32,34,34
15,37,37,37,37,37,37,36,35,36,36
16,38,37,39,37,37,37,39,38,38,37
17,38,39,41,40,38,38,40,41,39,39
18,42,42,41,42,42,43,41,41,42,42
19,39,41,43,42,44,44,42,41,41,42
20,46,42,44,45,44,43,43,45,46,43
21,44,47,46,46,47,46,46,45,44,46
22,48,48,48,46,46,46,46,46,49,47
23,52,50,48,48,49,48,50,49,47,49
24,52,51,51,49,49,52,51,52,52,52
25,52,53,51,52,53,52,50,53,53,51
26,53,52,51,52,53,53,53,56,53,54
27,55,53,56,54,55,53,51,54,53,57
28,57,56,55,55,58,56,58,56,57,57
29,58,59,56,58,57,55,54,57,55,57
30,58,58,59,59,59,60,57,59,54,57
31,58,62,58,61,61,61,59,60,60,62
32,59,63,56,58,59,61,63,64,60,63
33,64,65,64,64,63,64,64,63,61,60
34,64,64,65,64,64,63,62,63,65,63
35,66,68,67,67,66,65,67,63,67,66
36,66,66,67,68,69,71,65,66,66,66
37,67,67,68,68,67,67,68,66,69,66
38,68,66,70,68,70,73,68,70,70,70
39,72,70,70,78,72,72,69,70,70,69
40,72,71,70,76,73,73,75,68,71,73
41,68,73,72,71,72,72,72,79,76,73
42,74,74,74,75,77,75,75,74,74,72
43,75,77,76,75,74,78,75,76,78,74
44,77,78,76,75,76,79,77,77,74,78
45,76,77,80,82,76,76,78,78,80,76
46,79,78,77,79,79,81,79,78,79,81
47,78,80,78,80,82,80,81,81,84,80
48,81,87,81,82,84,83,82,83,80,81
49,83,86,81,85,81,79,83,82,81,81
50,84,87,82,87,86,85,87,85,84,85
51,87,86,91,85,84,91,86,88,85,84
52,88,86,87,88,88,88,85,86,86,86
53,93,89,88,85,85,86,86,89,86,94
54,92,90,87,87,88,91,90,87,90,89
55,92,96,92,93,89,90,90,90,88,88
