k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,37012,26115,24774,24813,28093,46542,45020,48210,47852,36926
2,29183,28939,29132,43341,62383,58806,43991,69507,69944,60995
3,32125,32967,32206,45806,64029,65074,61461,57822,68457,61638
4,35977,37300,37261,72327,77853,58629,76628,59186,74531,54312
5,46440,50937,60681,61790,66800,81268,85687,64828,65778,61455
6,46541,47972,61395,61784,67372,66241,73619,78732,79762,60221
7,55750,59022,68610,67377,56247,51797,59967,52797,56419,57137
8,56651,42350,66091,79711,64535,89643,91786,57360,72866,75340
9,59314,64979,67615,64716,69125,71197,71145,59308,69545,76463
10,68249,69907,84640,73389,92311,79555,87054,87947,87314,95197
11,72656,80898,105285,110146,86154,103983,86269,75101,97329,84966
12,77657,72911,86785,90372,97830,79572,104146,99444,79529,110463
13,87770,84385,115190,110636,105180,114903,105912,106853,109378,105041
14,98525,99037,123731,120233,116837,114663,112978,113106,119891,114969
15,95969,106486,117194,114190,105753,124997,110505,112647,102274,109540
16,100027,116162,132774,122873,142544,123112,137228,123894,132581,111078
17,107367,113036,126151,128507,124880,130941,131765,118338,138550,91875
18,119654,121511,119777,126019,127931,122238,126447,133340,130309,134617
19,112531,142383,131211,151113,160286,143727,155630,120063,152762,125603
20,132399,145700,151106,144731,154465,146073,148124,141635,142154,136354
21,129791,153632,141196,134979,140465,155967,152827,164633,154635,146106
22,143032,126449,152876,127024,162191,117398,158331,152964,176943,175130
23,138783,113832,125532,154998,157714,114760,178716,111997,153768,174520
24,173888,176694,195500,200377,196559,195720,199407,202925,195416,167115
25,169976,203682,188706,194265,192162,200725,194434,179327,200187,187010
26,178599,211401,204947,212445,198898,216669,195662,191960,201665,189811
27,180817,191424,195585,208549,208434,221881,205804,212797,209685,189096
28,193267,194937,216616,195312,222658,230022,215843,216444,220191,201714
29,205337,223286,230292,231782,212949,214758,233287,224052,216510,210392
30,203738,199022,232373,233478,230582,230846,222334,223223,206443,199538
31,191868,227794,215732,187987,168164,217093,213185,212900,211536,207584
32,203456,185026,221978,245429,225651,226628,238718,230333,243572,229883
33,225919,228982,222389,213559,218049,233883,227769,236729,196921,215206
34,200053,256988,256008,264350,255298,271908,272037,216393,145192,181764
35,229582,172194,272582,251588,242674,278705,257420,217428,260562,234252
36,237950,260737,267514,272870,149991,263305,270732,232995,269563,223507
37,231774,247796,236732,213155,137970,225085,275012,235746,276645,136514
38,260243,276416,289551,292903,241901,191028,153809,281169,294407,308823
39,252281,167093,303420,242062,148293,313280,252787,194083,268349,258787
40,254548,149913,263193,303154,276831,303685,293375,158333,251664,231103
41,258133,311992,315876,278038,309237,174428,287061,327287,312742,262341
42,285027,144436,272483,318755,313842,200146,265605,157722,282159,266946
43,245665,300911,201925,327136,161058,339173,334266,358328,344557,294097
44,316140,280131,332126,163376,325657,311093,271395,307787,158978,282601
45,283107,152890,303265,280832,229313,345786,342611,341537,328708,344352
46,244672,315958,322574,328244,238641,250295,313404,336057,283745,222936
47,297064,237635,241119,271322,272062,351389,353582,216966,367986,349802
48,326116,222735,309051,354810,273226,358016,249039,361101,339251,215137
49,323349,248830,345957,311393,311309,236935,343513,376257,242195,367648
50,322856,318336,209926,283555,264422,369133,336203,304803,248039,312467
51,244569,377308,363133,196381,315361,387838,406718,394298,397389,320805
52,354445,220017,336420,311012,393967,382463,379368,380528,350715,200671
53,345944,186815,356537,355602,342482,367047,231998,396760,336496,390429
54,358435,210431,376034,406296,416084,403292,324838,383447,249084,312078
55,352515,349419,318754,352545,307238,310696,247218,284045,280769,195169
