k,g1r1,g1r2,g1r3,g1r4,g1r5,g1r6,g1r7,g1r8,g1r9,g1r10
1,143023,137983,140481,134303,135407,134050,141891,135591,136782,137714
2,151323,142794,145443,147581,144111,141643,146710,144655,146354,147359
3,143905,150977,144751,144564,148665,142877,150805,148713,150995,152747
4,152317,151564,152152,155866,155170,160390,158841,150312,149169,158686
5,164070,164844,160907,158989,152533,156218,159946,164688,166090,159295
6,168669,172290,169224,163894,165722,162871,163914,186113,178597,165922
7,175466,168181,171345,174134,170241,177855,163888,176956,178693,188957
8,171762,168035,173839,172706,162896,143911,163928,170813,160078,145221
9,199569,195429,190943,152794,181585,166003,168606,190155,187740,192469
10,138025,190017,173808,188353,185232,185639,185146,176788,189026,178528
11,195586,198483,205505,180394,184488,192138,171514,177958,189477,177840
12,191564,210476,207908,203608,171466,183618,204139,192855,191817,204540
13,197852,205615,192460,214663,199233,206085,200911,170754,218806,201759
14,225391,218638,222457,232177,213041,230062,233800,222991,225339,226397
15,225552,238564,221207,234212,221023,218832,226881,224036,223925,230488
16,221391,227404,216633,226290,236174,225842,209037,212760,219072,218454
17,236839,236442,193009,236571,246339,203216,229169,223146,228179,223520
18,233500,226080,236895,238213,241869,240570,213153,250109,253054,244392
19,238041,243931,238153,235972,241348,216563,222831,231303,236455,254293
20,221518,255834,258495,245826,251370,256127,254667,250686,272975,189474
21,270897,262221,251291,254187,247636,243977,259584,250193,239215,250463
22,271660,280157,280673,239188,229231,208495,250184,260159,279523,279911
23,287512,276060,237318,275991,258972,160191,281453,288009,278182,293395
24,306489,314638,303186,321602,293553,308451,304429,301407,304766,321519
25,323314,306063,340369,302694,307512,320040,306597,311928,306221,314889
26,326104,322331,318892,319549,318735,304632,324877,318521,320013,334538
27,334648,327551,333533,308371,320065,310337,314227,306613,318624,308673
28,347924,327214,347716,338768,350044,331728,339541,352749,350249,346457
29,333662,339629,346010,343785,355563,360522,336559,336910,332498,341642
30,353443,361370,350066,345601,357192,344772,360987,346521,330903,333461
31,338023,320928,333974,316315,317927,331315,314826,317215,348194,345492
32,319286,321901,335655,319293,337906,337432,315422,317754,317263,317457
33,352961,323796,314567,304437,335195,358301,331532,334504,324087,338777
34,331178,341784,350073,255211,344226,326651,329574,364394,326596,279277
35,368651,378027,349836,346648,259582,383287,306408,350072,361122,276973
36,380592,315051,371287,344281,355443,289882,342074,292789,360885,370653
37,380090,381943,385527,233359,366133,284464,339264,370920,395539,362769
38,368803,383851,383542,375447,388850,365454,361505,274835,378081,251445
39,391095,249299,370820,326322,388380,396621,389676,432439,394470,376864
40,266758,433402,420678,395928,362782,384309,370270,366392,398032,361310
41,384542,389774,329844,361593,391050,432284,397607,381171,383874,254209
42,417258,299106,331310,428939,422763,418327,374179,413029,416095,429849
43,337799,396395,386642,447695,402781,409687,417986,417460,325106,409741
44,395497,396799,411133,341244,428690,416012,440583,413562,426389,266025
45,403053,439297,478952,426304,242094,436555,427995,435355,430798,345119
46,443870,440907,440193,251848,456227,417960,395349,439902,438807,426275
47,446698,307219,434291,485513,452674,443838,387682,455660,405000,436899
48,439087,438961,462961,431401,294980,377327,404838,431280,451654,457734
49,374596,449508,340398,466020,431497,467925,470936,460368,467977,478811
50,456902,475391,488520,292451,449843,395103,468802,382831,481561,487425
51,471761,393089,466833,441011,446262,483473,463324,319305,456159,455638
52,473028,486198,301524,489042,467454,425943,479361,462238,372105,458724
53,491056,470170,411435,472263,477414,302847,485849,519728,505183,497284
54,480829,502851,348860,464609,463905,394466,479255,485447,487210,480761
55,436707,445386,494077,505773,485755,333224,512121,481344,408495,477644
