k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,5,1826,5,19,5,913016,5,558582
2,9,3262,9,18,8.6,810899,9,570209
3,12,4990,12,7,11.8,831376,12,550580
4,15,5999,15,21,14.6,834088,15,543009
5,18,8436,18,9,17.5,864392,17.9,538708
6,21,8845,21,23,20.3,864503,21,562193
7,24,10954,24,10,23.9,881933,24,561063
8,27,11734,27,10,26.6,890245,27,548065
9,30,13015,30,11,29.3,911493,30,568402
10,33,14496,33,10,30.8,930230,33,563510
11,36,15939,36,10,34.4,937726,35.7,592362
12,39,17384,39,12,36.4,942826,38.8,581603
13,42,18831,42,14,38.9,960594,41.3,595778
14,45,20281,45,15,41.6,985008,44.1,597370
15,48,21688,48,14,43.4,976468,46.4,597320
16,51,23134,51,15,45.2,989814,49.9,609731
17,54,24703,54,15,48,1.01472e+06,52.3,623763
18,57,26004,57,16,49.9,1.02682e+06,54.3,627304
19,60,27485,60,18,52.6,1.05216e+06,56.5,631079
20,63,28849,63,19,54.5,1.06301e+06,59,648743
21,66,30358,66,19,56.1,1.06786e+06,60.8,662959
22,69,28387,69,20,58.3,1.09064e+06,64.4,661760
23,72,27177,72,21,60.5,1.0976e+06,66.4,708150
24,75,28359,75,22,62.7,1.10212e+06,68.6,686136
25,78,29499,78,22,64,1.11154e+06,71.4,702412
26,81,30694,81,22,66.3,1.12717e+06,73.2,700485
27,84,32019,83,23,68.7,1.1281e+06,75.5,735704
28,87,33077,85,24,71.9,1.16267e+06,77.7,706164
29,90,34241,87,25,71.4,1.18337e+06,80.2,717302
30,92,35375,89,26,74,1.15735e+06,81.4,752361
31,94,36532,91,26,76.5,1.21126e+06,83.1,782508
32,96,37682,93,28,78.7,1.20837e+06,85.7,753733
33,98,38945,95,27,79,1.21261e+06,87.3,813510
34,100,39996,97,29,82.9,1.24176e+06,91.1,760331
35,102,41217,99,29,83.7,1.24667e+06,92.7,776091
36,104,42350,101,28,86.3,1.24581e+06,95.1,827492
37,106,43516,103,29,89.1,1.27326e+06,95.5,883560
38,108,44627,105,29,88.2,1.32488e+06,98.1,840556
39,110,45788,107,34,92.9,1.32202e+06,101,877951
40,112,46948,109,32,93,1.27515e+06,103.3,884050
41,115,48712,111,32,95.1,1.30345e+06,105,844964
42,117,51962,113,33,96.8,1.34688e+06,106.6,851977
43,119,54157,115,31,98.5,1.34112e+06,108.9,863536
44,121,55390,117,34,99.8,1.35647e+06,110.9,875182
45,123,56690,119,36,101.7,1.36324e+06,114.2,899042
46,125,57903,121,35,103.5,1.35286e+06,114.2,926375
47,127,58976,123,36,105.1,1.38233e+06,118,933106
48,129,56350,125,35,106.9,1.43946e+06,118.1,928492
49,131,57343,128,36,107.3,1.45339e+06,121.4,992562
50,133,58455,130,35,109.9,1.43695e+06,122.7,970283
51,135,59605,132,35,112.2,1.41855e+06,125.1,1.03969e+06
52,137,60746,134,35,115,1.45461e+06,127.7,1.02268e+06
53,139,65974,136,37,115.5,1.45969e+06,129.5,1.0091e+06
54,142,67769,138,37,117.6,1.45786e+06,129.8,1.05291e+06
55,144,69280,140,37,120.2,1.48886e+06,133.7,1.10547e+06
