k,1,2,3,4,5,6,7,8,9,10
1,563916,570227,551224,550817,567673,500138,508532,545642,561865,665787
2,573194,600650,601127,597415,593190,600760,546974,500570,574777,513432
3,555275,596701,597886,597001,582904,561722,571130,560610,397579,484988
4,539446,589867,592158,458750,573483,575085,541755,585438,578738,395369
5,594570,596825,595182,389778,559534,597613,555151,396214,553945,548273
6,471781,558263,528387,611329,589850,592342,604455,591924,465218,608382
7,588749,615944,606540,583573,448283,585059,430800,561668,576975,613040
8,561187,604597,572271,606172,398002,569271,554429,396271,607145,611306
9,525522,608498,561273,560828,621877,610483,623868,563754,397376,610538
10,623735,573874,627248,404366,628077,626329,581607,407811,593907,568149
11,506869,610219,595673,601215,614966,442994,643067,615863,648707,644043
12,643786,619982,641682,406048,641704,625869,535504,644133,560068,497257
13,521616,641405,660950,609093,539161,660127,611593,648063,634596,431171
14,657472,656671,411807,599724,611723,558491,659859,523010,658088,636854
15,430417,440249,661680,613708,623383,659579,610542,617147,668966,647530
16,630642,453081,679530,674543,618387,439099,632128,621804,677324,670770
17,572578,693671,449708,685445,538980,649884,668172,626777,676311,676104
18,645888,457816,693561,639918,698358,623202,698477,697493,463877,654454
19,634898,706974,634730,696850,709104,477471,441761,703822,651681,653499
20,459794,703762,670706,665151,677200,718286,687745,715642,517921,671223
21,737040,531182,683342,696577,464429,686441,738744,685654,729809,676369
22,723523,741243,731858,674489,690083,673103,470363,673614,498459,740863
23,739704,584553,732885,760962,710193,748802,668431,686220,756351,693394
24,648033,510707,750363,714117,755078,699576,743936,720507,562586,756461
25,751804,768787,727934,734778,758168,764691,715677,589844,671749,540690
26,759273,646587,737088,781866,637573,768086,747531,498674,715844,712328
27,740209,618618,756051,774626,778737,800697,799325,753443,736080,599254
28,762123,785270,763431,790678,789963,736568,632170,703999,594761,502679
29,518061,725000,806204,737817,718082,525113,735769,795639,807652,803683
30,814118,604445,816495,796837,817727,810749,727183,807256,639084,689719
31,821864,792089,818789,703264,708697,852436,817057,762012,832598,716277
32,790530,740262,811449,495059,741313,804133,822962,648457,846659,836505
33,664203,843297,872819,815926,794311,863607,802221,828011,785675,865029
34,508611,799939,845575,852668,758172,550959,787239,778019,854687,867443
35,772272,785627,880022,574874,808775,819258,844516,878579,521015,875972
36,889505,773737,894838,920321,691299,676154,853542,854476,859908,861135
37,835673,931006,872542,927218,727873,911942,920403,886102,930184,892656
38,645826,836205,917582,855669,884531,809871,920434,914489,889753,731204
39,919994,866025,950959,878141,852921,944701,828867,814274,945699,777929
40,938709,953718,933336,963670,752949,943865,844938,771525,830075,907713
41,641375,873105,859383,847715,588470,949538,866877,916074,952052,955055
42,624890,959850,926905,696100,972056,891297,923360,866466,761810,897039
43,617226,978673,904086,980339,982603,963050,867676,866911,875046,599755
44,977295,995704,971661,591438,867364,978166,863110,933326,707325,866435
45,1009948,985505,915399,844866,954738,989852,731044,876826,980671,701571
46,1024857,805010,1009654,990005,908121,904928,997261,1000224,655400,968293
47,700422,742343,969126,979076,960810,1039809,1003722,1018672,872885,1044190
48,732641,1038443,940122,1018346,902123,1012422,1107717,988533,592241,952329
49,962294,907461,735739,1150667,1060739,1052474,1061798,926292,1004879,1063275
50,1044267,857310,1097607,1093273,890962,990844,968270,1052108,675689,1032502
51,1123713,1028134,1051208,1007644,1059658,1016742,1078135,1057346,1124836,849468
52,1096706,890446,1028490,1136208,750999,1083027,1029960,988892,1129689,1092422
53,1126795,856534,1111322,1008668,1124279,1122418,674255,1011770,955406,1099563
54,966370,1136655,1101442,1152496,929575,945998,1128453,914891,1136296,1116927
55,1040696,1108666,1183586,1158723,1072209,954907,1177401,1145101,1083692,1129707
