k,1,2,3,4,5,6,7,8,9,10
1,907465,919266,915251,914717,896453,911414,914877,919395,917805,913522
2,829796,898828,834962,823230,895125,823071,894858,901416,604187,603517
3,849530,908179,724486,889293,636868,903490,821669,816717,906465,857067
4,825864,626017,847582,859456,922303,921515,856585,921409,918904,641240
5,913274,918032,738717,837565,896942,926337,804067,944668,931549,732769
6,656636,871865,828136,938384,952313,871257,720744,955017,944362,906319
7,948235,842642,961738,858342,971730,943129,657771,802600,940682,892464
8,951745,856047,901136,896366,656045,982620,777073,969571,934529,977322
9,997958,990887,751142,686910,948634,864363,939450,932172,1007182,996232
10,1022326,886096,991153,975674,992680,966412,993197,760683,960337,753744
11,1007193,1007094,1049974,714506,1035827,855755,981063,972544,952128,801181
12,956544,948948,1051010,1031054,968201,1033742,692372,970939,1049745,725710
13,1032214,1061737,1021023,989678,1022333,1023004,860947,741872,840438,1012694
14,1072740,1026650,1034515,871419,1053460,1025126,991131,927770,965455,881817
15,752468,1005691,1024173,926810,1085809,1001306,847187,1074112,1046219,1000900
16,732244,1029414,1109051,1009518,1092218,733587,1093518,1001383,1077788,1019417
17,969989,800987,1102666,952775,1082355,997274,1080095,1005516,1041995,1113508
18,918904,1034361,1029414,1113492,1114718,768395,1090753,996093,1112972,1089105
19,1103703,1075378,940809,1109858,1005819,969733,1095713,1117550,989916,1113120
20,1082011,1068996,1107346,897567,1008790,1144009,976770,1088036,1150078,1106449
21,960231,1140135,1019871,800232,1133765,1126620,1143745,1101229,1135671,1117112
22,1021056,1066701,1040340,1143511,1010307,1068072,1168747,1065227,1160942,1161516
23,887890,1008937,1060154,1176215,1156490,1148566,1170610,1083903,1197715,1085505
24,1037379,881307,1070558,1192689,932547,1188173,1163036,1181382,1167869,1206265
25,1119917,944619,1204915,1219066,1150989,1120085,1182000,1211162,1132548,830149
26,1093951,1112121,989036,1015795,1181331,1202028,1213935,1213342,1205312,1044885
27,1146994,816416,1175832,877917,1172371,1245295,1240520,1121279,1238447,1245937
28,1255598,1113560,1231770,1042930,1172918,1058246,1030709,1258917,1245269,1216769
29,1257780,1212148,1080943,1034811,1122365,1269738,1207322,1166919,1243008,1238679
30,1256959,1086802,1244035,1245593,1209538,989950,1211295,1179061,1260835,889413
31,1167655,1224614,1175505,1323802,907786,1279009,1287255,1222971,1291519,1232524
32,1297357,1287604,1158162,1266717,1314540,1306029,1056550,1160766,1198268,1037691
33,1278046,1235289,1323797,889218,1246616,1322887,1291571,1025552,1277496,1235613
34,1035640,1132046,1256556,1211084,1289478,1320982,1320978,1329594,1341853,1179392
35,1230735,1236413,1270560,1077710,1343580,1331168,1054018,1334086,1285581,1302896
36,1341003,948149,1347948,1091915,1335888,1339310,1262183,1134698,1312030,1344950
37,1259409,1285879,1382442,1267909,993787,1398905,1394861,1306840,1057681,1384846
38,1292669,1403675,1099519,1341666,1338761,1369500,1409732,1385859,1356963,1250441
39,1331427,1297145,1099756,1349338,1395779,1391798,1337418,1278096,1362976,1376514
40,1339708,1236305,1268372,1405048,1392795,1395068,1398170,1078491,1296621,940897
41,1322092,1415193,1333208,1266645,1392376,1419164,1353339,1134295,1008346,1389809
42,1076794,1465121,1407391,1398635,1452761,1402821,1402136,1334169,1402940,1126008
43,1389331,1334942,1417272,1384902,1421543,1083168,1433826,1344274,1470768,1131145
44,1466084,1285868,1471448,1166057,1440674,1132896,1456737,1418449,1434258,1292217
45,1503859,1503939,1385621,1390473,1495147,1502803,1013294,1399921,1032527,1404802
46,1397401,1027012,1496991,1370875,1414192,1028486,1442932,1475792,1399155,1475797
47,1195380,1283665,1284543,1197447,1503921,1480182,1464172,1473982,1470711,1469296
48,1370126,1481280,1315539,1560918,1509173,1376412,1427808,1499224,1491631,1362522
49,1588783,1542278,1493557,1472568,1502812,1245411,1454452,1201782,1474385,1557879
50,1549185,1478994,1247687,1549513,1341866,1540565,1237264,1562819,1374047,1487573
51,1299646,1492917,1515645,1459361,1534467,1066977,1583508,1267561,1420044,1545410
52,1566591,1386716,1547637,1559662,1220947,1348765,1369495,1581521,1371022,1593779
53,1566318,1052337,1510404,1587613,1317681,1603724,1597544,1440452,1479092,1441784
54,1489633,1592533,1497321,1600707,1102226,1607299,1608003,1469928,1518106,1092868
55,1321849,1564632,1638240,1313031,1558223,1568954,1528432,1561887,1360405,1472981
