k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,25.5,2.6,25.5,0,25.5,2303.9,25.5,1017.9
2,39.3,4,36.5,0,42.2,2421,42.8,1481.8
3,49.7,4,41.9,0,53.4,2576.4,54.8,1756.9
4,55.7,4.6,46.2,0,60.7,2903.8,64.1,1960.2
5,62.2,5.2,50.6,0,67.1,3172.9,70.1,2277.1
6,68.7,5.4,54.9,0,74.8,3294.9,77,2482.7
7,73.9,5.9,59.1,0.1,80.7,3377.8,84.4,2564.3
8,78.4,5.8,64.4,0,83.5,3547.5,88.4,2496.4
9,82.7,6.9,67.1,0.1,85.3,3557.5,94,2286.3
10,88.4,6.9,70.4,0.1,89.3,3592.9,99.3,2165.1
11,92.4,7.2,75.6,0.1,95,3713.7,103.6,2168.2
12,96.4,7.6,78.5,0.1,97.3,3668.6,106.9,1718.5
13,99.3,7.4,80.8,0.1,102.6,3571.4,107.9,1357.4
14,101.6,7.2,85.2,0.1,103.9,3651.4,111.6,1398.1
15,104.5,7.4,87.5,0.1,105.7,3596.5,113,1129
16,106.4,7.5,91.5,0.1,106.9,3481.3,115,630.3
17,108,7.4,92.7,0.1,107.7,3618,,316.5
18,109.9,7.5,95,0.1,108.4,3588.3,,148.4
19,111,7.5,97.5,0.1,109.4,2882,,94.3
20,112.2,8,99.7,0.1,110.7,3132.5,,75.8
21,112.8,8,104,0.1,111.9,2901.7,,69.4
22,113.7,7.5,105.7,0.1,112.7,1853,,37.1
23,115,8.3,107,0.1,114,2141.6,,38.3
24,,7.6,108.4,0.1,112.7,1593.6,,20.2
25,,7.8,109.6,0.1,113.6,1615.6,,17.4
26,,7.8,110.3,0.1,114.6,1323,,4.8
27,,7.5,111.7,0.1,114.1,1359.8,,5.6
28,,7.7,113.6,0.1,114.6,1311.7,,4.7
29,,7.8,114.1,0.1,114.7,1188.7,,3.9
30,,7.7,114.4,0.1,115,743.6,,4.2
31,,7.6,114.6,0.1,,940,,4.4
32,,7.9,115,0.1,,641.4,,4
33,,7.9,,0.1,,561,,3.9
34,,7.7,,0.1,,810.1,,3.9
35,,7.8,,0.1,,584.1,,3.9
36,,7.6,,0.1,,566.6,,4
37,,7.8,,0.1,,338,,4.1
38,,7.7,,0.1,,452.4,,4.7
39,,7.7,,0.1,,265.3,,4.2
40,,8.2,,0.1,,261.6,,4
41,,7.8,,0.1,,265.1,,4.3
42,,7.9,,0.1,,262,,4.1
43,,7.8,,0.1,,147.6,,4
44,,8,,0.1,,288.3,,3.9
45,,7.9,,0.1,,273.4,,4.3
46,,7.9,,0.1,,130,,4.2
47,,7.9,,0.1,,137,,4.1
48,,8,,0.1,,227.1,,3.9
49,,7.9,,0.1,,91.4,,4.1
50,,7.9,,0.1,,80.5,,3.9
51,,7.9,,0.1,,56.1,,3.9
52,,8,,0.1,,39.6,,3.9
53,,7.9,,0.1,,34.9,,4.2
54,,7.9,,0.1,,34.7,,4
55,,7.9,,0.2,,37,,4.1
