k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,12,21,17,46,11,34,22,23,7,62
2,22,37,28,69,21,73,31,53,19,75
3,39,42,47,74,27,86,43,75,28,87
4,51,49,51,86,37,89,52,94,35,97
5,58,55,56,91,43,92,58,105,39,104
6,65,70,56,94,54,94,74,109,48,106
7,70,85,65,100,61,101,80,111,56,115
8,72,87,72,103,71,102,86,113,63,115
9,74,96,73,111,76,106,95,115,79,115
10,81,100,82,115,87,109,104,115,85,115
11,85,103,83,115,97,112,113,115,98,115
12,91,111,88,115,106,115,115,115,98,115
13,90,115,90,115,106,115,115,115,103,115
14,99,115,105,115,113,115,115,115,109,115
15,105,115,110,115,115,115,115,115,110,115
16,115,115,115,115,115,115,115,115,115,115
17,115,115,115,115,115,115,115,115,115,115
18,115,115,115,115,115,115,115,115,115,115
19,115,115,115,115,115,115,115,115,115,115
20,115,115,115,115,115,115,115,115,115,115
21,115,115,115,115,115,115,115,115,115,115
22,115,115,115,115,115,115,115,115,115,115
23,115,115,115,115,115,115,115,115,115,115
24,115,115,115,115,115,115,115,115,115,115
25,115,115,115,115,115,115,115,115,115,115
26,115,115,115,115,115,115,115,115,115,115
27,115,115,115,115,115,115,115,115,115,115
28,115,115,115,115,115,115,115,115,115,115
29,115,115,115,115,115,115,115,115,115,115
30,115,115,115,115,115,115,115,115,115,115
31,115,115,115,115,115,115,115,115,115,115
32,115,115,115,115,115,115,115,115,115,115
33,115,115,115,115,115,115,115,115,115,115
34,115,115,115,115,115,115,115,115,115,115
35,115,115,115,115,115,115,115,115,115,115
36,115,115,115,115,115,115,115,115,115,115
37,115,115,115,115,115,115,115,115,115,115
38,115,115,115,115,115,115,115,115,115,115
39,115,115,115,115,115,115,115,115,115,115
40,115,115,115,115,115,115,115,115,115,115
41,115,115,115,115,115,115,115,115,115,115
42,115,115,115,115,115,115,115,115,115,115
43,115,115,115,115,115,115,115,115,115,115
44,115,115,115,115,115,115,115,115,115,115
45,115,115,115,115,115,115,115,115,115,115
46,115,115,115,115,115,115,115,115,115,115
47,115,115,115,115,115,115,115,115,115,115
48,115,115,115,115,115,115,115,115,115,115
49,115,115,115,115,115,115,115,115,115,115
50,115,115,115,115,115,115,115,115,115,115
51,115,115,115,115,115,115,115,115,115,115
52,115,115,115,115,115,115,115,115,115,115
53,115,115,115,115,115,115,115,115,115,115
54,115,115,115,115,115,115,115,115,115,115
55,115,115,115,115,115,115,115,115,115,115
