k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,12,21,17,46,11,34,22,23,7,62
2,18,32,21,58,21,69,29,32,14,71
3,24,35,24,66,26,74,37,40,17,76
4,28,38,26,69,30,81,42,49,19,80
5,43,41,28,72,34,84,45,55,21,83
6,50,44,34,81,37,86,48,60,23,86
7,55,50,36,84,42,89,50,68,25,92
8,63,51,48,86,45,92,58,76,31,94
9,64,52,50,87,47,93,63,85,33,97
10,68,53,54,88,51,94,67,91,36,102
11,71,62,55,89,53,96,70,100,48,112
12,72,63,58,97,57,97,72,105,51,113
13,73,67,60,98,60,101,74,108,52,115
14,75,68,63,109,64,104,88,110,56,115
15,76,69,65,113,66,108,90,113,60,115
16,80,70,70,115,79,110,96,115,65,115
17,81,71,74,115,81,111,98,115,66,115
18,82,78,75,115,83,112,108,115,67,115
19,83,85,77,115,92,113,112,115,68,115
20,84,88,81,115,94,115,113,115,77,115
21,89,108,92,115,98,115,115,115,78,115
22,93,113,93,115,99,115,115,115,84,115
23,99,115,94,115,102,115,115,115,85,115
24,101,115,99,115,108,115,115,115,86,115
25,103,115,101,115,111,115,115,115,91,115
26,105,115,103,115,113,115,115,115,92,115
27,110,115,107,115,115,115,115,115,95,115
28,115,115,113,115,115,115,115,115,103,115
29,115,115,115,115,115,115,115,115,106,115
30,115,115,115,115,115,115,115,115,109,115
31,115,115,115,115,115,115,115,115,111,115
32,115,115,115,115,115,115,115,115,115,115
33,115,115,115,115,115,115,115,115,115,115
34,115,115,115,115,115,115,115,115,115,115
35,115,115,115,115,115,115,115,115,115,115
36,115,115,115,115,115,115,115,115,115,115
37,115,115,115,115,115,115,115,115,115,115
38,115,115,115,115,115,115,115,115,115,115
39,115,115,115,115,115,115,115,115,115,115
40,115,115,115,115,115,115,115,115,115,115
41,115,115,115,115,115,115,115,115,115,115
42,115,115,115,115,115,115,115,115,115,115
43,115,115,115,115,115,115,115,115,115,115
44,115,115,115,115,115,115,115,115,115,115
45,115,115,115,115,115,115,115,115,115,115
46,115,115,115,115,115,115,115,115,115,115
47,115,115,115,115,115,115,115,115,115,115
48,115,115,115,115,115,115,115,115,115,115
49,115,115,115,115,115,115,115,115,115,115
50,115,115,115,115,115,115,115,115,115,115
51,115,115,115,115,115,115,115,115,115,115
52,115,115,115,115,115,115,115,115,115,115
53,115,115,115,115,115,115,115,115,115,115
54,115,115,115,115,115,115,115,115,115,115
55,115,115,115,115,115,115,115,115,115,115
