k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,12,21,17,46,11,34,22,23,7,62
2,22,37,24,69,21,73,29,53,19,75
3,39,43,39,74,27,85,43,75,27,82
4,51,48,41,75,35,87,48,93,35,94
5,60,56,46,82,41,90,58,103,39,96
6,64,58,57,93,55,96,59,108,53,105
7,69,79,60,92,61,94,81,109,55,107
8,72,83,66,96,64,99,75,111,61,108
9,72,87,67,98,66,94,82,113,67,107
10,77,73,76,105,76,99,94,111,75,107
11,77,97,81,98,93,102,95,113,87,107
12,82,104,76,107,88,101,102,115,90,108
13,84,104,85,109,106,102,115,113,93,115
14,81,106,97,113,109,103,107,115,95,113
15,86,113,93,115,105,105,115,113,103,109
16,94,106,100,113,108,103,115,115,102,113
17,91,112,102,113,108,108,113,115,103,112
18,102,111,91,115,110,103,113,115,111,113
19,99,113,107,115,109,105,115,115,107,109
20,96,111,109,113,115,109,115,115,115,109
21,103,115,112,113,112,108,115,115,111,115
22,104,115,112,113,115,108,115,115,115,115
23,115,115,113,115,115,109,115,115,113,115
24,108,115,110,115,113,106,115,115,115,115
25,109,115,115,113,115,109,115,115,115,115
26,115,115,113,115,115,113,115,115,115,115
27,111,115,115,115,115,110,115,115,115,115
28,115,115,115,115,115,111,115,115,115,115
29,115,115,115,115,115,112,115,115,115,115
30,115,115,115,115,115,115,115,115,115,115
31,115,115,115,115,115,112,115,115,115,115
32,115,115,115,115,115,113,115,115,115,115
33,115,115,115,115,115,112,115,115,115,115
34,115,115,113,115,115,115,115,115,115,115
35,115,115,115,115,115,112,115,115,115,115
36,115,115,115,115,115,115,115,115,115,115
37,115,115,115,115,115,112,115,115,115,115
38,115,115,115,115,115,112,115,115,115,115
39,115,115,115,115,115,115,115,115,115,115
40,115,115,115,115,115,115,115,115,115,115
41,115,115,115,115,115,115,115,115,115,115
42,115,115,115,115,115,115,115,115,115,115
43,115,115,115,115,115,115,115,115,115,115
44,115,115,115,115,115,111,115,115,115,115
45,115,115,115,115,115,115,115,115,115,115
46,115,115,115,115,115,115,115,115,115,115
47,115,115,115,115,115,115,115,115,115,115
48,115,115,115,115,115,115,115,115,115,115
49,115,115,115,115,115,115,115,115,115,115
50,115,115,115,115,115,115,115,115,115,115
51,115,115,115,115,115,115,115,115,115,115
52,115,115,115,115,115,115,115,115,115,115
53,115,115,115,115,115,115,115,115,115,115
54,115,115,115,115,115,115,115,115,115,115
55,115,115,115,115,115,115,115,115,115,115
