k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,12,21,17,46,11,34,22,23,7,62
2,18,35,24,66,21,69,29,43,17,71
3,25,40,35,74,26,82,38,75,24,78
4,31,45,43,80,31,85,45,83,30,84
5,32,52,48,82,35,88,54,99,37,95
6,47,57,52,84,39,91,64,104,40,109
7,58,59,55,87,46,94,75,107,43,115
8,68,62,58,96,53,96,82,109,45,115
9,71,67,62,99,65,100,87,110,51,115
10,75,87,68,101,73,104,95,112,54,115
11,79,89,73,103,79,106,106,115,59,115
12,81,91,75,104,94,107,113,115,69,115
13,85,94,78,105,100,110,115,115,76,115
14,87,96,80,113,104,111,115,115,80,115
15,89,105,83,115,106,112,115,115,90,115
16,92,108,88,115,108,115,115,115,93,115
17,94,113,91,115,111,115,115,115,96,115
18,97,115,92,115,113,115,115,115,107,115
19,100,115,96,115,115,115,115,115,109,115
20,107,115,98,115,115,115,115,115,112,115
21,109,115,99,115,115,115,115,115,115,115
22,113,115,104,115,115,115,115,115,115,115
23,115,115,115,115,115,115,115,115,115,115
24,115,115,115,115,115,115,115,115,115,115
25,115,115,115,115,115,115,115,115,115,115
26,115,115,115,115,115,115,115,115,115,115
27,115,115,115,115,115,115,115,115,115,115
28,115,115,115,115,115,115,115,115,115,115
29,115,115,115,115,115,115,115,115,115,115
30,115,115,115,115,115,115,115,115,115,115
31,115,115,115,115,115,115,115,115,115,115
32,115,115,115,115,115,115,115,115,115,115
33,115,115,115,115,115,115,115,115,115,115
34,115,115,115,115,115,115,115,115,115,115
35,115,115,115,115,115,115,115,115,115,115
36,115,115,115,115,115,115,115,115,115,115
37,115,115,115,115,115,115,115,115,115,115
38,115,115,115,115,115,115,115,115,115,115
39,115,115,115,115,115,115,115,115,115,115
40,115,115,115,115,115,115,115,115,115,115
41,115,115,115,115,115,115,115,115,115,115
42,115,115,115,115,115,115,115,115,115,115
43,115,115,115,115,115,115,115,115,115,115
44,115,115,115,115,115,115,115,115,115,115
45,115,115,115,115,115,115,115,115,115,115
46,115,115,115,115,115,115,115,115,115,115
47,115,115,115,115,115,115,115,115,115,115
48,115,115,115,115,115,115,115,115,115,115
49,115,115,115,115,115,115,115,115,115,115
50,115,115,115,115,115,115,115,115,115,115
51,115,115,115,115,115,115,115,115,115,115
52,115,115,115,115,115,115,115,115,115,115
53,115,115,115,115,115,115,115,115,115,115
54,115,115,115,115,115,115,115,115,115,115
55,115,115,115,115,115,115,115,115,115,115
