k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,722,873,825,1722,670,1131,1030,1005,578,1623
2,1027,1343,1117,2116,1007,2039,1385,1668,948,2168
3,1348,1614,1297,2266,1255,2512,1659,2011,1172,2435
4,1533,1798,1394,2694,1464,2542,1867,2310,1370,2630
5,1808,2257,1627,2795,1800,2853,2249,2877,1680,2825
6,2195,2319,1835,2922,2008,3079,2355,3162,1793,3159
7,2273,2437,2019,3214,2239,3203,2480,3236,2019,2523
8,2443,2708,2197,3223,2470,3290,2635,3599,2266,133
9,2652,2932,2333,3339,2616,3374,2959,75,2435,148
10,2792,3063,2547,867,2823,3522,3041,148,2777,71
11,2851,3208,2813,229,2897,3592,3170,124,2788,10
12,3006,3346,2862,134,3122,1057,586,21,3048,3
13,3005,556,2937,107,3273,279,261,34,3115,7
14,3257,329,3152,66,3494,139,176,7,3354,7
15,3475,211,3294,4,457,139,183,11,3513,3
16,891,169,2898,7,1083,104,121,4,1023,3
17,526,69,1528,4,345,31,43,4,612,3
18,394,90,261,4,259,40,26,4,403,3
19,283,51,121,4,173,36,30,4,238,3
20,293,40,130,4,138,8,14,4,124,3
21,234,17,140,4,91,4,12,4,185,3
22,148,8,15,4,71,4,4,4,110,3
23,156,4,79,4,33,4,4,4,92,3
24,80,8,52,4,26,4,4,4,17,3
25,104,4,8,4,4,4,4,4,34,4
26,4,4,8,4,4,4,4,4,9,3
27,4,4,8,4,8,4,4,4,13,3
28,8,4,4,4,4,4,4,4,8,3
29,4,4,4,4,4,4,4,4,4,3
30,5,4,4,4,4,4,4,4,4,5
31,4,4,4,4,4,4,4,4,5,7
32,4,4,4,4,4,4,4,4,4,4
33,4,4,4,4,4,4,4,4,4,3
34,4,4,4,4,4,4,4,4,4,3
35,4,4,4,4,4,4,4,4,4,3
36,4,4,4,4,4,4,4,4,4,4
37,5,4,4,4,4,4,4,4,4,4
38,5,4,4,4,5,4,4,4,4,9
39,5,4,4,4,5,4,4,4,4,4
40,4,4,4,4,4,4,4,4,5,3
41,4,4,4,4,4,4,4,4,4,7
42,4,4,4,4,4,4,4,4,4,5
43,4,4,4,4,4,4,4,4,4,4
44,4,4,4,4,4,4,4,4,4,3
45,5,4,4,4,5,4,4,4,4,5
46,5,4,4,4,5,4,4,4,5,3
47,5,4,4,4,4,4,4,4,5,3
48,4,4,4,4,4,4,4,4,4,3
49,4,4,4,4,4,4,4,4,4,5
50,4,4,4,4,4,4,4,4,4,3
51,4,4,4,4,4,4,4,4,4,3
52,4,4,4,4,4,4,4,4,4,3
53,5,4,4,4,5,4,4,4,4,4
54,5,4,4,4,4,4,4,4,4,3
55,5,4,4,4,4,4,4,4,5,3
