k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,2040,2177,2088,2981,2042,2426,2330,2250,1873,2832
2,2003,2367,2066,3038,2054,2837,2333,2662,1828,3022
3,2191,2435,2157,3211,2225,3101,2445,2906,1964,3129
4,2431,2679,2346,3533,2356,3580,2664,3452,2226,3771
5,2979,3032,2671,3566,2877,3519,3095,3649,2643,3698
6,2935,2962,2811,3752,3037,3953,3086,3802,2788,3823
7,3010,3230,2883,3890,3153,3844,3286,3736,2915,3831
8,3127,3617,3030,3927,3306,4018,3289,4149,3106,3906
9,3313,3647,3085,3891,3428,3918,3412,3911,3179,3791
10,3270,3482,3167,3844,3515,3903,3592,3929,3272,3955
11,3434,3639,3196,3983,3607,4043,3616,4178,3464,3977
12,3575,3738,3249,4014,3732,4122,3874,2731,3604,4047
13,3707,3917,3497,2726,3901,4219,2890,4270,3764,2823
14,3845,3203,3704,2739,3812,4240,3780,3248,3840,4103
15,3885,2585,3745,3081,4147,4193,1766,4421,4013,4129
16,4004,2611,3945,4441,4232,4409,1164,1867,3890,4250
17,4174,2662,4023,4319,4326,3342,4192,2755,2637,3750
18,3821,2651,3965,2752,4267,4344,4219,4277,2743,2844
19,3054,3567,3108,1752,4336,4236,1300,1109,3219,3139
20,2785,4226,4112,4196,3621,4159,784,1253,3715,2474
21,2590,3354,4044,3727,4117,3698,270,2349,3275,1593
22,2572,855,4027,2573,1655,2467,1069,1079,1938,295
23,2787,4212,4029,1135,1935,2477,1205,875,2661,100
24,4080,453,2432,250,2679,2788,940,261,2030,23
25,4019,2099,1587,2532,1379,2626,805,430,652,27
26,1348,735,2588,812,1366,2177,432,611,1800,1361
27,3326,1689,1981,49,2057,2228,691,514,887,176
28,1152,3239,2027,49,2250,2143,730,306,946,275
29,1260,954,2132,1520,534,2133,215,215,2016,908
30,1172,1051,1630,384,433,1360,89,482,810,25
31,726,1093,1380,329,454,2008,140,435,866,1969
32,2000,244,66,248,791,2001,232,724,84,24
33,868,364,678,570,160,1959,48,160,779,24
34,503,2733,2216,521,455,1298,45,25,280,25
35,615,393,832,551,470,1861,142,545,409,23
36,257,891,1783,101,375,1479,366,101,288,25
37,404,97,324,179,225,1893,45,27,162,24
38,581,72,379,794,301,1881,97,157,238,24
39,535,26,618,386,88,521,96,80,277,26
40,423,70,573,25,111,744,46,55,546,23
41,145,40,1108,24,157,932,91,28,101,25
42,673,122,145,48,135,1129,46,26,254,42
43,83,39,288,70,110,472,45,53,277,39
44,169,41,345,230,67,1837,88,28,38,40
45,20,40,268,206,22,1647,47,30,412,42
46,20,96,79,202,64,357,42,73,329,38
47,125,24,121,22,43,843,43,26,84,39
48,21,23,20,89,136,1673,41,24,202,42
49,22,51,39,21,228,343,42,51,76,41
50,42,22,123,21,111,357,42,24,25,38
51,62,22,138,20,45,88,46,51,51,38
52,21,23,20,20,92,18,43,24,98,37
53,21,24,20,21,90,17,45,25,49,37
54,20,46,22,20,44,17,43,23,73,39
55,19,43,57,20,86,19,40,25,23,38
