k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,1,2,1,10,1,2,2,2,1,4
2,2,3,2,11,2,4,4,4,3,5
3,3,3,2,11,3,4,3,5,2,4
4,4,4,3,11,3,4,4,6,3,4
5,4,5,4,11,4,5,5,6,3,5
6,5,5,4,12,4,4,5,6,4,5
7,6,5,5,13,5,4,6,6,4,5
8,6,5,4,12,5,5,6,6,4,5
9,7,5,6,14,7,5,7,6,5,7
10,8,6,5,13,7,5,7,6,6,6
11,7,7,6,14,7,5,7,7,6,6
12,8,7,6,14,8,6,7,7,7,6
13,8,7,6,14,8,5,7,6,7,6
14,7,6,6,14,8,5,7,6,7,6
15,8,7,6,14,7,5,7,7,7,6
16,8,7,6,14,8,5,7,7,7,6
17,8,7,7,14,7,5,7,6,7,6
18,8,7,7,13,8,5,7,6,8,6
19,8,6,7,14,8,5,7,6,8,6
20,9,8,7,14,9,5,7,7,8,6
21,9,7,8,14,8,6,7,7,8,6
22,8,7,7,14,7,5,7,7,7,6
23,9,8,8,14,9,6,8,7,8,6
24,8,7,7,14,8,5,7,7,7,6
25,9,7,8,14,8,5,7,7,7,6
26,9,7,7,14,8,5,7,7,8,6
27,8,7,7,14,8,5,7,6,7,6
28,9,7,7,14,8,5,8,6,7,6
29,8,7,8,14,8,6,7,6,8,6
30,9,7,7,14,8,5,7,6,8,6
31,8,7,7,14,8,5,7,6,8,6
32,9,7,8,14,8,5,7,7,8,6
33,9,7,7,14,8,5,8,7,8,6
34,8,7,7,13,8,6,7,7,8,6
35,9,7,7,14,8,6,7,6,8,6
36,8,7,7,14,8,5,7,7,7,6
37,9,7,7,14,8,5,7,7,8,6
38,8,7,7,14,8,5,7,7,8,6
39,8,7,8,14,8,5,7,6,8,6
40,9,8,8,15,8,6,7,7,8,6
41,9,7,7,14,8,5,8,6,8,6
42,8,7,8,15,8,5,7,7,8,6
43,8,7,8,14,9,5,7,7,7,6
44,9,7,7,15,8,6,7,7,8,6
45,9,7,7,14,8,6,8,6,8,6
46,9,7,7,14,8,6,8,6,8,6
47,8,7,8,15,9,5,7,7,7,6
48,9,7,8,14,9,5,7,7,8,6
49,9,7,7,15,8,5,7,7,8,6
50,9,7,7,14,8,5,8,7,8,6
51,8,7,8,14,8,6,8,6,8,6
52,9,7,8,15,8,6,7,6,8,6
53,9,7,8,14,8,6,7,7,7,6
54,9,7,7,14,8,5,8,7,8,6
55,8,7,7,15,8,5,8,7,8,6
