k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,47.7,19.3,47.7,0.4,47.7,7148.2,47.7,4482.1
2,69.6,27.7,61.3,0.9,77.9,10146.7,77.6,8093.4
3,84.3,34.2,74.9,1.3,107.1,12695.3,103.2,10533.6
4,96.5,41,88.6,1.6,123.1,13730.7,124.4,12486.5
5,107.2,44.5,96.7,1.7,136.5,14021.7,137.8,11979.2
6,118.4,55.1,106.2,2.1,145.8,13859.6,150.3,12802.2
7,127.8,61.2,117.8,2.3,152.8,14142.4,160.5,11858.5
8,139.8,56.4,122.2,2.4,157.5,14088.4,168.9,12154.6
9,147.9,58.3,128.1,3.3,167.3,13684.3,173.5,9615.7
10,151.7,58.2,132.9,2.5,168.2,14277.8,181.9,9275.8
11,160.1,64.2,135.3,2.6,174.2,13353.5,192,7888.1
12,163,66.3,144.2,3.6,180.1,13816.5,193.1,7140.8
13,166.2,59.5,146.8,2.4,179.6,12735.9,196,4886.5
14,173.6,61.1,148.9,2.7,183.8,12383.7,196.3,4302.8
15,176.7,63.2,151.2,2.8,186.9,10938.1,197.6,4098.8
16,181.4,61.4,153.9,2.5,188.9,10280.3,198,1374.5
17,186.2,59,158.4,3.2,190.9,8894.3,,894.9
18,188.5,61.3,163.6,2.6,191.6,10452.6,,614.3
19,190.3,63.9,165.4,3,191.7,9155.5,,636.7
20,191.8,58.5,167.6,2.8,194.7,8430.4,,382.6
21,194.7,74.7,172.3,3,192.4,7884,,273.8
22,196.1,60.9,175.4,3.3,194.9,7665.8,,229.3
23,197.2,64.2,180,2.8,194.1,7405.2,,199
24,197.6,61.9,182.6,3,193.1,7762,,136.1
25,197.8,64.6,184.5,3,195.4,6233.9,,101.5
26,198,62.1,185.9,2.7,195,5961.8,,106.9
27,,62.9,187.2,3,196.4,5876.6,,91
28,,61.3,189.7,3.2,196.9,4838,,66.8
29,,62.2,190.6,3,196.5,5071.2,,58.4
30,,63.6,191.8,3.1,196.9,3544.2,,64.8
31,,64.2,194.6,3.5,197.2,4128,,35.2
32,,62.3,196,3.2,197.4,4700,,24.8
33,,62.8,197.4,3.2,196.3,5257.4,,30.8
34,,63.3,197.8,3.2,197.2,4427,,23.4
35,,61.7,198,3,197.4,3224.6,,29.8
36,,62.6,,3.2,197.8,3838.9,,19.5
37,,62.3,,3,197.5,2166.3,,21.3
38,,60.1,,3,197.8,3155.8,,21.3
39,,60.5,,3,198,1915.5,,21.6
40,,62.1,,3,,2444.3,,21.2
41,,73.2,,3.2,,3118,,21.3
42,,74.4,,3.3,,2308.3,,20.4
43,,63.4,,3.9,,1944.8,,21.8
44,,61.8,,3,,1815.5,,22.1
45,,62.8,,3.2,,1657.4,,22.3
46,,61.3,,3.1,,1942.7,,20.8
47,,70.2,,3.2,,940.8,,22
48,,68.3,,3.5,,1026.1,,22
49,,66.2,,4.1,,1165.1,,23.1
50,,65.1,,3.4,,1593.1,,21.5
51,,61.6,,3.2,,706.2,,23
52,,64.9,,3.1,,760.5,,21.7
53,,67,,3,,1271.6,,24.1
54,,64.5,,3.6,,809.9,,23.5
55,,62.8,,3.1,,784.8,,24
