k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,26,92,28,10,63,15,136,11,79,17
2,39,136,77,24,77,65,185,59,87,27
3,64,173,139,36,83,75,191,123,115,33
4,82,186,154,65,142,116,196,141,123,39
5,90,189,184,82,149,134,198,176,133,43
6,125,193,188,95,169,145,198,185,149,56
7,133,198,196,127,172,153,198,194,170,64
8,144,198,196,137,180,160,198,198,186,92
9,155,198,198,145,196,161,198,198,191,95
10,174,198,198,147,198,170,198,198,196,142
11,193,198,198,183,198,190,198,198,198,166
12,198,198,198,185,198,188,198,198,198,172
13,198,198,198,190,198,198,198,198,198,186
14,198,198,198,191,198,198,198,198,198,188
15,198,198,198,196,198,198,198,198,198,196
16,198,198,198,198,198,198,198,198,198,198
17,198,198,198,198,198,198,198,198,198,198
18,198,198,198,198,198,198,198,198,198,198
19,198,198,198,198,198,198,198,198,198,198
20,198,198,198,198,198,198,198,198,198,198
21,198,198,198,198,198,198,198,198,198,198
22,198,198,198,198,198,198,198,198,198,198
23,198,198,198,198,198,198,198,198,198,198
24,198,198,198,198,198,198,198,198,198,198
25,198,198,198,198,198,198,198,198,198,198
26,198,198,198,198,198,198,198,198,198,198
27,198,198,198,198,198,198,198,198,198,198
28,198,198,198,198,198,198,198,198,198,198
29,198,198,198,198,198,198,198,198,198,198
30,198,198,198,198,198,198,198,198,198,198
31,198,198,198,198,198,198,198,198,198,198
32,198,198,198,198,198,198,198,198,198,198
33,198,198,198,198,198,198,198,198,198,198
34,198,198,198,198,198,198,198,198,198,198
35,198,198,198,198,198,198,198,198,198,198
36,198,198,198,198,198,198,198,198,198,198
37,198,198,198,198,198,198,198,198,198,198
38,198,198,198,198,198,198,198,198,198,198
39,198,198,198,198,198,198,198,198,198,198
40,198,198,198,198,198,198,198,198,198,198
41,198,198,198,198,198,198,198,198,198,198
42,198,198,198,198,198,198,198,198,198,198
43,198,198,198,198,198,198,198,198,198,198
44,198,198,198,198,198,198,198,198,198,198
45,198,198,198,198,198,198,198,198,198,198
46,198,198,198,198,198,198,198,198,198,198
47,198,198,198,198,198,198,198,198,198,198
48,198,198,198,198,198,198,198,198,198,198
49,198,198,198,198,198,198,198,198,198,198
50,198,198,198,198,198,198,198,198,198,198
51,198,198,198,198,198,198,198,198,198,198
52,198,198,198,198,198,198,198,198,198,198
53,198,198,198,198,198,198,198,198,198,198
54,198,198,198,198,198,198,198,198,198,198
55,198,198,198,198,198,198,198,198,198,198
