k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,26,92,28,10,63,15,136,11,79,17
2,33,129,34,15,73,49,147,22,84,27
3,46,168,39,20,78,64,162,52,88,32
4,60,173,65,23,112,76,191,58,90,38
5,64,189,81,28,117,80,196,77,92,43
6,68,193,88,52,122,84,198,114,97,46
7,81,196,139,57,139,89,198,118,112,49
8,83,198,142,71,142,92,198,122,122,52
9,85,198,147,75,146,100,198,150,126,56
10,88,198,149,78,148,103,198,178,131,58
11,90,198,151,82,150,106,198,184,133,61
12,116,198,180,84,152,109,198,192,135,78
13,125,198,184,86,154,112,198,194,137,80
14,127,198,186,88,160,115,198,195,140,82
15,131,198,188,90,164,120,198,196,141,86
16,133,198,189,94,170,123,198,198,142,94
17,138,198,190,110,172,132,198,198,152,96
18,145,198,192,113,194,142,198,198,158,98
19,147,198,194,115,196,146,198,198,161,101
20,149,198,198,117,198,155,198,198,162,103
21,158,198,198,119,198,157,198,198,167,132
22,161,198,198,128,198,161,198,198,168,146
23,162,198,198,158,198,171,198,198,170,149
24,164,198,198,170,198,173,198,198,175,154
25,168,198,198,172,198,175,198,198,176,164
26,170,198,198,175,198,176,198,198,177,171
27,171,198,198,176,198,177,198,198,179,179
28,172,198,198,183,198,190,198,198,181,181
29,176,198,198,184,198,191,198,198,182,183
30,178,198,198,189,198,193,198,198,184,184
31,193,198,198,191,198,198,198,198,186,188
32,198,198,198,196,198,198,198,198,188,190
33,198,198,198,198,198,198,198,198,198,192
34,198,198,198,198,198,198,198,198,198,196
35,198,198,198,198,198,198,198,198,198,198
36,198,198,198,198,198,198,198,198,198,198
37,198,198,198,198,198,198,198,198,198,198
38,198,198,198,198,198,198,198,198,198,198
39,198,198,198,198,198,198,198,198,198,198
40,198,198,198,198,198,198,198,198,198,198
41,198,198,198,198,198,198,198,198,198,198
42,198,198,198,198,198,198,198,198,198,198
43,198,198,198,198,198,198,198,198,198,198
44,198,198,198,198,198,198,198,198,198,198
45,198,198,198,198,198,198,198,198,198,198
46,198,198,198,198,198,198,198,198,198,198
47,198,198,198,198,198,198,198,198,198,198
48,198,198,198,198,198,198,198,198,198,198
49,198,198,198,198,198,198,198,198,198,198
50,198,198,198,198,198,198,198,198,198,198
51,198,198,198,198,198,198,198,198,198,198
52,198,198,198,198,198,198,198,198,198,198
53,198,198,198,198,198,198,198,198,198,198
54,198,198,198,198,198,198,198,198,198,198
55,198,198,198,198,198,198,198,198,198,198
