k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,26,92,28,10,63,15,136,11,79,17
2,42,136,77,24,77,65,185,59,87,27
3,62,169,139,50,121,75,191,116,115,33
4,82,185,147,62,142,121,196,134,123,39
5,92,189,177,79,143,136,196,177,133,43
6,122,189,186,96,144,142,196,183,149,51
7,132,196,182,99,148,149,196,192,168,66
8,136,193,192,128,144,144,196,192,177,73
9,149,198,190,135,149,157,198,195,182,120
10,145,194,194,149,153,165,198,194,186,104
11,164,196,196,158,150,165,196,198,195,124
12,168,196,190,179,162,170,198,194,193,151
13,160,196,198,160,155,179,198,198,193,159
14,190,195,192,166,156,179,198,198,195,169
15,189,198,194,179,161,179,198,198,195,178
16,190,198,196,181,181,174,198,198,195,178
17,188,198,198,187,175,190,198,198,195,182
18,195,194,196,185,174,190,198,198,195,191
19,193,198,196,188,188,174,198,198,195,189
20,198,198,198,189,188,196,198,198,195,189
21,190,198,198,188,172,196,198,198,195,191
22,196,198,196,192,188,196,198,198,198,189
23,194,198,198,194,169,196,198,198,198,198
24,195,198,196,192,176,191,198,198,195,192
25,196,198,198,194,188,198,198,198,195,191
26,196,198,198,192,180,198,198,198,196,196
27,196,198,198,195,192,198,198,198,195,196
28,198,198,198,195,194,196,198,198,198,196
29,195,198,198,194,190,198,198,198,198,198
30,198,198,198,195,190,198,198,198,198,198
31,198,198,198,198,192,196,198,198,198,198
32,196,198,198,196,196,198,198,198,198,198
33,195,198,198,194,190,198,198,198,196,198
34,198,198,198,196,194,196,198,198,198,198
35,198,198,198,198,194,196,198,198,198,198
36,196,198,198,198,198,198,198,198,198,198
37,198,198,198,198,193,198,198,198,198,198
38,198,198,198,198,196,198,198,198,198,198
39,198,198,198,198,198,198,198,198,198,198
40,198,198,198,198,190,198,198,198,198,198
41,198,198,198,198,194,198,198,198,198,198
42,198,198,198,198,194,198,198,198,198,198
43,198,198,198,198,192,198,198,198,198,198
44,198,198,198,198,198,198,198,198,198,198
45,198,198,198,198,198,198,198,198,198,198
46,198,198,198,198,196,198,198,198,196,198
47,198,198,198,198,198,198,198,198,198,198
48,198,198,198,198,198,198,198,198,198,198
49,198,198,198,198,198,198,198,198,198,198
50,198,198,198,198,198,198,198,198,198,198
51,198,198,198,198,198,198,198,198,198,198
52,198,198,198,198,198,198,198,198,198,198
53,198,198,198,198,196,198,198,198,198,198
54,198,198,198,198,198,198,198,198,198,198
55,198,198,198,198,198,198,198,198,198,198
