k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,26,92,28,10,63,15,136,11,79,17
2,39,129,63,16,77,50,179,32,84,27
3,46,169,69,36,83,55,185,60,108,32
4,64,185,82,41,88,60,191,99,118,37
5,87,189,97,45,92,65,196,130,128,43
6,93,193,151,67,96,69,198,138,133,46
7,102,196,159,90,98,105,198,145,137,48
8,121,198,171,93,125,132,198,148,154,58
9,130,198,192,96,145,139,198,150,167,64
10,136,198,196,98,148,145,198,155,176,67
11,146,198,198,100,156,160,198,192,183,70
12,149,198,198,108,160,165,198,194,188,72
13,155,198,198,111,169,170,198,196,193,74
14,160,198,198,114,189,179,198,198,196,106
15,164,198,198,120,192,182,198,198,198,119
16,167,198,198,133,194,185,198,198,198,145
17,170,198,198,154,196,196,198,198,198,156
18,179,198,198,156,198,198,198,198,198,164
19,188,198,198,158,198,198,198,198,198,171
20,190,198,198,159,198,198,198,198,198,183
21,192,198,198,181,198,198,198,198,198,188
22,195,198,198,188,198,198,198,198,198,192
23,198,198,198,192,198,198,198,198,198,196
24,198,198,198,194,198,198,198,198,198,198
25,198,198,198,196,198,198,198,198,198,198
26,198,198,198,198,198,198,198,198,198,198
27,198,198,198,198,198,198,198,198,198,198
28,198,198,198,198,198,198,198,198,198,198
29,198,198,198,198,198,198,198,198,198,198
30,198,198,198,198,198,198,198,198,198,198
31,198,198,198,198,198,198,198,198,198,198
32,198,198,198,198,198,198,198,198,198,198
33,198,198,198,198,198,198,198,198,198,198
34,198,198,198,198,198,198,198,198,198,198
35,198,198,198,198,198,198,198,198,198,198
36,198,198,198,198,198,198,198,198,198,198
37,198,198,198,198,198,198,198,198,198,198
38,198,198,198,198,198,198,198,198,198,198
39,198,198,198,198,198,198,198,198,198,198
40,198,198,198,198,198,198,198,198,198,198
41,198,198,198,198,198,198,198,198,198,198
42,198,198,198,198,198,198,198,198,198,198
43,198,198,198,198,198,198,198,198,198,198
44,198,198,198,198,198,198,198,198,198,198
45,198,198,198,198,198,198,198,198,198,198
46,198,198,198,198,198,198,198,198,198,198
47,198,198,198,198,198,198,198,198,198,198
48,198,198,198,198,198,198,198,198,198,198
49,198,198,198,198,198,198,198,198,198,198
50,198,198,198,198,198,198,198,198,198,198
51,198,198,198,198,198,198,198,198,198,198
52,198,198,198,198,198,198,198,198,198,198
53,198,198,198,198,198,198,198,198,198,198
54,198,198,198,198,198,198,198,198,198,198
55,198,198,198,198,198,198,198,198,198,198
