k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,2375,9047,2128,1111,4708,2215,10995,1511,9113,1618
2,4261,13997,6262,3002,8065,7814,14839,5941,13717,3036
3,5342,17567,12358,5015,9434,10925,15766,8811,15867,4251
4,7994,18624,15173,8411,11061,12960,17393,11908,16702,4639
5,10073,19493,16998,9448,12760,14277,432,13001,17320,5990
6,10843,20650,16801,11847,13846,14198,135,15287,18122,6293
7,13619,1035,17578,12983,15099,15751,16,16278,18802,7424
8,15841,413,17868,14393,15424,15836,16,12347,19136,10272
9,16168,126,826,15745,15493,16476,14,1020,19328,10961
10,17177,130,446,15021,9656,16413,17,1248,21700,10950
11,18824,53,953,16418,8407,16922,16,871,4198,12219
12,16424,26,366,16973,3296,18744,16,288,1666,13609
13,9399,17,203,17330,1245,4497,17,43,727,15387
14,4559,21,175,18076,656,2137,17,208,664,16515
15,1126,23,17,19271,410,1452,17,19,489,18164
16,988,21,131,7111,362,1318,17,37,472,3288
17,796,20,101,2344,429,1268,17,94,198,3682
18,604,18,20,1534,93,745,17,19,371,2722
19,515,21,18,1492,123,706,17,20,164,3291
20,360,19,24,940,87,537,17,20,25,1797
21,379,20,21,737,19,500,17,20,21,1004
22,417,18,21,549,16,240,17,19,18,978
23,213,21,21,528,18,244,17,21,21,886
24,42,18,19,430,39,42,17,35,45,674
25,21,20,18,216,18,196,17,18,23,468
26,60,20,18,279,22,65,17,21,19,548
27,20,20,17,300,26,22,17,20,21,447
28,25,20,21,270,19,67,17,18,23,188
29,22,20,21,21,19,44,17,21,19,380
30,22,17,18,167,20,22,17,20,23,322
31,19,18,27,22,20,22,17,20,20,167
32,20,17,21,22,19,29,17,19,22,62
33,30,26,21,60,19,29,17,23,22,61
34,19,24,21,22,23,22,17,21,23,42
35,22,20,21,22,17,30,17,20,21,108
36,19,18,18,23,18,22,16,19,21,21
37,20,21,21,22,17,30,17,21,23,21
38,23,21,21,19,26,22,17,21,22,21
39,23,24,21,19,17,30,17,21,22,22
40,22,24,18,22,19,26,17,21,22,21
41,23,20,21,19,20,25,17,23,23,22
42,22,19,17,20,19,24,17,21,23,22
43,23,21,21,22,19,30,17,21,23,21
44,27,20,22,22,17,30,17,21,23,22
45,23,20,19,23,20,29,17,27,23,22
46,22,17,21,23,19,23,17,21,23,22
47,23,19,22,22,19,26,17,21,28,23
48,23,21,18,23,19,30,17,21,26,22
49,30,20,21,24,20,30,17,21,26,22
50,23,20,21,26,20,26,17,18,22,22
51,28,18,21,27,19,27,17,22,29,22
52,26,19,21,23,20,23,17,21,26,21
53,29,21,21,24,29,29,17,21,29,21
54,27,20,22,23,23,30,17,21,29,23
55,27,26,21,21,26,33,17,22,26,21
