k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,1,1,0,0,0,0,1,0,1,0
2,1,1,1,0,1,1,1,0,3,0
3,1,2,1,0,1,1,2,1,3,1
4,2,2,1,1,1,2,2,1,3,1
5,2,2,1,1,1,2,2,1,3,2
6,2,2,2,2,1,2,2,2,4,2
7,3,3,2,2,1,2,2,2,4,2
8,3,2,2,2,2,3,2,2,4,2
9,3,2,2,2,2,11,2,2,4,3
10,3,2,2,2,2,3,2,2,4,3
11,3,2,3,3,2,2,2,2,4,3
12,3,2,3,3,3,3,6,6,4,3
13,3,2,2,2,2,2,2,2,4,3
14,3,2,3,3,2,3,2,2,4,3
15,4,2,3,3,2,3,2,2,4,3
16,3,2,2,2,2,3,2,2,4,3
17,6,2,2,6,2,3,2,2,4,3
18,3,2,3,3,2,3,2,2,3,3
19,4,2,3,3,2,3,2,3,4,4
20,4,2,3,3,2,3,2,2,4,3
21,3,2,2,3,2,3,2,2,7,4
22,4,2,3,6,2,4,2,2,4,4
23,4,2,2,3,2,3,2,2,4,4
24,3,2,2,3,2,3,5,2,4,4
25,3,2,5,3,2,3,2,2,4,4
26,3,2,2,3,2,3,2,2,4,4
27,4,2,3,4,2,3,2,2,4,4
28,4,2,3,4,2,4,2,2,5,4
29,4,2,3,4,2,3,2,2,4,4
30,4,2,3,4,2,4,2,2,4,4
31,4,2,3,4,2,4,2,6,4,4
32,4,2,3,4,2,4,2,2,5,4
33,4,2,3,4,2,4,2,2,5,4
34,4,2,3,4,2,4,2,2,5,4
35,4,2,3,4,2,3,2,2,4,4
36,5,2,3,4,2,4,2,2,4,4
37,4,2,3,4,2,3,2,2,4,4
38,4,2,3,4,2,3,2,2,4,4
39,4,2,2,3,2,4,2,2,5,4
40,4,2,2,3,2,4,2,2,5,4
41,4,2,3,4,2,4,2,2,5,4
42,4,2,2,3,2,4,2,2,4,8
43,4,2,3,4,2,4,5,6,4,5
44,3,2,3,4,2,4,2,2,4,4
45,4,2,3,4,2,4,2,2,5,4
46,4,2,3,4,2,4,2,2,4,4
47,4,2,3,4,2,3,2,2,5,5
48,4,2,3,4,2,4,2,2,8,4
49,3,2,6,4,2,4,5,2,8,5
50,4,2,2,6,2,3,2,2,4,7
51,4,2,3,4,2,4,2,2,5,4
52,4,2,2,4,2,4,2,2,5,4
53,4,2,2,4,2,3,2,2,5,4
54,5,2,3,4,2,7,2,3,4,4
55,4,2,2,4,2,4,2,2,4,5
