k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,5203,11226,4576,3833,7827,4981,12602,4370,12501,4363
2,6538,16405,8735,5468,9787,10299,15180,8615,15034,5406
3,7737,17415,14140,8060,12614,13979,17744,11113,17825,6326
4,11454,17565,15021,9650,12411,13889,17046,14643,17187,8441
5,10872,16540,16015,11862,12717,14915,15408,15331,17630,8927
6,11829,16157,14869,11977,12450,15138,14639,15544,16859,9134
7,12525,17019,14768,12784,13538,15277,13683,15640,17291,8899
8,13339,15480,14931,14394,13026,14016,13259,15725,16827,9887
9,14252,12246,14764,13979,11894,14882,9659,16196,16669,12302
10,14130,14824,15210,14863,12225,15429,11728,15733,16548,12088
11,14079,14503,14451,14756,11093,15528,12784,7160,15915,13266
12,14876,14747,15547,16528,12512,14672,4753,15496,16584,12450
13,15150,13748,14415,15609,12032,15601,6061,4558,16222,13963
14,15190,13591,14775,16017,11714,15000,624,9745,12656,14525
15,14893,4338,15060,16169,12818,14755,869,6608,9671,14200
16,14517,1819,14926,11403,9606,14140,5619,6406,9477,14890
17,10569,2719,5984,10185,11401,14662,3061,6555,8894,14913
18,8925,12842,14756,10103,12511,14478,3428,4077,9319,14087
19,9691,1641,13965,9723,11714,14110,1712,4528,8930,15541
20,7941,1942,11625,12031,8985,13877,1537,3453,8606,14307
21,9652,3531,11643,9577,7645,13658,3740,1858,8252,9284
22,8911,1697,14388,9637,8372,13594,3266,3767,2949,10077
23,8495,2337,13875,9315,7909,13802,780,1383,7662,8494
24,8632,2637,14754,9403,7913,13646,2121,741,8430,9343
25,9497,1975,5426,9800,7711,9602,450,849,8133,8896
26,9436,4344,3329,9514,7810,6277,656,996,7907,9349
27,9227,588,5304,9641,7971,6396,546,1321,8298,9474
28,3874,238,3280,9134,8213,8414,417,1421,4113,9276
29,9640,352,4474,9514,8357,2861,78,1745,4827,8864
30,2403,130,3720,9551,8156,4072,286,796,1893,4435
31,5841,1175,5985,5428,8370,7798,355,1332,1340,3656
32,9290,2299,6651,9443,8139,3218,140,1347,1637,4836
33,9744,258,7601,9278,8499,3693,207,1587,7572,4135
34,1625,409,2795,8803,10132,7048,335,1783,4573,6767
35,3533,143,904,3404,11430,6640,75,522,1767,3828
36,12937,534,1159,3267,4707,5252,71,632,5437,4393
37,2152,70,576,2452,8001,2043,71,888,1759,3651
38,7767,85,575,4169,7626,1235,69,136,4544,5352
39,5206,91,929,2643,2966,2634,101,260,956,3369
40,5883,71,715,1785,6915,1664,627,515,3064,3204
41,1998,70,1725,4509,6980,5316,110,237,7020,3215
42,1872,71,390,2989,6409,4189,405,251,2582,3925
43,940,135,962,4754,6325,1896,108,362,1015,2951
44,1268,70,399,3681,4687,1668,103,839,1590,3850
45,2227,71,122,1911,563,777,102,955,5687,4159
46,1492,77,638,1265,6132,398,104,122,6572,2627
47,1238,72,79,1626,1873,677,101,234,470,3038
48,437,509,81,848,1308,1684,98,235,1814,3247
49,786,422,76,1246,4941,414,99,345,874,2448
50,1452,115,220,994,6017,463,99,243,3430,2898
51,304,110,72,1337,357,2282,102,340,606,1552
52,1009,106,69,1122,1280,837,107,216,74,2785
53,1369,109,73,1856,6000,387,100,117,76,2629
54,931,109,71,1146,4201,342,102,230,198,769
55,1050,103,70,1227,1653,1227,96,214,196,2012
