k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,9,23,7,8,18,12,22,7,78,9
2,15,29,20,12,30,42,21,12,82,14
3,21,34,26,20,31,48,22,35,88,17
4,29,31,31,24,34,69,23,56,89,24
5,37,35,38,28,39,63,26,57,93,29
6,55,57,40,35,73,65,35,60,96,35
7,90,44,45,45,57,84,42,62,103,40
8,46,39,47,47,55,73,29,73,101,54
9,50,37,49,50,56,81,28,69,107,56
10,50,42,44,45,55,85,31,68,112,50
11,86,37,50,51,58,81,35,71,112,61
12,53,38,67,73,58,80,23,92,113,66
13,53,37,48,54,57,79,26,70,105,66
14,55,35,45,55,55,81,27,64,101,93
15,51,36,50,53,53,80,28,66,137,78
16,54,37,42,60,57,80,26,72,106,80
17,52,34,47,54,59,75,26,66,102,75
18,49,38,47,62,51,81,28,76,103,78
19,48,37,61,65,52,100,26,64,102,84
20,48,32,52,60,52,75,23,69,101,73
21,68,44,50,75,58,101,34,91,124,102
22,53,35,44,63,52,79,27,66,110,80
23,57,36,61,65,51,80,27,71,109,85
24,57,35,48,69,56,71,22,76,107,78
25,49,37,48,59,67,98,26,73,107,82
26,57,36,43,65,57,81,23,71,108,80
27,57,37,48,62,59,76,27,71,107,85
28,52,38,47,57,52,78,27,72,107,83
29,57,32,46,67,54,83,27,69,109,78
30,59,34,53,61,57,86,24,74,107,81
31,56,37,47,60,58,83,27,82,107,85
32,55,33,49,65,52,85,23,72,108,81
33,52,36,46,65,57,83,27,68,106,88
34,57,38,48,64,54,78,27,74,106,87
35,53,36,46,61,58,80,26,69,108,80
36,58,35,49,57,58,84,27,65,107,86
37,51,39,43,65,55,82,28,67,107,86
38,55,36,46,57,53,75,23,69,109,78
39,49,38,46,61,54,75,27,64,108,83
40,56,37,44,62,59,78,27,71,107,80
41,74,48,46,64,76,98,29,84,109,104
42,71,45,61,76,66,98,32,84,107,104
43,50,35,59,75,52,76,27,71,107,82
44,53,36,48,62,52,84,23,67,108,85
45,59,39,48,64,52,76,25,74,106,85
46,55,39,50,65,59,59,25,66,107,88
47,58,38,49,82,76,102,27,77,108,85
48,70,34,58,66,61,84,33,88,106,83
49,67,46,43,58,69,77,28,72,107,95
50,58,38,54,72,60,80,30,71,108,80
51,57,37,46,62,51,78,26,70,106,83
52,54,38,49,73,58,81,33,76,107,80
53,58,38,43,64,73,101,27,73,108,85
54,56,35,50,76,56,79,34,70,107,82
55,59,37,47,65,54,84,23,70,107,82
