k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,17.9,0,17.9,0,17.9,1086.4,17.9,411.6
2,27.7,0.1,26.7,0,29.3,991.8,29.4,547.4
3,34.6,0.1,33.9,0,37.8,975,38.5,651.1
4,40.5,0.1,38,0,45.6,1047,46.6,748.1
5,46.8,0.2,42.6,0,52.3,1130.4,53,844.4
6,50.9,0.2,47,0,56.1,922.6,57.4,578.1
7,54.1,0.2,50,0,58.5,906.8,60.8,321.4
8,56.8,0.4,52.3,0,60.1,886.6,61.3,295.2
9,59.6,0.4,56.1,0,61.8,263.3,61.8,110.2
10,60.5,0.5,57,0,61.8,326,62,11.4
11,61.8,0.5,58.4,0,61.8,295.3,,5.6
12,62,0.6,59.2,0,62,149.1,,3.7
13,,0.4,60.1,0,,175.6,,2.2
14,,0.4,60.5,0,,90.8,,1.2
15,,0.6,60.9,0,,61.7,,0.9
16,,0.5,61.2,0,,47.9,,1
17,,0.4,61.7,0,,36.8,,0.9
18,,0.6,62,0,,37.8,,0.9
19,,0.5,,0,,20,,0.9
20,,0.5,,0,,17,,1
21,,0.6,,0,,13.2,,1
22,,0.5,,0,,13.5,,1
23,,0.4,,0,,13.1,,1
24,,0.5,,0,,13,,0.9
25,,0.5,,0,,12.2,,1
26,,0.5,,0,,8.8,,0.9
27,,0.4,,0,,8.3,,0.9
28,,0.5,,0,,8.8,,1
29,,0.4,,0,,9.3,,1
30,,0.5,,0,,9.5,,0.9
31,,0.4,,0,,9.5,,0.9
32,,0.5,,0,,8.5,,1
33,,0.4,,0,,8.9,,1
34,,0.6,,0,,8.9,,1
35,,0.5,,0,,8.1,,1
36,,0.5,,0,,7.8,,1
37,,0.4,,0,,8.1,,1
38,,0.5,,0,,7.9,,1
39,,0.4,,0,,7.4,,1
40,,0.6,,0,,7.7,,1
41,,0.6,,0,,7.7,,1
42,,0.6,,0,,7.5,,1
43,,0.5,,0,,7.8,,1
44,,0.4,,0,,7.3,,1
45,,0.5,,0,,6.8,,1
46,,0.5,,0,,7.2,,1
47,,0.5,,0,,7.1,,1
48,,0.5,,0,,6.8,,1
49,,0.3,,0,,7.4,,1
50,,0.5,,0,,7.2,,1
51,,0.4,,0,,7.3,,1
52,,0.5,,0,,7,,1
53,,0.5,,0,,6.9,,0.9
54,,0.5,,0,,6.5,,0.9
55,,0.5,,0,,6.3,,0.9
