k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,18,23,29,14,4,22,9,17,14,29
2,32,40,41,25,13,38,20,22,21,41
3,46,46,51,35,22,46,27,28,32,45
4,54,56,55,39,32,52,38,41,40,49
5,60,60,60,46,34,55,45,58,51,54
6,62,62,62,50,44,58,49,60,57,57
7,62,60,62,54,53,60,58,60,62,54
8,62,62,62,57,58,60,57,62,62,59
9,62,62,62,60,62,62,62,62,62,62
10,62,62,62,60,62,62,62,62,62,62
11,62,62,62,62,62,60,62,62,62,62
12,62,62,62,62,62,62,62,62,62,62
13,62,62,62,62,62,62,62,62,62,62
14,62,62,62,62,62,62,62,62,62,62
15,62,62,62,62,62,62,62,62,62,62
16,62,62,62,62,62,62,62,62,62,62
17,62,62,62,62,62,62,62,62,62,62
18,62,62,62,62,62,62,62,62,62,62
19,62,62,62,62,62,62,62,62,62,62
20,62,62,62,62,62,62,62,62,62,62
21,62,62,62,62,62,62,62,62,62,62
22,62,62,62,62,62,62,62,62,62,62
23,62,62,62,62,62,62,62,62,62,62
24,62,62,62,62,62,62,62,62,62,62
25,62,62,62,62,62,62,62,62,62,62
26,62,62,62,62,62,62,62,62,62,62
27,62,62,62,62,62,62,62,62,62,62
28,62,62,62,62,62,62,62,62,62,62
29,62,62,62,62,62,62,62,62,62,62
30,62,62,62,62,62,62,62,62,62,62
31,62,62,62,62,62,62,62,62,62,62
32,62,62,62,62,62,62,62,62,62,62
33,62,62,62,62,62,62,62,62,62,62
34,62,62,62,62,62,62,62,62,62,62
35,62,62,62,62,62,62,62,62,62,62
36,62,62,62,62,62,62,62,62,62,62
37,62,62,62,62,62,62,62,62,62,62
38,62,62,62,62,62,62,62,62,62,62
39,62,62,62,62,62,62,62,62,62,62
40,62,62,62,62,62,62,62,62,62,62
41,62,62,62,62,62,62,62,62,62,62
42,62,62,62,62,62,62,62,62,62,62
43,62,62,62,62,62,62,62,62,62,62
44,62,62,62,62,62,62,62,62,62,62
45,62,62,62,62,62,62,62,62,62,62
46,62,62,62,62,62,62,62,62,62,62
47,62,62,62,62,62,62,62,62,62,62
48,62,62,62,62,62,62,62,62,62,62
49,62,62,62,62,62,62,62,62,62,62
50,62,62,62,62,62,62,62,62,62,62
51,62,62,62,62,62,62,62,62,62,62
52,62,62,62,62,62,62,62,62,62,62
53,62,62,62,62,62,62,62,62,62,62
54,62,62,62,62,62,62,62,62,62,62
55,62,62,62,62,62,62,62,62,62,62
