k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,18,23,29,14,4,22,9,17,14,29
2,32,40,41,25,9,36,16,22,20,36
3,44,46,50,32,13,43,21,28,28,41
4,51,56,54,38,16,47,27,39,32,45
5,53,58,60,46,25,52,31,54,40,49
6,62,59,62,50,28,55,38,58,43,54
7,62,62,62,54,30,58,42,60,52,59
8,62,62,62,56,33,60,47,62,62,62
9,62,62,62,58,49,62,55,62,62,62
10,62,62,62,59,53,62,59,62,62,62
11,62,62,62,62,60,62,62,62,62,62
12,62,62,62,62,62,62,62,62,62,62
13,62,62,62,62,62,62,62,62,62,62
14,62,62,62,62,62,62,62,62,62,62
15,62,62,62,62,62,62,62,62,62,62
16,62,62,62,62,62,62,62,62,62,62
17,62,62,62,62,62,62,62,62,62,62
18,62,62,62,62,62,62,62,62,62,62
19,62,62,62,62,62,62,62,62,62,62
20,62,62,62,62,62,62,62,62,62,62
21,62,62,62,62,62,62,62,62,62,62
22,62,62,62,62,62,62,62,62,62,62
23,62,62,62,62,62,62,62,62,62,62
24,62,62,62,62,62,62,62,62,62,62
25,62,62,62,62,62,62,62,62,62,62
26,62,62,62,62,62,62,62,62,62,62
27,62,62,62,62,62,62,62,62,62,62
28,62,62,62,62,62,62,62,62,62,62
29,62,62,62,62,62,62,62,62,62,62
30,62,62,62,62,62,62,62,62,62,62
31,62,62,62,62,62,62,62,62,62,62
32,62,62,62,62,62,62,62,62,62,62
33,62,62,62,62,62,62,62,62,62,62
34,62,62,62,62,62,62,62,62,62,62
35,62,62,62,62,62,62,62,62,62,62
36,62,62,62,62,62,62,62,62,62,62
37,62,62,62,62,62,62,62,62,62,62
38,62,62,62,62,62,62,62,62,62,62
39,62,62,62,62,62,62,62,62,62,62
40,62,62,62,62,62,62,62,62,62,62
41,62,62,62,62,62,62,62,62,62,62
42,62,62,62,62,62,62,62,62,62,62
43,62,62,62,62,62,62,62,62,62,62
44,62,62,62,62,62,62,62,62,62,62
45,62,62,62,62,62,62,62,62,62,62
46,62,62,62,62,62,62,62,62,62,62
47,62,62,62,62,62,62,62,62,62,62
48,62,62,62,62,62,62,62,62,62,62
49,62,62,62,62,62,62,62,62,62,62
50,62,62,62,62,62,62,62,62,62,62
51,62,62,62,62,62,62,62,62,62,62
52,62,62,62,62,62,62,62,62,62,62
53,62,62,62,62,62,62,62,62,62,62
54,62,62,62,62,62,62,62,62,62,62
55,62,62,62,62,62,62,62,62,62,62
