k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,410,446,553,355,298,442,356,366,370,520
2,549,637,688,537,375,625,444,482,514,623
3,719,745,786,622,430,752,574,584,578,721
4,796,876,875,706,518,813,662,721,708,806
5,926,920,936,803,616,902,756,852,858,875
6,28,30,6,885,763,957,859,914,415,924
7,6,9,1,967,843,671,503,101,88,25
8,1,2,1,1016,924,3,964,29,2,10
9,1,2,1,1005,32,4,23,23,5,6
10,1,1,1,44,8,1,40,10,7,1
11,1,1,1,24,16,1,8,2,1,1
12,1,1,1,6,13,1,11,1,1,1
13,1,1,1,5,6,1,4,1,1,1
14,1,1,1,1,3,1,1,1,1,1
15,1,1,1,0,1,1,1,1,1,1
16,1,1,1,0,1,1,2,1,1,1
17,1,1,1,0,1,1,1,1,1,1
18,1,1,1,0,1,1,1,1,1,1
19,1,1,1,0,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1
24,1,1,1,0,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1
26,1,1,1,0,1,1,1,1,1,1
27,1,1,1,0,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
30,1,1,1,0,1,1,1,1,1,1
31,1,1,1,0,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,0,1,1,1
54,1,1,1,1,1,1,0,1,1,1
55,1,1,1,1,1,1,0,1,1,1
