k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,1095,1127,1162,1063,973,1123,1023,1082,1067,1149
2,1023,1074,1097,1016,773,1079,868,959,969,1060
3,1017,1065,1067,962,756,1048,932,939,973,991
4,1120,1136,1121,1032,866,1071,1025,1029,1028,1042
5,1215,1193,1178,1121,974,1189,1063,1107,1080,1184
6,392,642,144,1144,1049,1202,1146,1149,1136,1222
7,453,1288,73,1216,1159,1207,1192,1184,240,1056
8,1192,1063,85,1177,1063,1092,1163,878,143,1010
9,24,396,123,929,266,22,296,302,85,190
10,27,125,63,869,477,239,630,142,59,629
11,20,114,78,635,503,794,128,203,48,430
12,19,172,37,343,36,135,200,138,39,372
13,60,35,24,164,38,647,364,68,13,343
14,34,44,23,115,41,154,147,146,13,191
15,11,124,24,146,17,18,76,62,14,125
16,9,91,25,91,22,62,23,92,13,51
17,11,85,27,27,22,70,51,22,13,40
18,8,53,27,94,11,51,30,46,13,45
19,8,20,12,35,7,10,15,57,12,24
20,9,13,13,54,11,6,7,20,14,23
21,9,55,12,5,7,10,7,8,14,5
22,9,7,12,5,10,7,35,8,14,28
23,9,7,13,18,8,7,6,8,14,41
24,11,7,16,30,12,10,11,8,14,11
25,8,21,14,24,8,8,7,12,15,5
26,8,6,12,6,11,7,7,12,13,6
27,9,6,13,7,9,7,7,7,13,5
28,9,6,13,5,9,7,7,12,14,6
29,9,8,14,7,9,7,7,11,14,7
30,9,10,14,6,8,7,7,12,15,7
31,8,10,14,7,8,7,9,11,14,7
32,9,7,12,7,8,7,10,10,9,6
33,11,7,13,6,8,7,8,11,12,6
34,8,7,13,9,8,6,10,11,10,7
35,10,7,13,6,8,7,6,10,8,6
36,9,7,12,6,7,7,7,8,9,6
37,12,6,12,6,8,7,7,8,9,6
38,9,7,12,6,10,6,7,7,9,6
39,8,6,12,6,7,7,7,7,8,6
40,8,6,12,6,10,6,6,7,10,6
41,8,6,12,6,10,7,6,7,9,6
42,9,6,12,6,10,6,6,7,7,6
43,11,6,12,6,10,6,6,6,9,6
44,7,6,11,6,9,6,6,7,9,6
45,7,6,11,5,9,6,6,7,6,5
46,8,6,10,6,9,6,6,8,8,5
47,8,6,10,5,9,5,6,9,8,5
48,7,6,10,5,9,8,5,7,6,5
49,8,6,10,5,9,6,6,10,9,5
50,7,6,11,5,9,6,5,11,7,5
51,7,6,10,5,10,5,6,9,10,5
52,6,7,10,5,9,5,5,8,10,5
53,6,7,10,5,5,5,5,12,9,5
54,6,7,10,5,8,6,5,6,7,5
55,6,7,8,4,8,5,6,8,7,4
