k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,264.6,8548.4,264.6,132,264.6,566425,264.6,463346
2,312.1,12307,288.8,602.9,319.9,718368,321.2,635933
3,381.4,14434.6,324.8,731.6,403.7,834907,402.6,747058
4,425,15967.4,364.7,703.4,459.8,904204,467.3,876138
5,472.5,19328.5,428.9,795.5,572.9,1.00672e+06,634.7,981050
6,525.8,21675.2,450.5,829.2,673.3,1.07691e+06,688.6,1.12035e+06
7,605.3,24787.3,470.2,876.1,696,1.10736e+06,707.5,1.19708e+06
8,643.3,25343.2,493.8,884.6,719,1.1769e+06,808.9,1.29683e+06
9,683.9,27239.9,516.1,944.7,836.3,1.25381e+06,860,1.39175e+06
10,720.6,28886.3,544.6,927.1,848.5,1.28266e+06,883,1.46003e+06
11,741,30874.7,632.9,989,862.5,1.3262e+06,888.6,1.577e+06
12,859.7,32827.8,670.7,999.9,879.8,1.36512e+06,920.3,1.63625e+06
13,897.1,32207.8,702.3,1052.9,883.5,1.39104e+06,936.5,1.65194e+06
14,932.2,33197.5,721.2,1110.2,907.8,1.40936e+06,1024.6,1.72749e+06
15,950.5,31824.3,734.9,1053.4,921.3,1.43402e+06,1090.1,1.76452e+06
16,966.1,33611.8,744.1,1034.4,927.4,1.45579e+06,1108.1,1.79202e+06
17,978.5,32875.8,770.6,1058,974.9,1.47297e+06,1163.9,1.79672e+06
18,989.4,35069.7,851.8,1114.8,977.4,1.47231e+06,1179.1,1.81101e+06
19,1009.9,34730.6,863.5,1108.6,1000.7,1.48874e+06,1220.5,1.81425e+06
20,1054.9,35222.4,882.1,1192.5,1045.2,1.51219e+06,1249.4,1.82372e+06
21,1117.1,36132.5,894.6,1091.1,1061.3,1.49783e+06,1325.8,1.71892e+06
22,1150.6,36410,905.9,1122.3,1055.7,1.51017e+06,1341.9,1.59381e+06
23,1171.3,37158.7,957.4,1137.9,1138.8,1.48993e+06,1338.1,1.41437e+06
24,1198.4,36775,967.8,1105.1,1145.3,1.53143e+06,1383.6,1.6102e+06
25,1218.8,37786.7,975.4,1180,1151.6,1.51862e+06,1402.6,1.25527e+06
26,1232.1,36026,983.9,1220.1,1172.2,1.54465e+06,1397.7,1.13336e+06
27,1241.9,35243.1,997.1,1144.3,1177.2,1.53174e+06,1416.8,1.0065e+06
28,1282.2,35507.4,1026.7,1125.7,1214,1.51062e+06,1417.2,890886
29,1330.1,37953.1,1031.9,1111,1183.5,1.51203e+06,1420.6,683954
30,1341.5,38041.5,1075.3,1140.3,1234.7,1.53207e+06,1420.1,601080
31,1352.2,38218.1,1123.3,1158.2,1255.3,1.52775e+06,1425,611591
32,1370.8,38318.4,1159,1159.6,1251.3,1.48998e+06,1425.3,531592
33,1375,39791.4,1171.8,1172.6,1259.3,1.49811e+06,1429.1,513992
34,1379.2,38978,1177,1174,1273.3,1.48634e+06,1431.5,498066
35,1384.1,40931.8,1199.8,1185.2,1265.2,1.46156e+06,1432.7,492243
36,1387.5,39733.9,1203.7,1189.4,1297.5,1.3984e+06,1436.4,386595
37,1390.1,39369.9,1220.6,1280.9,1330,1.39254e+06,1435.4,503236
38,1392.8,40499.6,1225.1,1292.2,1310.3,1.40788e+06,1438.6,482313
39,1395.3,40584.1,1235,1235.6,1284.4,1.35236e+06,1444.1,358864
40,1414.1,40933.5,1241.5,1198.4,1325.6,1.28309e+06,1441.4,360459
41,1417.1,40628.9,1248.7,1258.3,1328.9,1.25196e+06,1441.5,342692
42,1418.4,40298.2,1255.5,1232.7,1312.8,1.29854e+06,1443.7,311812
43,1419.7,40352.2,1289.2,1270.7,1355.9,1.20246e+06,1444.6,219924
44,1420.9,41013.2,1310.1,1279.5,1336.9,1.29983e+06,1444.9,228337
45,1422.7,40114.4,1325.4,1297,1363.6,1.26095e+06,1445.6,211284
46,1424.3,41110.9,1336.6,1262.6,1364.3,1.25887e+06,1446,109032
47,1426.1,41335.1,1339.8,1306.9,1347.6,1.1359e+06,,96567.6
48,1427.6,41076.3,1343.8,1316.2,1364.8,1.16349e+06,,145988
49,1428.9,41514,1383.3,1238.9,1362.2,1.04664e+06,,55433.5
50,1430.3,41704.2,1385.6,1224.9,1363.5,1.0582e+06,,55339.4
51,1433.5,40959.9,1389.4,1277.8,1359,935711,,38415.7
52,1435.2,40658.5,1403.7,1282.4,1371.4,916369,,35119.4
53,1437.3,40748.2,1408.5,1275.8,1366.5,804416,,32466.7
54,1438.1,39819.5,1409.5,1316.6,1369.6,744799,,27612.2
55,1439.7,39870.9,1410.4,1290.6,1373.3,750311,,23946.3
