k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,782,194,23,101,722,531,135,73,32,53
2,792,243,77,146,756,564,177,136,244,77
3,801,320,90,165,940,577,203,181,664,85
4,824,380,129,183,971,612,229,466,758,121
5,834,460,168,311,1116,646,1344,492,790,186
6,911,527,176,340,1165,649,1348,504,825,441
7,934,547,187,331,1173,700,1387,511,827,478
8,950,584,202,1152,1175,688,1395,513,852,578
9,955,585,222,1253,1272,880,1404,535,903,591
10,974,698,243,1281,1300,897,1406,554,870,607
11,976,625,260,1299,1306,924,1415,575,889,617
12,989,750,253,1347,1324,988,1430,556,915,651
13,979,747,269,1359,1362,1026,1431,613,925,654
14,995,766,294,1348,1341,1218,1439,1012,937,896
15,998,800,294,1358,1383,1368,1437,1062,1300,901
16,1001,834,309,1409,1419,1378,1446,1103,1278,904
17,1045,862,343,1402,1435,1390,1446,1414,1371,931
18,1067,853,390,1408,1433,1406,1446,1417,1401,970
19,1193,896,574,1437,1439,1403,1446,1429,1431,957
20,1401,912,584,1446,1436,1408,1446,1437,1439,985
21,1429,933,1289,1444,1442,1415,1446,1438,1441,981
22,1429,952,1304,1446,1444,1427,1446,1442,1444,1085
23,1432,1018,1172,1446,1446,1430,1446,1446,1446,1099
24,1439,1286,1332,1446,1446,1433,1446,1444,1446,1118
25,1441,1325,1308,1446,1446,1435,1446,1446,1446,1287
26,1441,1338,1399,1446,1446,1440,1446,1446,1446,1129
27,1446,1356,1397,1446,1446,1444,1446,1446,1446,1295
28,1446,1365,1392,1446,1446,1446,1446,1446,1446,1293
29,1446,1357,1408,1446,1446,1446,1446,1446,1446,1319
30,1446,1365,1405,1446,1446,1446,1446,1446,1446,1309
31,1446,1363,1427,1446,1446,1446,1446,1446,1446,1338
32,1446,1374,1421,1446,1446,1446,1446,1446,1446,1336
33,1446,1415,1421,1446,1446,1446,1446,1446,1446,1333
34,1446,1415,1435,1446,1446,1446,1446,1446,1446,1343
35,1446,1428,1434,1446,1446,1446,1446,1446,1446,1343
36,1446,1425,1446,1446,1446,1446,1446,1446,1446,1371
37,1446,1437,1444,1446,1446,1446,1446,1446,1446,1351
38,1446,1433,1442,1446,1446,1446,1446,1446,1446,1389
39,1446,1435,1446,1446,1446,1446,1446,1446,1446,1438
40,1446,1446,1446,1446,1446,1446,1446,1446,1446,1400
41,1446,1446,1446,1446,1446,1446,1446,1446,1446,1401
42,1446,1446,1446,1446,1446,1446,1446,1446,1446,1423
43,1446,1446,1446,1446,1446,1446,1446,1446,1446,1432
44,1446,1446,1446,1446,1446,1446,1446,1446,1446,1435
45,1446,1446,1446,1446,1446,1446,1446,1446,1446,1442
46,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
47,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
48,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
49,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
50,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
51,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
52,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
53,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
54,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
55,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
