k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,782,194,23,101,722,531,135,73,32,53
2,792,215,34,132,752,558,170,100,63,72
3,804,238,57,153,789,572,190,122,239,84
4,811,314,81,166,966,580,202,157,277,93
5,818,373,94,182,1000,594,216,245,667,100
6,824,385,105,191,1107,605,229,262,690,107
7,843,394,120,201,1124,629,238,319,717,117
8,850,405,140,211,1135,656,248,443,727,123
9,855,478,153,221,1141,670,261,477,741,164
10,902,519,165,234,1147,676,370,485,771,177
11,915,537,197,328,1155,688,1019,493,779,218
12,935,544,213,371,1175,694,1230,506,815,224
13,939,552,221,379,1184,702,1269,513,821,443
14,944,558,243,406,1189,726,1344,525,826,451
15,951,565,257,414,1255,735,1350,531,832,459
16,955,574,265,423,1269,750,1360,537,838,470
17,962,629,275,453,1280,860,1372,547,847,481
18,967,634,292,1134,1292,876,1376,560,856,531
19,972,641,298,1145,1296,881,1383,565,861,593
20,977,689,309,1153,1299,919,1390,584,883,618
21,982,735,315,1163,1304,929,1395,603,895,625
22,988,741,320,1178,1327,937,1397,610,931,630
23,991,751,325,1257,1330,941,1401,620,1320,638
24,994,769,336,1262,1337,945,1403,625,1364,643
25,1001,773,344,1294,1341,949,1405,631,1369,647
26,1009,779,371,1299,1347,959,1407,639,1376,653
27,1012,784,461,1304,1349,969,1410,643,1381,658
28,1047,809,651,1313,1352,974,1420,652,1384,665
29,1051,817,657,1317,1354,983,1422,657,1392,669
30,1063,821,684,1339,1358,986,1425,972,1429,676
31,1067,825,1026,1349,1364,1023,1428,1040,1431,680
32,1070,829,1039,1365,1366,1324,1431,1045,1433,688
33,1073,833,1047,1386,1370,1368,1435,1070,1435,701
34,1078,840,1057,1389,1379,1373,1437,1074,1438,705
35,1096,849,1062,1393,1382,1377,1441,1078,1439,881
36,1099,857,1066,1399,1383,1382,1444,1081,1441,885
37,1218,864,1075,1409,1392,1386,1446,1084,1443,889
38,1223,868,1080,1413,1396,1391,1446,1094,1444,896
39,1225,880,1092,1430,1424,1394,1446,1097,1446,916
40,1234,892,1117,1434,1425,1396,1446,1102,1446,923
41,1236,917,1122,1436,1426,1400,1446,1105,1446,953
42,1238,921,1165,1438,1428,1402,1446,1108,1446,963
43,1264,926,1173,1439,1433,1410,1446,1375,1446,980
44,1429,935,1179,1440,1435,1412,1446,1380,1446,999
45,1431,941,1302,1442,1437,1421,1446,1383,1446,1005
46,1432,946,1308,1444,1440,1424,1446,1413,1446,1067
47,1434,951,1317,1446,1442,1428,1446,1415,1446,1073
48,1436,955,1328,1446,1444,1430,1446,1421,1446,1086
49,1440,1323,1335,1446,1446,1433,1446,1428,1446,1090
50,1443,1326,1341,1446,1446,1436,1446,1433,1446,1093
51,1446,1329,1347,1446,1446,1438,1446,1435,1446,1115
52,1446,1332,1361,1446,1446,1439,1446,1437,1446,1238
53,1446,1338,1368,1446,1446,1440,1446,1438,1446,1271
54,1446,1340,1370,1446,1446,1441,1446,1439,1446,1275
55,1446,1342,1372,1446,1446,1442,1446,1440,1446,1278
