k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,782,194,23,101,722,531,135,73,32,53
2,791,243,77,146,752,569,175,136,233,77
3,800,320,93,165,940,582,198,160,688,91
4,808,390,123,175,959,596,215,488,712,132
5,828,442,134,190,989,654,1036,500,780,176
6,839,529,159,343,1133,637,1344,499,810,440
7,930,538,181,355,1116,674,1347,511,828,480
8,942,549,188,371,1173,669,1385,510,832,571
9,945,594,219,1199,1187,849,1380,538,858,594
10,954,579,217,1285,1186,857,1387,548,866,606
11,954,619,236,1273,1186,922,1399,561,880,595
12,968,705,208,1288,1192,954,1394,552,903,634
13,964,652,265,1288,1274,937,1403,561,861,630
14,961,763,266,1318,1202,1039,1390,564,917,658
15,967,798,282,1324,1304,930,1405,617,908,678
16,984,768,301,1354,1277,1007,1398,616,919,650
17,970,779,289,1339,1271,1230,1401,640,930,900
18,982,807,303,1327,1301,1214,1396,635,926,883
19,979,842,335,1320,1263,1222,1403,1031,935,677
20,981,832,342,1343,1302,1257,1403,1142,934,916
21,989,847,366,1340,1300,1354,1403,1093,971,950
22,983,815,369,1355,1311,1361,1404,1099,967,893
23,989,877,379,1363,1299,1371,1401,1388,1386,935
24,986,849,540,1377,1227,1372,1401,1376,1376,949
25,984,895,625,1358,1316,1327,1403,1398,1237,973
26,992,874,689,1371,1333,1376,1405,1390,1342,950
27,998,888,637,1373,1312,1372,1404,1415,1404,969
28,1025,889,1006,1362,1333,1367,1405,1398,1396,959
29,993,883,656,1365,1352,1379,1404,1400,1349,1054
30,999,937,1039,1398,1312,1377,1405,1420,1414,1046
31,1004,906,1297,1367,1334,1384,1402,1397,1426,1036
32,993,948,1152,1370,1338,1380,1408,1402,1415,1107
33,998,882,1286,1366,1332,1380,1405,1430,1430,1084
34,1007,1022,1340,1383,1325,1386,1399,1425,1379,1067
35,1019,983,1302,1370,1341,1364,1407,1403,1423,1040
36,1003,991,1352,1377,1357,1391,1404,1403,1416,1281
37,1165,1313,1383,1384,1343,1384,1406,1424,1423,1075
38,1002,1325,1355,1375,1330,1384,1405,1427,1412,1088
39,1034,951,1379,1372,1371,1382,1412,1414,1410,1119
40,1182,1339,1308,1379,1354,1382,1405,1403,1429,1075
41,1181,1294,1364,1371,1328,1380,1408,1411,1430,1122
42,1203,1076,1361,1372,1351,1393,1409,1421,1426,1116
43,1198,1294,1354,1401,1375,1395,1406,1429,1417,1290
44,1175,1278,1368,1410,1356,1391,1409,1431,1430,1121
45,1195,1283,1382,1410,1418,1384,1406,1429,1440,1289
46,1211,1316,1382,1424,1368,1386,1408,1436,1430,1282
47,1085,1342,1355,1396,1368,1381,1407,1429,1426,1287
48,1228,1312,1382,1423,1356,1391,1405,1428,1429,1294
49,1207,1306,1394,1410,1356,1388,1407,1429,1436,1289
50,1205,1337,1372,1397,1373,1388,1407,1429,1434,1293
51,1188,1315,1382,1404,1339,1398,1413,1431,1424,1296
52,1225,1329,1392,1391,1423,1386,1406,1432,1426,1304
53,1214,1311,1387,1416,1363,1394,1402,1429,1430,1319
54,1247,1328,1384,1408,1366,1385,1409,1431,1434,1304
55,1224,1333,1392,1401,1416,1394,1405,1435,1428,1305
