k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,782,194,23,101,722,531,135,73,32,53
2,792,216,52,132,756,569,170,129,233,72
3,800,281,70,153,802,582,190,163,688,85
4,810,364,87,168,940,602,207,214,762,96
5,816,385,133,184,955,630,245,483,787,107
6,823,463,163,192,1098,650,421,507,818,123
7,828,527,178,204,1134,659,1008,525,835,155
8,832,541,195,225,1143,667,1230,556,848,196
9,836,549,204,385,1153,680,1344,606,864,218
10,840,574,222,409,1159,708,1368,613,874,439
11,855,603,232,427,1194,723,1384,624,882,486
12,869,635,245,1159,1282,914,1388,634,889,582
13,948,757,255,1228,1298,925,1392,666,895,607
14,956,784,268,1268,1307,935,1395,889,904,616
15,964,807,277,1294,1319,943,1399,965,913,624
16,972,817,298,1304,1328,963,1402,1013,932,632
17,983,829,315,1310,1343,975,1408,1036,942,644
18,990,842,322,1316,1353,987,1413,1055,963,653
19,998,865,327,1330,1366,1027,1417,1133,973,663
20,1075,877,332,1338,1386,1307,1420,1161,983,670
21,1082,890,337,1354,1413,1354,1424,1352,1289,676
22,1090,900,356,1360,1422,1363,1427,1421,1300,867
23,1153,909,381,1371,1426,1373,1430,1426,1344,900
24,1179,917,533,1392,1429,1382,1434,1429,1378,911
25,1191,924,665,1401,1436,1388,1437,1431,1395,920
26,1225,943,679,1420,1439,1393,1439,1433,1415,935
27,1263,959,691,1427,1441,1398,1441,1435,1421,943
28,1273,1247,765,1431,1443,1404,1443,1437,1429,950
29,1407,1275,1057,1433,1444,1408,1446,1439,1432,960
30,1436,1297,1093,1435,1446,1411,1446,1442,1435,974
31,1439,1307,1159,1439,1446,1422,1446,1444,1437,983
32,1441,1322,1292,1441,1446,1425,1446,1446,1439,1010
33,1443,1332,1303,1443,1446,1428,1446,1446,1441,1022
34,1446,1341,1309,1446,1446,1430,1446,1446,1443,1039
35,1446,1348,1314,1446,1446,1433,1446,1446,1444,1072
36,1446,1355,1324,1446,1446,1437,1446,1446,1446,1083
37,1446,1360,1332,1446,1446,1440,1446,1446,1446,1093
38,1446,1364,1340,1446,1446,1444,1446,1446,1446,1104
39,1446,1368,1343,1446,1446,1446,1446,1446,1446,1120
40,1446,1376,1352,1446,1446,1446,1446,1446,1446,1291
41,1446,1379,1374,1446,1446,1446,1446,1446,1446,1296
42,1446,1382,1380,1446,1446,1446,1446,1446,1446,1300
43,1446,1385,1386,1446,1446,1446,1446,1446,1446,1304
44,1446,1388,1391,1446,1446,1446,1446,1446,1446,1308
45,1446,1395,1395,1446,1446,1446,1446,1446,1446,1315
46,1446,1404,1398,1446,1446,1446,1446,1446,1446,1319
47,1446,1416,1401,1446,1446,1446,1446,1446,1446,1322
48,1446,1420,1406,1446,1446,1446,1446,1446,1446,1328
49,1446,1424,1411,1446,1446,1446,1446,1446,1446,1332
50,1446,1427,1416,1446,1446,1446,1446,1446,1446,1338
51,1446,1430,1421,1446,1446,1446,1446,1446,1446,1362
52,1446,1432,1424,1446,1446,1446,1446,1446,1446,1374
53,1446,1434,1427,1446,1446,1446,1446,1446,1446,1390
54,1446,1436,1429,1446,1446,1446,1446,1446,1446,1394
55,1446,1446,1431,1446,1446,1446,1446,1446,1446,1398
