k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,1595883,305282,45286,149349,987381,906665,399683,105026,41086,97815
2,1772730,438707,88519,250451,1444889,1230270,500614,250267,220336,162548
3,1801995,596556,157381,339921,1766303,1352395,541594,330257,363009,221171
4,1923428,727198,197356,368131,1960969,1451206,597511,509556,757539,268490
5,1888224,767201,235749,475661,2075208,1554454,795384,858761,804325,355535
6,1994220,937501,278734,646570,2088008,1602294,1035520,956896,1273443,390284
7,1939743,998970,321158,637580,2240847,1673456,1048392,1077908,1447849,584875
8,2007259,1156193,396461,700441,2192394,1685889,1330888,1123934,1525654,849179
9,2077643,1216699,427590,836945,2368725,1719825,1415428,1249858,1694442,910353
10,2049854,1425985,448337,987421,2242515,1758127,1614534,1302708,1698832,1071969
11,2141386,1335110,517594,993818,2337335,1927353,1968210,1473710,1895675,1179778
12,2103142,1466583,521858,1291187,2439760,1912095,1916430,1404412,1868496,1438579
13,2104176,1597513,556703,1304020,2324596,1925209,1918849,1495097,1882840,1410359
14,2328855,1545638,620566,1396694,2301048,1945822,1976481,1547881,2031354,1580534
15,2215757,1537049,617689,1561091,2357139,1987261,2119949,1622281,2053311,1573693
16,2334803,1683309,681966,1603912,2376257,2185873,1679615,1770385,2039268,1564824
17,2162270,1768023,739117,1826416,2284508,2284553,1475636,1831864,1978666,1616573
18,2252763,1782607,775898,1727320,2397640,2279666,1005247,2108020,2084575,1696405
19,2177253,2031699,747764,1869496,2261637,2296245,689618,2056047,2103969,1908753
20,2225550,1879024,904129,2020699,2367413,2442606,209989,2105186,2145519,1937069
21,2165726,1912747,960174,785371,2319992,2567417,192947,2128991,2130865,2025007
22,2321409,1910063,848640,585064,1111181,2526370,153952,2228724,2256035,1996629
23,2355723,1940680,1017170,347065,743522,2468816,167962,2173083,924570,2005102
24,2131254,2966561,1210661,291266,491392,2379196,160730,3324913,587506,2558547
25,1873393,2599840,1966631,332180,630538,2168558,126531,522137,581499,1751384
26,1875383,2173020,2174400,160475,210449,1889733,118981,269128,373902,2088169
27,1667829,1637935,1978499,201983,281633,1840952,64384,165897,392370,1833564
28,1295026,1686101,1907085,145599,298458,1371150,21588,100021,211445,1872391
29,463115,1669423,1650066,158132,267010,362156,58495,107785,173072,1930288
30,117506,1685279,1602481,159037,180469,178172,68291,82277,161511,1775781
31,128177,1607452,1845223,135858,150708,137759,36277,57408,158782,1858270
32,85335,1504410,1690539,95779,117411,120498,26702,71068,160923,1443257
33,46258,1539055,1602262,76245,83467,97069,16340,62878,142527,1473817
34,55461,1455146,1579449,48330,136635,87059,4555,56385,130226,1427418
35,45917,1424034,1613306,58753,108923,106846,4402,45203,95925,1419118
36,44222,1490249,483064,39845,64536,66751,17543,56260,110141,1493341
37,25033,1540969,1755563,41332,32650,61851,4442,49438,77096,1443982
38,28370,1470171,1530897,27965,39930,53512,4427,50235,81201,1536421
39,22496,1478847,288845,33469,30027,60240,4486,50790,73965,1545476
40,20676,702957,1167523,24747,27610,37707,4563,30117,46826,1541863
41,14746,1438413,202962,24588,30813,35912,4468,39100,36703,1599213
42,18038,1172785,191205,8086,23582,31587,4491,35672,52808,1579861
43,10787,326733,157721,25074,12379,36463,4435,32396,55494,1537759
44,8742,400193,172007,13389,4086,32359,4439,25420,61450,1561283
45,1663,449061,79240,5727,21147,23682,4412,15940,41605,1470368
46,3245,167230,106069,18537,4371,14653,4536,27374,49906,694395
47,1631,154632,75327,21024,12800,24954,4390,12800,36965,621153
48,3477,152904,91255,4081,2175,20792,4417,18864,32876,1129034
49,3605,139378,74154,24078,8664,14475,4409,17103,33211,235258
50,3772,109141,69012,12512,2197,9076,4421,8526,25481,309256
51,1684,110331,64927,4079,2231,3672,4406,19236,16672,156919
52,3769,90962,61415,4155,4584,9340,4317,4160,20844,147648
53,1772,97193,60337,4091,2240,10988,4306,6565,25501,111674
54,1747,72758,62054,4176,2108,9201,4341,9257,16790,93690
55,1727,65801,44793,4155,2288,3512,4303,8786,4277,99821
