k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,378,104,11,51,330,266,95,33,15,37
2,459,894,157,189,576,439,2555,528,31,201
3,552,978,190,252,723,328,3220,631,159,283
4,527,944,196,307,758,353,2766,669,190,324
5,536,1050,234,324,902,501,3001,688,352,367
6,548,1252,231,394,875,509,3011,731,368,373
7,549,1251,321,411,878,530,3218,811,413,379
8,630,1467,372,382,632,541,3161,873,384,404
9,593,1408,356,496,970,617,3198,904,414,491
10,576,1376,354,476,912,559,3258,1029,288,443
11,575,1373,376,583,924,553,3529,1074,446,457
12,534,1545,441,611,1059,583,3318,1003,432,473
13,588,1395,409,554,942,666,3792,1030,497,656
14,669,1591,485,632,1044,661,3703,1170,511,636
15,620,1467,487,622,1000,634,3514,1125,469,596
16,613,1500,557,614,985,598,3352,1066,469,590
17,634,1624,618,627,1017,558,3026,1395,554,527
18,626,1539,626,842,982,659,3593,1116,507,658
19,654,1614,656,859,979,653,3383,1120,496,672
20,882,2289,932,782,927,637,3254,1062,471,689
21,618,1532,699,891,937,648,3309,1093,484,700
22,605,1514,719,820,995,690,3448,1162,521,749
23,780,1618,782,888,951,662,3316,1113,549,720
24,614,1533,746,842,943,667,3329,1108,548,721
25,622,1524,754,842,1084,671,3815,1121,640,727
26,690,1688,840,932,1042,749,3631,1224,610,795
27,656,1608,851,885,957,682,3327,1131,563,783
28,616,1540,861,826,963,699,3327,1129,557,739
29,631,1505,881,842,959,689,3212,1128,544,719
30,639,1547,904,851,959,702,3294,1210,557,740
31,642,1545,986,853,965,710,3334,1232,565,750
32,639,1547,1012,860,957,739,3299,1225,568,750
33,639,1544,1010,865,966,749,3366,1247,574,766
34,648,1555,1018,862,962,744,3353,1246,575,777
35,654,1577,1043,880,983,756,3301,1278,567,813
36,656,1576,1035,873,968,748,3355,1267,576,840
37,757,1669,1088,975,1087,840,3497,1417,600,879
38,769,1794,1063,998,1108,856,3457,1419,592,866
39,703,1630,1112,895,998,776,3467,1303,594,878
40,687,1614,1038,881,986,758,3323,1288,565,844
41,737,1725,1043,943,1049,816,3426,1378,587,879
42,736,1606,1107,887,992,763,3502,1282,578,874
43,701,1651,1145,899,1003,781,3659,1329,595,944
44,749,1695,1128,921,1037,806,3574,1363,603,919
45,746,1725,1170,941,1027,805,3612,1383,618,943
46,746,1682,1155,972,1024,798,3391,1361,602,895
47,793,1675,1145,910,1014,792,3784,1348,599,1009
48,686,1813,1194,1015,1123,864,3405,1494,667,901
49,713,1655,1061,876,972,762,3544,1302,555,949
50,691,1644,1133,870,969,795,3335,1350,572,890
51,752,1713,1140,953,999,787,3510,1357,605,962
52,743,1758,1150,931,1019,797,3512,1353,601,960
53,737,1726,1156,924,1013,790,3500,1355,601,956
54,777,1774,1173,960,1040,814,3595,1411,625,997
55,737,1744,1158,934,1034,811,3530,1367,609,982
