k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,1711989,460843,103879,260475,1224971,929590,484960,187539,110750,189255
2,1914640,551606,209737,316686,1490012,1185910,551491,328349,415524,219723
3,1969416,679347,226065,419620,1750950,1365489,595999,409901,663120,269163
4,1815960,741105,245406,418264,1785646,1368068,636848,752266,926009,352465
5,1894524,878542,305684,448778,1916961,1475291,1010000,716521,1020629,400253
6,1827975,932966,328594,632387,1850186,1443474,1188223,922261,1134066,508925
7,1679721,990243,374302,660725,1809607,1480374,1188236,926622,1310419,653331
8,1641551,1043578,443140,749971,1827014,1515481,1262043,972542,1516141,797548
9,1712600,1193907,453401,859523,1780073,1572100,1439839,1122197,1470300,934121
10,1681377,1160324,462829,1007268,1742630,1549785,1437851,1183165,1686183,915154
11,1641560,1314567,525447,1069991,1673571,1625176,1545372,1236772,1590912,1038679
12,1674458,1312402,519805,1222706,1649318,1648079,1508645,1289847,1739786,1086137
13,1651162,1369965,616925,1075291,1630415,1630021,1577176,1396551,1802792,1160151
14,1709516,1455161,589524,1156215,1671283,1684164,1569393,1364791,1725888,1167707
15,1639686,1371246,631314,1218280,1624637,1603514,1753044,1406918,1815326,1276238
16,1549451,1381984,662113,1345019,1658978,1582841,1840434,1438105,1733759,1365205
17,1535493,1486662,683209,1335649,1712830,1628696,1813666,1396566,1676235,1460678
18,1647106,1457467,675978,1411178,1490582,1628791,1935041,1428546,1689180,1359275
19,1658910,1468671,729211,1285309,1564782,1655238,1933625,1508217,1623862,1459610
20,1592181,1459640,731409,1490508,1507273,1634662,1996783,1512245,1651028,1546125
21,1547897,1484097,745141,1366568,1467280,1622791,1986626,1499755,1725884,1532307
22,1530657,1538882,822139,1709910,1440663,1609218,1926618,1473176,1669676,1380717
23,1521566,1455053,820360,1450689,1484819,1581785,1871028,1559368,1648686,1505899
24,1671705,1443553,857535,1583178,1544002,1489376,1831887,1610416,1757177,1525428
25,1525855,1474675,947220,1464074,1446902,1626462,1639826,1656014,1687899,1717231
26,1594191,1591939,941135,1632134,1521319,1593114,1717143,1590416,1636829,1628303
27,1477127,1499796,850891,1673398,1442978,1741735,1828802,1576719,1643393,1582531
28,1590396,1402433,1005625,1635198,1347678,1603538,1668618,1644104,1642004,1566584
29,1573098,1477454,973591,1585565,1349721,1598610,1723324,1533556,1719867,1585475
30,1508142,1529203,1062306,1575197,1448101,1611444,1719785,1600332,1690025,1576128
31,1532275,1517928,1146108,1649436,1397400,1541979,1752481,1612654,1619237,1507992
32,1491511,1551237,1199897,1544165,1306845,1621404,1397265,1715107,1567979,1504382
33,1418940,1525445,1271317,1705509,1292001,1481068,1466577,1625113,1582454,1612714
34,1431111,1407658,1325843,1530516,1415354,1586129,1389464,1545302,1598275,1633772
35,1307370,1537168,1289274,1572685,1319612,1545888,1344018,1553490,1519456,1626648
36,1482604,1443251,1347659,1502767,1217175,1367417,1342579,1513384,1297266,1469862
37,1335633,1508711,1354036,1589421,1122010,1431792,1392717,1568532,1061348,1561198
38,1398612,1474151,1324221,1477386,1097532,1391514,1196136,1600993,1522106,1596105
39,1281338,1439513,1379185,1414247,1113308,1191459,1240581,1478774,1439784,1545369
40,1024430,1097875,1414314,1357321,1149786,1187787,1187925,1462331,1422460,1526649
41,1248095,1396192,1353961,1234633,1092939,1152968,978015,1287968,1275714,1499072
42,1259309,1160725,1426988,1401864,1071009,1377183,1156957,1510068,1271735,1349580
43,859169,1054847,1477125,1276862,1102925,1084391,1142405,1408964,1277331,1340546
44,755534,1283298,1625581,1203777,1318989,1426748,1125396,1476625,1463048,1319333
45,718321,1390253,1460323,1218274,1175712,1150101,1108840,1517570,1422986,1447122
46,970573,1397780,1476481,1121123,1124428,1375069,1038842,1550234,1231271,1302939
47,930866,1396488,1367220,947768,1097785,1301056,1056880,1122186,1009203,1129522
48,856958,1227452,1240731,1136969,1119008,1350839,782445,1322803,1266200,1331487
49,874783,792900,1352867,1215440,1107029,877881,542509,1456277,1270610,976110
50,673358,1248612,1331420,1123301,1038920,664005,798160,1527568,990519,1186091
51,654697,959779,1443418,1122650,557790,629876,530232,1434396,659691,1364584
52,618595,1231108,1503837,1026480,539777,604879,678370,947410,625806,1387424
53,585722,712239,1442457,781371,534751,530936,951663,717626,562339,1225060
54,521488,1219012,1191697,815770,486628,514265,474244,671940,536282,1016668
55,492184,753990,1394825,1022680,502943,482729,471421,617209,500323,1264803
