k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,17938,11700,3066,3569,11742,4466,25050,3588,1729,2636
2,17005,15895,5834,5417,16133,6290,32931,14286,4173,5106
3,19704,18949,9237,7462,14976,7536,35019,16710,7271,7482
4,17790,18181,9640,8190,22751,8987,35429,21648,8286,8772
5,17853,19096,12401,10638,24512,8830,35859,44782,8512,10802
6,20180,23128,14654,11765,25156,10488,46445,44296,9025,11615
7,20322,29254,17188,14035,25692,10471,59388,44440,10044,17039
8,19429,29425,17585,14620,25210,10786,58413,46974,9816,21174
9,19916,29283,20429,25447,24816,11904,57926,46876,10847,24955
10,20972,30745,21422,26909,25917,12138,60326,49451,10238,30745
11,23015,34174,23118,28687,26983,12872,62567,53942,10347,33042
12,21826,34942,24907,40312,27002,15213,65509,53038,10767,34762
13,21430,39547,23481,40712,25065,13564,63680,50064,12442,32093
14,22973,36445,28485,41514,26463,15429,58002,54080,12301,36283
15,21954,36958,26775,36564,26668,13675,54998,54111,11949,34591
16,24726,38382,27980,37994,26872,13600,59623,60549,11651,34741
17,22575,37342,29654,35417,26210,13417,56991,60783,11141,35228
18,24322,40267,32527,39575,27815,15770,59373,59873,12869,38306
19,24724,37817,34478,39680,28124,16387,60096,55775,13168,37057
20,23305,43617,32713,38361,26593,16483,57231,61580,14725,37616
21,24452,41701,35240,41470,27017,16645,61134,59316,15400,38950
22,25708,39446,35724,41257,27110,17820,57173,65108,14671,40083
23,27116,39236,35360,43801,29356,18314,65587,60456,14218,38143
24,27609,41839,37456,38263,25619,18713,62984,62934,13436,38897
25,27844,42929,42876,42518,28302,17993,59906,57177,15393,42929
26,26606,40514,41324,40028,27064,17223,56558,56849,15026,39068
27,24181,40412,39964,38513,25583,16505,57324,56746,13891,39312
28,24451,41632,40929,38244,25667,16496,57633,56994,13539,39489
29,24522,41807,64761,38615,25562,16374,57669,56771,13588,39862
30,24534,41763,64646,38162,25822,16479,57895,57547,13762,39805
31,24596,42557,66419,38314,25708,16437,56716,58021,13494,39919
32,24550,42713,66623,38372,25795,16646,57637,56905,13588,40355
33,24700,42097,67432,38222,25676,16364,64655,64572,13543,40653
34,24490,43647,66762,40130,25969,16757,58074,59014,13573,41364
35,24429,47288,75140,43640,28924,16564,59378,59022,13685,41248
36,24730,42712,69052,39802,26493,17249,58681,61768,14265,42587
37,27154,43106,66752,38201,26586,16977,58282,58772,15336,42533
38,24446,43255,72083,39721,26610,16961,63045,62212,14006,42657
39,26434,43391,72698,41421,26267,16504,61209,61004,13833,43080
40,25691,45891,71363,41562,27016,18861,61341,60435,13893,43282
41,25367,44538,71089,41490,26931,17065,65356,56070,13702,44681
42,26266,41683,65498,37927,27499,17380,66092,61035,14066,45536
43,26050,42862,76216,40318,27322,17641,56880,60052,14577,41604
44,25729,45763,73047,37885,25436,17502,61889,60109,14547,48225
45,24103,43720,69905,37951,29646,16235,61440,61110,14209,42825
46,28305,44369,70527,40311,25984,18892,63719,61152,15400,42450
47,26267,43726,74049,41247,28079,17558,63847,60812,13357,44409
48,25965,46254,72076,41203,27187,17303,61305,60794,13606,45070
49,25646,44635,71436,41384,26834,17358,64394,63784,14391,45278
50,26048,44682,75001,41155,27469,17671,61246,63988,14350,45432
51,26333,44901,70593,41024,27450,18301,61349,59892,14605,45151
52,26115,44626,67353,42987,27167,17327,61458,59401,15062,45089
53,27315,44314,69653,40981,28680,17425,60921,57753,15047,45393
54,26255,44112,67107,40659,27531,17486,57847,57489,14481,45228
55,27264,42530,67116,41464,27479,17499,57219,60182,15114,42842
