k,greedy,greedy,celf,celf,genetic,genetic,aco,aco
k,Spread,Time (ms),Spread,Time (ms),Spread,Time (ms),Spread,Time (ms)
1,237.6,94213.9,237.6,456.2,237.6,1569771.3,237.6,890750
2,346.3,133586.6,314.6,3539,393.1,1857535.9,400.9,1434706.4
3,549.2,147969.9,410.2,3962.4,629.8,2482090.8,661.5,1969320.3
4,692.2,159860.2,565.7,4534.7,734.4,2938222.4,820.8,2592991.6
5,818.5,153959.3,659.9,4832.1,914.8,3334755.6,1058.8,3011755
6,913.4,153192.8,769.8,5130.9,1093.4,3626214.7,1208.8,3532673.6
7,1098.1,185833.6,852.2,5196.4,1192.9,4083308.3,1339,3892525.5
8,1195.5,246293.6,922.1,5024.4,1335.9,4584730.8,1518.4,4420555.7
9,1294.4,183271.5,983.9,4290.9,1590.5,5148753.2,1605.2,4974906.7
10,1426.2,195506.9,1016.9,5682.4,1708.8,5358401.7,1719.7,5449442.5
11,1563.9,218251.9,1172.2,4962.3,1758.5,5734663,1832.8,6074862
