k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,127,63,141,391,170,152,875,243,40,174
2,799,110,244,454,394,315,973,285,116,319
3,1201,129,472,491,457,355,1024,329,1246,911
4,1304,522,617,501,556,406,1057,640,1410,1195
5,1366,950,677,549,628,432,1073,1941,1524,1448
6,1449,1308,683,601,664,600,1090,2522,1600,1571
7,2016,1344,731,580,749,1009,1120,2538,1690,1613
8,2035,1379,735,1947,809,1128,1137,2679,1725,1610
9,2541,1384,780,1966,798,1211,1198,2674,1717,1783
10,2705,1388,799,2269,889,1411,1202,2720,1776,2038
11,2732,1479,805,2327,928,2057,1263,2839,1791,2107
