k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,127,63,141,391,170,152,875,243,40,174
2,394,96,226,429,257,202,964,274,76,228
3,485,118,398,461,346,312,1013,304,153,512
4,784,146,494,491,382,356,1053,329,1069,553
5,853,212,552,513,406,380,1077,361,1101,1144
6,966,817,602,528,428,413,1100,399,1261,1184
7,1213,977,644,558,463,435,1121,485,1381,1245
8,1297,996,714,571,554,454,1142,519,1458,1516
9,1356,1184,730,589,709,524,1160,554,1497,1536
10,1407,1203,748,605,743,565,1181,577,1584,1556
11,1431,1231,770,616,776,600,1220,1884,1609,1585
12,1538,1290,784,632,789,629,1251,1910,1657,1670
13,2043,1306,800,663,808,664,1277,1934,1710,1738
14,2260,1326,827,682,829,682,1299,1963,1726,2066
15,2527,1345,840,702,846,765,1320,1998,1740,2102
16,2544,1395,853,712,859,792,1337,2011,1753,2186
17,2584,1442,868,731,875,815,1430,2024,1774,2252
18,2631,1456,889,748,889,1112,1449,2057,1802,2367
19,2656,1496,911,1838,906,1156,1476,2069,1829,2454
20,2671,1519,923,1901,917,1234,1706,2121,1844,2521
21,2714,1538,935,1912,1457,1255,1758,2133,1859,2535
22,2726,1562,986,1955,1471,1446,1781,2148,1869,2550
23,2754,1587,996,1965,1485,1471,1809,2169,1885,2563
24,2788,1602,1018,1982,1498,1664,1832,2404,1900,2584
25,2808,1612,1051,2012,1509,1682,1849,2428,1916,2600
26,2837,1624,1065,2028,1525,2089,1862,2647,1930,2615
27,2847,1648,1086,2253,1551,2145,1876,2657,1959,2635
28,2870,1671,1101,2268,1616,2186,1893,2716,1971,2644
29,2880,1681,1109,2292,1694,2229,1911,2733,1985,2654
30,2899,1693,1539,2343,1711,2334,1925,2748,1994,2676
31,3001,1706,1925,2354,1874,2351,1947,2789,2068,2698
32,3017,1722,1938,2563,1883,2366,1960,2857,2080,2725
33,3025,1733,1953,2606,1923,2380,2020,2967,2112,2732
34,3045,1742,1965,2622,1937,2395,2101,2974,2241,2739
35,3133,1751,2012,2631,1975,2406,2194,2994,2254,2747
36,3144,1769,2254,2648,1983,2416,2205,3003,2265,2758
37,3182,1958,2430,2689,2022,2433,2234,3010,2319,2789
38,3199,2007,2480,2760,2037,2443,2247,3021,2340,2799
39,3210,2033,2705,2933,2066,2453,2256,3034,2369,2806
40,3235,2053,2717,2951,2264,2462,2280,3041,2405,2892
41,3248,2065,2759,2996,2284,2475,2294,3047,2413,2898
42,3264,2124,2780,3125,2300,2486,2309,3053,2437,2949
43,3271,2347,2788,3148,2310,2495,2336,3059,2453,2989
44,3279,2356,2797,3162,2321,2522,2354,3066,2478,3015
45,3296,2364,2817,3171,2484,2539,2365,3083,2507,3024
46,3305,2417,2852,3181,2498,2569,2372,3089,2587,3030
47,3310,2432,2859,3200,2542,2584,2380,3101,2613,3053
48,3315,2477,2870,3223,2580,2683,2411,3116,2643,3061
49,3351,2490,2877,3247,2592,2706,2417,3134,2651,3072
50,3358,2507,2884,3262,2617,2732,2423,3143,2672,3168
51,3362,2517,2899,3270,2625,2802,2432,3154,2686,3179
52,3366,2565,2906,3276,2631,2812,2438,3159,2693,3187
53,3370,2582,2915,3281,2638,2823,2447,3165,2728,3193
54,3380,2599,2943,3289,2660,2833,2454,3175,2736,3202
55,3390,2612,2953,3309,2698,2841,2480,3181,2778,3256
