k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,127,63,141,391,170,152,875,243,40,174
2,801,96,247,454,380,315,943,274,102,319
3,1201,133,434,484,401,355,1024,371,1244,651
4,1305,247,502,497,468,374,1042,368,1351,1190
5,1334,1289,610,566,634,470,1073,362,1541,1269
6,1372,1251,703,551,689,432,1082,1893,1483,1478
7,1466,1343,747,553,607,771,1115,2169,1577,1581
8,2091,1377,725,813,738,1058,1102,2145,1664,1646
9,2123,1355,759,2024,786,2022,1112,2485,1634,1605
10,2576,1445,747,2288,803,2096,1102,2509,1715,1807
11,2654,1350,799,2266,909,2136,1187,2660,1714,1910
