k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,127,63,141,391,170,152,875,243,40,174
2,439,110,253,429,347,246,964,274,89,312
3,804,142,465,464,394,355,1013,320,1173,362
4,847,841,620,498,458,394,1053,367,1322,522
5,1009,989,692,521,484,464,1079,411,1379,1157
6,1264,1186,720,544,511,526,1105,656,1429,1193
7,1326,1276,749,564,608,780,1128,1731,1488,1331
8,1356,1345,772,600,655,1043,1144,1993,1567,1480
9,1381,1417,793,988,703,1104,1162,2197,1672,1527
10,1399,1453,837,1878,751,1189,1177,2263,1708,1607
11,1430,1484,853,1957,835,2086,1204,2407,1731,1652
12,1481,1504,872,2198,886,2141,1226,2678,1754,1676
13,1553,1520,883,2261,989,2188,1244,2782,1767,1716
14,1663,1538,894,2298,1294,2318,1273,2842,1781,1827
15,2076,1557,905,2353,1340,2355,1305,2864,1795,1990
16,2111,1590,916,2407,1376,2402,1351,2888,1830,2064
17,2155,1604,937,2445,1414,2423,1409,2932,1844,2168
18,2281,1620,957,2520,1440,2442,1497,2955,1857,2414
19,2383,1643,995,2578,1465,2454,1575,2975,1886,2522
20,2800,1669,1031,2634,1489,2465,1637,2991,1958,2565
21,2847,1706,1079,2684,1548,2483,1689,3016,2000,2606
22,2908,1731,1173,2754,1591,2508,1724,3033,2045,2644
23,2949,1954,1738,2930,1629,2602,1766,3050,2121,2662
24,3016,2002,1774,3030,1669,2646,1800,3065,2283,2677
25,3059,2023,1810,3068,1694,2671,1832,3076,2474,2700
26,3083,2038,1882,3135,1733,2689,1874,3085,2498,2726
27,3113,2059,1914,3213,1821,2707,1943,3094,2513,2756
28,3173,2084,2015,3232,1851,2724,1978,3102,2525,2777
29,3201,2112,2239,3249,1885,2759,2030,3110,2538,2800
30,3239,2162,2343,3266,1915,2795,2099,3122,2550,2853
31,3257,2310,2609,3292,1953,2820,2186,3131,2562,2931
32,3275,2517,2716,3302,1978,2843,2223,3141,2602,2987
33,3294,2581,2783,3310,2007,2858,2258,3150,2620,3049
34,3312,2615,2861,3317,2064,2872,2281,3164,2642,3090
35,3328,2687,2924,3323,2192,2888,2299,3172,2663,3143
36,3341,2738,2983,3329,2275,2921,2320,3183,2681,3208
37,3352,2789,3000,3335,2379,2938,2379,3200,2726,3233
38,3362,2815,3018,3341,2460,2958,2401,3214,2748,3253
