k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,467436,273918,517523,1679094,649875,664124,2545031,1322314,244589,543596
2,1535645,432026,1001974,2102475,1035890,1039019,3793890,1715521,541811,1148813
3,2439664,680188,1364971,2321254,1832818,1693069,4610848,1857796,1339054,1553541
4,3775705,893220,1851204,2909260,2265722,1679558,5402398,2086622,1932892,3133335
5,4203987,1048010,2178464,3010549,2338311,2127228,5456880,2624995,2839750,4289376
6,5316581,1896671,1566734,3019787,2238959,2477859,6473889,3775445,3627481,4933330
7,5362669,2733848,2208352,3707084,3032648,1904306,6786331,4246111,3125151,5818755
8,6431792,3383492,2775974,3599770,3738426,2841646,5992716,5010048,4247302,6184391
9,6822334,3978447,3183882,3943845,3431796,3728757,6724066,5961870,5358441,6615629
10,6485825,4595381,4097137,4249714,4093969,4001796,7472063,6630528,5950551,6917461
11,8904254,5340662,3639486,5469236,4418676,4082720,6884249,6613939,6958603,8436795
