k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,399,90,249,731,330,293,1571,467,94,338
2,906,1685,698,7624,902,801,14540,5083,131,3020
3,1200,2433,1184,6790,1572,1191,15933,5470,395,3456
4,1404,2679,1747,8384,3129,1250,16281,5483,1545,3445
5,2590,2634,1673,8002,4522,1657,16795,5318,1552,3578
6,3052,3975,2600,8337,4286,2129,15139,5354,1954,4483
7,3280,3672,2679,9306,4663,1738,14422,5009,2281,4914
8,3033,3840,3659,7523,4020,2383,14359,5156,1924,4347
9,3721,2748,3192,7501,2741,2037,10822,5180,1953,3014
10,4161,3246,3680,8617,4363,2809,16499,5687,2051,5711
11,5165,4357,3439,7960,4444,2593,12863,4495,1871,2436
12,4477,4688,4254,9871,4893,2999,16504,7756,2363,5030
13,5562,4394,3726,9045,5003,3203,10580,6230,1907,4510
14,5113,4292,2755,8834,2993,2686,9134,4360,2252,4848
15,5307,4622,3515,8892,4123,2806,14476,7096,2603,5072
16,2713,2098,1641,6044,4494,2759,16688,6581,3016,5497
17,3523,4043,3704,8850,4721,2945,13494,7908,3145,5380
18,5009,4116,3748,8872,5102,3415,15798,7824,3156,4047
19,5946,4949,3355,10313,2572,3760,8405,7866,3322,5950
20,5435,4310,3745,8211,4448,3187,11855,7117,3010,3881
21,3261,4166,4015,8448,4660,1530,9443,6675,3209,2617
22,5527,4461,3352,6667,5657,4079,10856,6603,3560,3585
23,6470,4905,2836,10499,5275,1934,10416,6331,3406,6132
24,5677,5050,4587,10279,5995,2731,13867,6720,3371,3117
25,5655,4614,4123,9392,3075,1980,12967,6442,3371,4729
26,6602,4064,4643,10036,5865,4311,12427,7965,3963,2780
27,6065,5447,4482,10889,5434,4406,12774,8172,3851,4843
28,6233,5014,3370,6333,5265,4769,14390,7506,3922,6083
29,5150,3767,4317,9054,5195,3340,11580,7254,3469,2687
30,6480,2621,5455,11054,5694,2327,7988,8089,3706,6594
31,4859,5175,5183,10907,6654,4704,10752,8347,4295,2964
32,6076,5355,5544,10443,6468,4448,11637,6973,3673,3681
33,6028,5242,6091,10104,6277,5354,17559,8953,3918,3542
34,5615,5211,6039,10411,5020,4883,18556,8349,4189,6190
35,5880,5325,5018,10201,4687,4645,7326,6761,3798,5976
36,5928,5312,3252,6825,5482,4434,13616,3568,3642,3895
37,6748,5816,5940,10630,6469,4851,11836,6923,3965,4973
38,6056,3365,6696,10424,6573,5330,8218,6423,3745,5822
39,6013,5169,6443,10616,6437,5514,10423,3810,1851,4733
40,6879,3872,7072,10225,7279,5308,12654,9164,2458,3689
41,5867,5291,5903,7576,6255,5048,11947,8154,2288,3320
42,6610,6043,6933,9719,7170,4507,11923,4880,2099,3639
43,6828,6331,6849,10418,6374,5324,13276,8288,3599,3132
44,6946,6189,6612,9916,7277,2410,12403,8909,2012,3127
45,6439,5920,6695,10106,7129,5775,11323,8580,1929,3197
46,7036,6518,6655,9435,6875,5260,11171,8985,2296,2636
47,4629,5757,5939,9221,6633,5096,11521,7842,2902,3196
48,6775,6101,6842,10024,7529,5531,12414,4008,2103,2471
49,6419,5923,7015,10549,5085,5412,12695,8795,3671,4403
50,7011,6112,7159,10613,7209,2527,12143,8937,2068,3082
51,6746,6545,6916,9945,3105,5604,12973,9356,2104,2778
52,6784,6783,3123,10005,6751,5777,11561,8927,2572,2771
53,5116,5923,6990,9832,6955,2461,11721,7855,2333,3091
54,4226,6292,7438,6924,7263,5580,19380,9265,4617,7988
55,3325,3182,3410,5800,3569,2796,15517,4375,4971,3508
