k,g1r1,g2r1,g3r1,g4r1,g5r1,g6r1,g7r1,g8r1,g9r1,g10r1
1,1069864,669566,1056785,2600790,1205340,1099545,4065593,1924894,626336,1379000
2,2659943,920586,1423580,2369650,1520490,1287820,4625640,1701187,642531,1423932
3,3001598,873258,1782896,2926186,1958205,1552298,5604627,2202047,2592069,2327724
4,4405574,1244863,1690831,2734139,2334820,1917057,6018110,2120733,3626204,3289893
5,4997073,2010048,2055446,3060345,3186748,2349415,5960671,2078138,3473381,4176291
6,5135435,2883902,2730969,3562998,2865580,2420213,6293807,2304901,2950112,5114230
7,5103524,3754699,2722238,3226042,3237167,2738748,6301024,4955653,3798537,4995451
8,6656805,3743593,3217871,3143268,3242872,3141087,7070878,5091854,4289603,6249477
9,6269239,3548622,3597322,4629054,3714520,4337936,7148861,5730665,5868827,6642486
10,7347115,4951152,3373183,5814896,3570460,4195810,6925583,6239889,4685712,6480217
11,7674391,5520089,3663773,4862764,3892545,5026011,6977508,6706160,5928564,7094825
